term,log_odds,scope
000,-0.7378712036030515,overall
0d,1.450241693381912,overall
0s,2.2975395537691155,overall
0s 9d,3.205096605674516,overall
10,0.07260539500513616,overall
100,0.5708125548119152,overall
1023,-2.5725557175481404,overall
10s,0.13549448355406982,overall
11,0.2606576265080758,overall
12,-0.5603229255617546,overall
13,0.3516294047138024,overall
13s,3.6551660200194345,overall
13s 9d,5.209417516886244,overall
14,-0.03783536204792078,overall
14 november,-2.683781352658365,overall
1421,3.3961518424372255,overall
14s,-1.4569938705662575,overall
14s 2d,-1.6264120225243042,overall
15,-0.837954662160034,overall
150,0.6463201073200603,overall
15s,-0.96311780511404,overall
16,0.9982565696388548,overall
17,0.2606576265080758,overall
1700,-1.8596059096920152,overall
1701,-0.6083802205155335,overall
1718,-0.6948538185193606,overall
1722,-0.10706715361724163,overall
1723,0.11755678286740237,overall
1724,-0.375331140211921,overall
1727,-0.7087429306800279,overall
1728,-0.11883199519682786,overall
1729,0.09360354184490963,overall
1730,1.1635253380500903,overall
1731,-0.4865567753221454,overall
1732,-0.5416888460168615,overall
1733,-0.7754343051786999,overall
1734,0.12250728802725872,overall
1735,-1.891104576751386,overall
1736,-0.11201765877709768,overall
1737,-0.9523650133377781,overall
1738,-0.18402819475336996,overall
1739,0.4970464045723061,overall
1740,-0.5603229255617546,overall
1741,0.4719667201752827,overall
1742,1.385587223493559,overall
1743,0.6120555133459644,overall
1744,0.14943199139785152,overall
1745,-0.3401162339208542,overall
1747,0.7232811484561886,overall
1748,-0.3859695384169768,overall
1750,0.2606576265080756,overall
1751,0.8312024849756886,overall
1752,1.2967495581948516,overall
1753,-0.586640233879128,overall
1754,1.61878111066127,overall
1755,1.786713930003125,overall
1756,-0.4865567753221454,overall
1757,-0.837954662160034,overall
1758,0.38582076946208177,overall
1759,-1.0974658576451186,overall
1760,-0.4865567753221454,overall
1761,0.4970464045723061,overall
1762,-0.47694131662270345,overall
1763,2.52934116782644,overall
1763 payable,5.223502256767983,overall
1764,-0.837954662160034,overall
1765,2.1685885274981724,overall
1765 connected,5.209417516886244,overall
1766,-0.3401162339208542,overall
1767,0.8029819173334374,overall
1768,1.455151686879468,overall
1768 michaelmas,5.23739136892865,overall
1769,0.09049513369513626,overall
1769 michaelmas,5.23739136892865,overall
1770,1.2377817993272564,overall
1770 christmas,5.209417516886244,overall
1770 hiorns,5.209417516886244,overall
1771,2.6215116276260972,overall
1772,2.1477272755404555,overall
1773,-0.6948538185193606,overall
1776,1.5599406106383364,overall
1778,1.3592699151761853,overall
1779,0.9145840939147398,overall
1780,1.1922158305130193,overall
1781,-2.7838648112153472,overall
1784,-0.1250048543039089,overall
1785,0.2606576265080758,overall
1786,-1.038625357622185,overall
1787,0.37506797768581995,overall
1788,0.9145840939147398,overall
1789,0.9145840939147398,overall
1790,0.7714832502740664,overall
1791,0.9297072554889605,overall
1792,-0.04949730179576373,overall
1793,0.06491304938198042,overall
1794,1.0120737151919967,overall
1795,0.4789111925280936,overall
1796,0.7126427502511329,overall
1797,-0.7127915192060278,overall
1798,-0.19132749723498158,overall
1799,0.740230706769962,overall
17s,1.007872028338297,overall
17s 5d,3.093870970564292,overall
18,0.5289216131027551,overall
1800,-0.96311780511404,overall
1801,-0.7378712036030515,overall
1802,-0.19132749723498158,overall
1803,-0.3583815818981477,overall
1811,0.2606576265080758,overall
1812,1.3592699151761853,overall
1813,0.5289216131027551,overall
1814,1.2591864566192028,overall
1815,0.5289216131027551,overall
1816,0.2606576265080756,overall
1817,-0.04949730179576385,overall
1818,0.02426884844384538,overall
1819,0.587870537716492,overall
1820,-0.04162324536485801,overall
1821,-0.41810081659977005,overall
1822,-0.4907584621758454,overall
1823,-0.4058213069697083,overall
1824,-0.6061530481027095,overall
