year,language,n_entries,total,share,era
1700,english,133.9142857142857,355.9142857142857,0.3762543148430601,pre_1760
1700,latin,89.22857142857143,355.9142857142857,0.25070241631211365,pre_1760
1700,mixed,132.77142857142857,355.9142857142857,0.3730432688448262,pre_1760
1701,english,70.91428571428571,174.9142857142857,0.4054230643580529,pre_1760
1701,latin,25.228571428571428,174.9142857142857,0.14423391048676903,pre_1760
1701,mixed,78.77142857142857,174.9142857142857,0.45034302515517804,pre_1760
1702,english,87.91428571428571,198.9142857142857,0.44197069807526573,pre_1760
1702,latin,21.228571428571428,198.9142857142857,0.10672220626256823,pre_1760
1702,mixed,89.77142857142857,198.9142857142857,0.45130709566216604,pre_1760
1703,english,80.91428571428571,183.9142857142857,0.43995650147584275,pre_1760
1703,latin,33.22857142857143,183.9142857142857,0.18067422712443684,pre_1760
1703,mixed,69.77142857142857,183.9142857142857,0.3793692713997204,pre_1760
1704,english,105.91428571428571,191.9142857142857,0.5518832812267381,pre_1760
1704,latin,43.22857142857143,191.9142857142857,0.22524936727705822,pre_1760
1704,mixed,42.77142857142857,191.9142857142857,0.22286735149620368,pre_1760
1705,english,95.91428571428571,201.9142857142857,0.47502476298287816,pre_1760
1705,latin,30.228571428571428,201.9142857142857,0.1497099193434272,pre_1760
1705,mixed,75.77142857142857,201.9142857142857,0.37526531767369464,pre_1760
1706,english,47.91428571428571,182.9142857142857,0.26194939081537016,pre_1760
1706,latin,8.228571428571428,182.9142857142857,0.04498594189315838,pre_1760
1706,mixed,126.77142857142857,182.9142857142857,0.6930646672914714,pre_1760
1707,english,66.91428571428571,176.9142857142857,0.3782299741602067,pre_1760
1707,latin,19.228571428571428,176.9142857142857,0.10868863049095608,pre_1760
1707,mixed,90.77142857142857,176.9142857142857,0.5130813953488372,pre_1760
1708,english,65.91428571428571,168.9142857142857,0.39022327469553447,pre_1760
1708,latin,30.228571428571428,168.9142857142857,0.17895805142083898,pre_1760
1708,mixed,72.77142857142857,168.9142857142857,0.43081867388362655,pre_1760
1709,english,71.91428571428571,173.9142857142857,0.413504189255791,pre_1760
1709,latin,17.228571428571428,173.9142857142857,0.09906357811729916,pre_1760
1709,mixed,84.77142857142857,173.9142857142857,0.4874322326269098,pre_1760
1710,english,97.91428571428571,185.9142857142857,0.5266635930536345,pre_1760
1710,latin,22.228571428571428,185.9142857142857,0.11956354694943906,pre_1760
1710,mixed,65.77142857142857,185.9142857142857,0.35377285999692637,pre_1760
1711,english,57.91428571428571,201.9142857142857,0.2868260931088156,pre_1760
1711,latin,48.22857142857143,201.9142857142857,0.23885665770482525,pre_1760
1711,mixed,95.77142857142857,201.9142857142857,0.47431724918635915,pre_1760
1712,english,19.914285714285715,193.9142857142857,0.10269633122145277,pre_1760
1712,latin,7.228571428571429,193.9142857142857,0.03727714748784441,pre_1760
1712,mixed,166.77142857142857,193.9142857142857,0.8600265212907028,pre_1760
1713,english,38.91428571428571,190.9142857142857,0.20383118826698593,pre_1760
1713,latin,27.228571428571428,190.9142857142857,0.1426219694702185,pre_1760
1713,mixed,124.77142857142857,190.9142857142857,0.6535468422627956,pre_1760
1714,english,31.914285714285715,204.9142857142857,0.15574456218628,pre_1760
1714,latin,4.228571428571429,204.9142857142857,0.020635805911879534,pre_1760
1714,mixed,168.77142857142857,204.9142857142857,0.8236196319018405,pre_1760
1715,english,12.914285714285715,192.9142857142857,0.0669431279620853,pre_1760
1715,latin,29.228571428571428,192.9142857142857,0.151510663507109,pre_1760
1715,mixed,150.77142857142857,192.9142857142857,0.7815462085308057,pre_1760
1716,english,88.91428571428571,215.9142857142857,0.4118036257774249,pre_1760
1716,latin,13.228571428571428,215.9142857142857,0.06126769882228397,pre_1760
1716,mixed,113.77142857142857,215.9142857142857,0.5269286754002911,pre_1760
1717,english,74.91428571428571,205.9142857142857,0.36381295962258914,pre_1760
1717,latin,98.22857142857143,205.9142857142857,0.47703621479117525,pre_1760
1717,mixed,32.77142857142857,205.9142857142857,0.1591508255862356,pre_1760
1718,english,89.91428571428571,192.9142857142857,0.4660841232227488,pre_1760
1718,latin,78.22857142857143,192.9142857142857,0.40550947867298576,pre_1760
1718,mixed,24.771428571428572,192.9142857142857,0.1284063981042654,pre_1760
1719,english,85.91428571428571,175.9142857142857,0.4883872015592009,pre_1760
1719,latin,41.22857142857143,175.9142857142857,0.23436738671430893,pre_1760
1719,mixed,48.77142857142857,175.9142857142857,0.2772454117264902,pre_1760
1720,english,92.91428571428571,194.9142857142857,0.4766930518909411,pre_1760
1720,latin,30.228571428571428,194.9142857142857,0.15508648490178834,pre_1760
1720,mixed,71.77142857142857,194.9142857142857,0.3682204632072706,pre_1760
1721,english,84.41428571428571,178.9142857142857,0.4718141168955605,pre_1760
1721,latin,33.22857142857143,178.9142857142857,0.1857234110507825,pre_1760
1721,mixed,61.27142857142857,178.9142857142857,0.342462472053657,pre_1760
1722,english,84.41428571428571,178.9142857142857,0.4718141168955605,pre_1760
1722,latin,33.22857142857143,178.9142857142857,0.1857234110507825,pre_1760
1722,mixed,61.27142857142857,178.9142857142857,0.342462472053657,pre_1760
1723,english,96.91428571428571,191.9142857142857,0.5049873455411642,pre_1760
1723,latin,73.22857142857143,191.9142857142857,0.3815691528956379,pre_1760
1723,mixed,21.771428571428572,191.9142857142857,0.11344350156319787,pre_1760
1724,english,80.91428571428571,175.9142857142857,0.4599642683124898,pre_1760
1724,latin,15.228571428571428,175.9142857142857,0.0865681338314114,pre_1760
1724,mixed,79.77142857142857,175.9142857142857,0.45346759785609875,pre_1760
1725,english,97.91428571428571,145.9142857142857,0.6710397493636185,pre_1760
1725,latin,37.22857142857143,145.9142857142857,0.25514000391619346,pre_1760
1725,mixed,10.771428571428572,145.9142857142857,0.07382024672018798,pre_1760
1726,english,80.91428571428571,195.9142857142857,0.41300860434592385,pre_1760
1726,latin,46.22857142857143,195.9142857142857,0.23596324923435905,pre_1760
1726,mixed,68.77142857142857,195.9142857142857,0.3510281464197171,pre_1760
1727,english,81.91428571428571,179.9142857142857,0.45529617278068923,pre_1760
