decade,income_share,net_real,exclude_arrears
1700,0.5551697530864197,5193.812793880416,False
1710,0.609594340665414,3530.3669534193996,False
1720,0.6033870967741936,6866.576546807071,False
1730,0.549209992055786,10606.474180321882,False
1740,0.541089108910891,8350.017709376663,False
1750,0.5163836296723274,7006.78092553279,False
1760,0.5038267081033443,7969.995580886396,False
1770,0.48806609547123625,7644.3273463551795,False
1780,0.45765386638611255,3240.0349684262037,False
1790,0.45911047345767575,7156.580246766662,False
1800,0.48641236599351784,3931.553402874866,False
1810,0.48131868131868133,11775.199624287841,False
1820,0.44656488549618323,14402.717016775274,False
1830,0.398027790228597,6229.7594194238845,False
1840,0.32515337423312884,-366.75841548277094,False
1850,0.29617537313432835,-13981.338170801544,False
1860,0.1524911927528938,-26415.581283709915,False
1870,0.21462945139557266,9481.004655814271,False
1880,0.3878787878787879,12713.405975912829,False
1890,0.4984126984126984,14707.91487351514,False
1900,0.56,-2767.6782557454335,False
1700,0.4426388082801316,1295.1987638757091,True
1710,0.47079193014152365,203.68048377519835,True
1720,0.463545077493997,1840.0323616932296,True
1730,0.26936898088256434,-921.993017723853,True
1740,0.3345441336723574,-878.3279036522763,True
1750,0.22761247664223086,-2572.5121706174723,True
1760,0.3411482010650734,3040.0188403609773,True
1770,0.26914660831509846,1985.8583432288742,True
1780,0.34156510583707506,-119.58526708288264,True
1790,0.35699588477366256,-487.79237884977556,True
1800,0.36049766718507,-2974.3387891301572,True
1810,0.4148471615720524,-1234.3325601258475,True
1820,0.3555058692006708,1169.6781655118648,True
1830,0.33015554440541894,-7730.575852516362,True
1840,0.2834498834498835,-8942.066456335833,True
1850,0.25297619047619047,-21642.977395196496,True
1860,0.1505050505050505,-26116.481752679698,True
1870,0.21369995176073323,9518.02213626838,True
1880,0.38741470811220624,12711.452850912829,True
1890,0.4984126984126984,14707.91487351514,True
1900,0.56,-2767.6782557454335,True
