decade,income_share,net_real,deflator
1700,0.5551697530864197,5193.812793880416,baseline_clark
1710,0.609594340665414,3530.3669534193996,baseline_clark
1720,0.6033870967741936,6866.576546807071,baseline_clark
1730,0.549209992055786,10606.474180321882,baseline_clark
1740,0.541089108910891,8350.017709376663,baseline_clark
1750,0.5163836296723274,7006.78092553279,baseline_clark
1760,0.5038267081033443,7969.995580886396,baseline_clark
1770,0.48806609547123625,7644.3273463551795,baseline_clark
1780,0.45765386638611255,3240.0349684262037,baseline_clark
1790,0.45911047345767575,7156.580246766662,baseline_clark
1800,0.48641236599351784,3931.553402874866,baseline_clark
1810,0.48131868131868133,11775.199624287841,baseline_clark
1820,0.44656488549618323,14402.717016775274,baseline_clark
1830,0.398027790228597,6229.7594194238845,baseline_clark
1840,0.32515337423312884,-366.75841548277094,baseline_clark
1850,0.29617537313432835,-13981.338170801544,baseline_clark
1860,0.1524911927528938,-26415.581283709915,baseline_clark
1870,0.21462945139557266,9481.004655814271,baseline_clark
1880,0.3878787878787879,12713.405975912829,baseline_clark
1890,0.4984126984126984,14707.91487351514,baseline_clark
1900,0.56,-2767.6782557454335,baseline_clark
1700,0.5551697530864197,5215.304969403004,odonoghue_feinstein
1710,0.609594340665414,3497.5573477255916,odonoghue_feinstein
1720,0.6033870967741936,6707.517318093975,odonoghue_feinstein
1730,0.549209992055786,10363.781466399309,odonoghue_feinstein
1740,0.541089108910891,8178.777729435804,odonoghue_feinstein
1750,0.5163836296723274,7067.184727986722,odonoghue_feinstein
1760,0.5038267081033443,8196.03015035943,odonoghue_feinstein
1770,0.48806609547123625,8060.520339455461,odonoghue_feinstein
1780,0.45765386638611255,3349.7088101100017,odonoghue_feinstein
1790,0.45911047345767575,7358.318909185546,odonoghue_feinstein
1800,0.48641236599351784,3968.14532163856,odonoghue_feinstein
1810,0.48131868131868133,10942.54056465717,odonoghue_feinstein
1820,0.44656488549618323,12492.395100054924,odonoghue_feinstein
1830,0.398027790228597,5234.079891221998,odonoghue_feinstein
1840,0.32515337423312884,-109.24803074666488,odonoghue_feinstein
1850,0.29617537313432835,-13735.489577357046,odonoghue_feinstein
1860,0.1524911927528938,-27141.32557775521,odonoghue_feinstein
1870,0.21462945139557266,9907.756705410859,odonoghue_feinstein
1880,0.3878787878787879,12849.703928551156,odonoghue_feinstein
1890,0.4984126984126984,14311.803427026956,odonoghue_feinstein
1900,0.56,-2757.9271873165003,odonoghue_feinstein
1700,0.5551697530864197,5309.914583333333,nominal
1710,0.609594340665414,3612.4604166666663,nominal
1720,0.6033870967741936,6679.4625,nominal
1730,0.549209992055786,10188.758333333333,nominal
1740,0.541089108910891,8533.380208333334,nominal
1750,0.5163836296723274,7869.891145833333,nominal
1760,0.5038267081033443,9526.113020833332,nominal
1770,0.48806609547123625,9872.14427083333,nominal
1780,0.45765386638611255,4631.12395833333,nominal
1790,0.45911047345767575,12159.374479166669,nominal
1800,0.48641236599351784,9639.330208333333,nominal
1810,0.48131868131868133,28632.722916666666,nominal
1820,0.44656488549618323,27227.940625000003,nominal
1830,0.398027790228597,10779.460416666669,nominal
1840,0.32515337423312884,-770.5499999999956,nominal
1850,0.29617537313432835,-23940.958333333343,nominal
1860,0.1524911927528938,-48597.82708333334,nominal
1870,0.21462945139557266,18104.65625,nominal
1880,0.3878787878787879,22639.11874999998,nominal
1890,0.4984126984126984,24426.126041666663,nominal
1900,0.56,-4696.75,nominal
