variant,land_coef,land_se,land_pval,land_ci_lo,land_ci_hi,r_squared
baseline (edu + salary),0.14484449181458425,0.07007529219860847,0.03873568308881587,0.007499442899191022,0.2821895407299775,0.1487796415153979
narrow (edu only),0.04200477273442421,0.03160145724049465,0.1837807867801542,-0.019932945315927826,0.10394249078477624,0.3954159018030522
broad (edu + salary + admin),0.12766439446812403,0.0971556601783106,0.18883977214981507,-0.06275720037557705,0.3180859893118251,0.10570412484597114
