component,first_year,first_material_year,pre1854_break,pre1854_t,onset
L4 securities income,1709,1743,1824,2.1,pre-Act
L4 education-fee income,1700,1700,1826,1.58,pre-Act
L4 educational spend,1700,1707,1827,4.63,pre-Act
L3 administrative spend,1700,1700,1832,2.15,pre-Act
L1 ecclesiastical spend,1700,1700,1829,1.38,pre-Act
