year,L1_old,L3_old,L4_old,L2_old,texp,tinc,L1_new,L2_new,L3_admin_share,L3_struct_idx,L3_new,L4_securities_inc,L4_fee_inc,L4_new,era
1700,0.4157736485426685,0.08700355622900938,0.01917949117692073,0.6482032982170736,1095.7885416666666,1688.9583333333335,0.17830481664174486,0.01917949117692073,0.09839565685669661,0.06596819209328122,0.22076244173751763,0.0,0.11390526705316392,0.11390526705316392,pre_industrial
1701,0.5068146375077067,0.08341009925168341,0.007884524716207885,0.6680091453178802,429.23993723224066,88.20074059313872,0.04753684159624754,0.007884524716207885,0.40702861494940706,0.06782004757317159,0.262018635613819,0.0,0.0,0.0,pre_industrial
1702,0.2750262101635488,0.16141464278910775,0.028492146276025327,0.647132242626888,776.1967689100657,1235.6209880219708,0.5850334970552699,0.02852944663584058,0.06567527638900546,0.06956217192902024,0.20320793315913163,0.0,0.05716526049939163,0.05716526049939163,pre_industrial
1703,0.7372258901640336,0.1358695709834269,0.0,0.6289961240908599,971.04535489401,1288.859286915241,0.22274656755973948,0.0,0.0289904737250292,0.08012090766358626,0.21618673138384575,0.0,0.00015986711845114343,0.00015986711845114343,pre_industrial
1704,0.19311230848881145,0.05997967440701041,0.007804260704492722,0.7534559489582923,214.12675732492443,608.2499835764025,0.32574639028973557,0.007804260704492722,0.10715039021303521,0.10268307846511575,0.2430941381085085,0.0,0.0,0.0,pre_industrial
1705,0.5105600475945807,0.2316657895229517,0.013962186438456753,0.728740674855966,491.6615529373262,852.4494763541155,0.26504856186567427,0.013962186438456753,0.2321317504529598,0.0972288832791148,0.20693519335039728,0.0,0.01842851332527886,0.01842851332527886,pre_industrial
1706,0.5961120929058319,0.4564882605402676,0.0,0.8080079383093979,242.18597143416162,738.1373100502185,0.022696288815955565,0.0198518892535555,0.0,0.1101287977599185,0.2474911110311388,0.0,0.0651528350519022,0.0651528350519022,pre_industrial
1707,0.5132064052237438,0.26123833757421544,0.044872368628554135,0.5693827483088001,238.22680085778342,1046.7059411248658,0.33817944685258355,0.044872368628554135,0.15727918643258704,0.1096417960789378,0.16800601278968133,0.0,0.003089644307730513,0.003089644307730513,pre_industrial
1708,0.48091977659897645,0.119178370294207,0.0,0.6268945855630594,173.17809505309503,955.8738425925925,0.3872829668403711,0.0,0.18978571261654945,0.10427569531384258,0.1502145849467511,0.0,0.03556304449296731,0.03556304449296731,pre_industrial
1709,0.12041508982488391,0.0960650844725425,0.0010074995749611167,0.7936576489056901,320.1897641859415,1569.5042582018777,0.19383662135017538,0.0010074995749611167,0.017650133178850065,0.11169160322226016,0.192978591499825,0.0023970741821236845,0.41891761695371177,0.4213146911358355,pre_industrial
1710,0.6087840128082157,0.2976539906678879,0.0,0.6287409645053404,696.4249839279975,1141.507955641273,0.31383590194791616,0.013846719697679954,0.22620924412776486,0.10712797248646763,0.16847992484478125,0.0,0.013305244483867391,0.013305244483867391,pre_industrial
1711,0.31560068366842087,0.1407367426798003,0.0,0.8480512091038407,358.1577421225594,569.5729831174688,0.20920478567894568,0.0,0.11006724238744207,0.11099801317862251,0.11484739162626383,0.0,0.07509868147757948,0.07509868147757948,pre_industrial
1712,0.4409730787900973,0.3427261803394794,0.0,0.7854193331087909,253.63099851449977,266.43637376477426,0.12987116334959375,0.0,0.009055967150235152,0.11019995547164332,0.1633535318559009,0.0,0.0,0.0,pre_industrial
1713,0.5772482618145405,0.26582004802057374,0.0,0.8078925863408623,355.56661487667503,182.92386871237133,0.02398752830596616,0.0,0.17535474914370897,0.10324528042633072,0.15040562767573157,0.0,0.1665560716655607,0.1665560716655607,pre_industrial
1714,0.7029873127664235,0.0,0.0,0.6,60.175158977353846,206.9412676010642,0.29249717780660817,0.0,0.023891762565078935,0.0848175267038436,0.10772815917700763,0.0,0.14580587632957226,0.14580587632957226,pre_industrial
1715,0.2731757984938977,0.0,0.24928589976629448,0.6000000000000001,31.308943089430898,392.06402439024396,0.7138405608932744,0.24928589976629448,0.023889898727603217,0.07389861345785365,0.13824399059131948,0.0,0.0,0.0,pre_industrial
1716,0.5184557215280015,0.3105625166019544,0.01277290787116318,0.6657567559351916,360.4720809700763,1206.016933959189,0.16252112333768515,0.01277290787116318,0.18327427276375202,0.05688679404117254,0.08099246414363556,0.0,0.008203104543972594,0.008203104543972594,pre_industrial
1717,0.34389061093890616,0.14558544145585442,0.03522147785221478,0.6429666406007937,163.38299679801347,930.7703146441874,0.6017648235176482,0.03522147785221478,0.12178782121787822,0.05182308908569294,0.08629409065374807,0.0,0.008424849356453401,0.008424849356453401,pre_industrial
1718,0.31441255277286173,0.16062526571815583,0.0,0.692718451793969,517.5634129167486,746.4394199908298,0.46844899694485914,0.0,0.06437943069576137,0.0482007278903589,0.12420852192590502,0.0,0.010530111594502952,0.010530111594502952,pre_industrial
1719,0.21665233331824552,0.033766351333001404,0.0021726338659303853,0.6897820095214232,181.31606591819317,793.2854868360581,0.5855021952654688,0.0021726338659303853,0.15246910786221882,0.04061066131537672,0.08802337426982848,0.0,0.028243254078072426,0.028243254078072426,pre_industrial
1720,0.43272694217505425,0.23288602043019305,0.0755871692024498,0.7154804400087419,452.4874547548536,816.4147334649557,0.23175429227220562,0.0755871692024498,0.04353290079198245,0.036235732344440705,0.10621546370792673,0.0,0.02070667185592993,0.02070667185592993,pre_industrial
