skip_threshold,overall_binary_accuracy,performance_preservation_vs_oracle,performance_preservation_vs_ensemble,cost_reduction,avg_api_calls,oracle_avg,ensemble_avg,final_avg,avg_axis1,avg_axis2,avg_axis2_match,avg_axis2_sim,avg_axis2_frac,min_score,score_std,balanced_score,k,confidence_threshold
0.03,0.8181818181818182,0.9644708216579355,1.0019490921714478,0.020202020202020204,2.9393939393939394,0.870560606060606,0.8379969696969697,0.8396303030303031,0.8113,0.8518,0.8251,0.9651,0.7486,0.5861,0.1018,0.6522947883837307,7,0.65
0.03,0.8181818181818182,0.9644708216579355,1.0019490921714478,0.020202020202020204,2.9393939393939394,0.870560606060606,0.8379969696969697,0.8396303030303031,0.8113,0.8518,0.8251,0.9651,0.7486,0.5861,0.1018,0.6522947883837307,7,0.7
0.03,0.7575757575757576,0.9695006700663107,1.0071743949316374,0.0707070707070707,2.787878787878788,0.870560606060606,0.8379969696969697,0.844009090909091,0.8197,0.8544,0.8309,0.9672,0.744,0.5861,0.1041,0.6513546064575035,3,0.7
0.03,0.7777777777777778,0.9643559531475712,1.0018297599976855,0.04040404040404041,2.878787878787879,0.870560606060606,0.8379969696969697,0.839530303030303,0.8122,0.8513,0.824,0.9651,0.7486,0.5861,0.1017,0.6461864494536197,5,0.65
0.03,0.7777777777777778,0.9643559531475712,1.0018297599976855,0.04040404040404041,2.878787878787879,0.870560606060606,0.8379969696969697,0.839530303030303,0.8122,0.8513,0.824,0.9651,0.7486,0.5861,0.1017,0.6461864494536197,5,0.7
0.03,0.8181818181818182,0.9625946359886524,1.0,0.0,3.0,0.870560606060606,0.8379969696969697,0.8379969696969697,0.8083,0.8507,0.8229,0.9652,0.7486,0.5861,0.0998,0.6454545454545455,7,0.55
0.03,0.8181818181818182,0.9625946359886524,1.0,0.0,3.0,0.870560606060606,0.8379969696969697,0.8379969696969697,0.8083,0.8507,0.8229,0.9652,0.7486,0.5861,0.0998,0.6454545454545455,7,0.6
0.02,0.7171717171717171,0.9634021964251528,1.0008389413428125,0.09090909090909091,2.727272727272727,0.870560606060606,0.8379969696969697,0.8387,0.8226,0.8456,0.8203,0.9656,0.7289,0.5861,0.1066,0.6427598189613674,7,0.65
0.02,0.7171717171717171,0.9634021964251528,1.0008389413428125,0.09090909090909091,2.727272727272727,0.870560606060606,0.8379969696969697,0.8387,0.8226,0.8456,0.8203,0.9656,0.7289,0.5861,0.1066,0.6427598189613674,7,0.7
0.01,0.6464646464646465,0.9702142471761492,1.0079157008595534,0.15151515151515152,2.5454545454545454,0.870560606060606,0.8379969696969697,0.8446303030303031,0.8263,0.8525,0.8271,0.9675,0.7435,0.5861,0.1074,0.6425602197377608,7,0.6
0.01,0.6464646464646465,0.9702142471761492,1.0079157008595534,0.15151515151515152,2.5454545454545454,0.870560606060606,0.8379969696969697,0.8446303030303031,0.8263,0.8525,0.8271,0.9675,0.7435,0.5861,0.1074,0.6425602197377608,7,0.65
0.02,0.7171717171717171,0.9636319334458813,1.0010776056903365,0.08080808080808081,2.757575757575758,0.870560606060606,0.8379969696969697,0.8389,0.822,0.8461,0.82,0.9649,0.7334,0.5861,0.1057,0.6398249816700741,7,0.6
0.02,0.696969696969697,0.9664653567015334,1.0040211326431354,0.09090909090909091,2.727272727272727,0.870560606060606,0.8379969696969697,0.8413666666666667,0.8275,0.8473,0.8226,0.9658,0.7314,0.5861,0.1027,0.6379720894208906,5,0.65
0.02,0.696969696969697,0.9664653567015334,1.0040211326431354,0.09090909090909091,2.727272727272727,0.870560606060606,0.8379969696969697,0.8413666666666667,0.8275,0.8473,0.8226,0.9658,0.7314,0.5861,0.1027,0.6379720894208906,5,0.7
0.03,0.7777777777777778,0.9625946359886524,1.0,0.0,3.0,0.870560606060606,0.8379969696969697,0.8379969696969697,0.8083,0.8507,0.8229,0.9652,0.7486,0.5861,0.0998,0.6333333333333333,5,0.6
0.03,0.7777777777777778,0.9625946359886524,1.0,0.0,3.0,0.870560606060606,0.8379969696969697,0.8379969696969697,0.8083,0.8507,0.8229,0.9652,0.7486,0.5861,0.0998,0.6333333333333333,5,0.55
0.01,0.6464646464646465,0.9677846041387473,1.0053916445781608,0.1111111111111111,2.6666666666666665,0.870560606060606,0.8379969696969697,0.8425151515151516,0.8243,0.8503,0.8229,0.9672,0.7435,0.5861,0.1055,0.6294293851039916,7,0.7
0.03,0.7575757575757576,0.9625946359886524,1.0,0.0,3.0,0.870560606060606,0.8379969696969697,0.8379969696969697,0.8083,0.8507,0.8229,0.9652,0.7486,0.5861,0.0998,0.6272727272727273,3,0.55
0.03,0.7575757575757576,0.9625946359886524,1.0,0.0,3.0,0.870560606060606,0.8379969696969697,0.8379969696969697,0.8083,0.8507,0.8229,0.9652,0.7486,0.5861,0.0998,0.6272727272727273,3,0.65
0.03,0.7575757575757576,0.9625946359886524,1.0,0.0,3.0,0.870560606060606,0.8379969696969697,0.8379969696969697,0.8083,0.8507,0.8229,0.9652,0.7486,0.5861,0.0998,0.6272727272727273,3,0.6
0.01,0.6161616161616161,0.9685434324799416,1.0061799601502863,0.12121212121212122,2.6363636363636362,0.870560606060606,0.8379969696969697,0.8431757575757576,0.827,0.8501,0.827,0.9677,0.7314,0.5861,0.1026,0.6236841052722357,5,0.65
0.01,0.6161616161616161,0.9685434324799416,1.0061799601502863,0.12121212121212122,2.6363636363636362,0.870560606060606,0.8379969696969697,0.8431757575757576,0.827,0.8501,0.827,0.9677,0.7314,0.5861,0.1026,0.6236841052722357,5,0.7
0.02,0.6464646464646465,0.9649511808830953,1.0024481176253621,0.09090909090909091,2.727272727272727,0.870560606060606,0.8379969696969697,0.8400484848484849,0.8195,0.8488,0.8262,0.9665,0.7289,0.5861,0.1051,0.6221913682622661,3,0.7
0.02,0.7171717171717171,0.9624867292061889,0.9998879000791931,0.010101010101010102,2.9696969696969697,0.870560606060606,0.8379969696969697,0.8379030303030303,0.808,0.8507,0.8229,0.9652,0.7486,0.5861,0.1,0.6181369782134954,7,0.55
0.005,0.6363636363636364,0.9691386602154655,1.0067983177779625,0.08080808080808081,2.757575757575758,0.870560606060606,0.8379969696969697,0.8436939393939393,0.8283,0.8503,0.821,0.9702,0.7435,0.5861,0.1059,0.6178708422627002,7,0.65
