year,category,n_entries,amount_sum,amount_real,total_entries,total_amount,entry_share,amount_share,era
1700,administrative,57.542857142857144,115.11005952380953,115.11005952380953,355.9142857142857,4070.8141220238094,0.16167616601107812,0.028276913677056432,pre_1760
1700,charitable,7.057142857142857,6.142619047619048,6.142619047619048,355.9142857142857,4070.8141220238094,0.019828209039094484,0.001508941175767868,pre_1760
1700,domestic,21.1,32.49166666666667,32.49166666666667,355.9142857142857,4070.8141220238094,0.059283936742393836,0.007981613921127256,pre_1760
1700,ecclesiastical,38.2,452.60703869047614,452.60703869047614,355.9142857142857,4070.8141220238094,0.10732921249096894,0.11118342059437046,pre_1760
1700,educational,25.114285714285714,213.87549107142857,213.87549107142857,355.9142857142857,4070.8141220238094,0.07056273581119049,0.05253875138005568,pre_1760
1700,financial,11.085714285714285,2079.6956250000003,2079.6956250000003,355.9142857142857,4070.8141220238094,0.031147146182869068,0.5108795348204397,pre_1760
1700,land_rent,137.5142857142857,844.5684970238095,844.5684970238095,355.9142857142857,4070.8141220238094,0.38636910973749694,0.2074691871718111,pre_1760
1700,maintenance,23.057142857142857,173.7331845238095,173.7331845238095,355.9142857142857,4070.8141220238094,0.06478285301436944,0.04267774929439369,pre_1760
1700,other,7.057142857142857,53.22291666666667,53.22291666666667,355.9142857142857,4070.8141220238094,0.019828209039094484,0.013074268456209157,pre_1760
1700,salary_stipend,28.185714285714287,99.36702380952381,99.36702380952381,355.9142857142857,4070.8141220238094,0.07919242193144417,0.024409619508768778,pre_1760
1701,administrative,21.542857142857144,182.6486011904762,181.9752926078272,174.9142857142857,2071.397455357143,0.12316236524011762,0.08817651132963499,pre_1760
1701,charitable,2.057142857142857,1.4426190476190477,1.43730103379401,174.9142857142857,2071.397455357143,0.011760862463247304,0.0006964472433274842,pre_1760
1701,domestic,10.1,5.832291666666666,5.810791737238882,174.9142857142857,2071.397455357143,0.05774256778830447,0.0028156313756121146,pre_1760
1701,ecclesiastical,21.2,216.64974702380954,215.8510979613525,174.9142857142857,2071.397455357143,0.12120222149624306,0.10459110416665814,pre_1760
1701,educational,7.114285714285714,3.8744494047619047,3.8601667876476085,174.9142857142857,2071.397455357143,0.04067298268539693,0.0018704519476653919,pre_1760
1701,financial,6.085714285714285,690.6227083333333,688.0768240842218,174.9142857142857,2071.397455357143,0.034792551453773274,0.3334090744136106,pre_1760
1701,land_rent,8.514285714285714,77.08308035714286,76.7989243370956,174.9142857142857,2071.397455357143,0.04867690297288468,0.03721308054993844,pre_1760
1701,maintenance,13.057142857142857,16.488392857142856,16.427610697561878,174.9142857142857,2071.397455357143,0.07464880757922247,0.007960033365156367,pre_1760
1701,other,69.05714285714286,836.790625,833.7059131214506,174.9142857142857,2071.397455357143,0.39480561907873246,0.40397395624671345,pre_1760
1701,salary_stipend,16.185714285714287,39.96494047619048,39.817615299582016,174.9142857142857,2071.397455357143,0.09253511924207776,0.019293709361683013,pre_1760
1702,administrative,13.542857142857143,59.68089285714286,59.24249836921071,198.9142857142857,2166.281830357143,0.06808388394139615,0.02754992080014981,pre_1760
1702,charitable,4.057142857142857,11.659285714285716,11.573640772568709,198.9142857142857,2166.281830357143,0.02039643780522838,0.0053821647538646955,pre_1760
1702,domestic,14.1,94.67291666666667,93.97748329031833,198.9142857142857,2166.281830357143,0.07088480321746625,0.04370295468482901,pre_1760
1702,ecclesiastical,22.2,203.09349702380953,201.60164485190546,198.9142857142857,2166.281830357143,0.11160586038494685,0.09375211211106665,pre_1760
1702,educational,14.114285714285714,93.91403273809524,93.22417385159346,198.9142857142857,2166.281830357143,0.0709566216604424,0.043352638341896704,pre_1760
1702,financial,10.085714285714285,592.8029166666666,588.4483985176363,198.9142857142857,2166.281830357143,0.05070382074116633,0.2736499509710306,pre_1760
