Era,Years,n,L1_inv mean,L2 mean,L3 mean,L4 mean
Pre Industrial,1700–1779,80,0.564298924572703,0.694555189227456,0.201603768133333,0.02080022614342088
Transition,1780–1819,39,0.8200551004718566,0.8089962191814656,0.31206390103912224,0.01474361651281313
Early Industrial,1820–1859,40,0.7943442862594228,0.7152918465633401,0.20094020455706807,0.016156122584353134
Late Industrial,1860–1900,36,0.8006942682146496,0.6797197714444667,0.1525671706539596,0.13846329151850637
