treatment,scan_argmax,scan_wald,theta_1820,p_1820,n,lambda_era1800,p_era1800,lambda_era1820,p_era1820,lambda_era1854,p_era1854,smoothing_1800,smoothing_1820,smoothing_1854
raw (v16/v17),1828,18.71516493142535,-0.764072277992459,0.000337114330746295,99,0.9480236340907259,2.644947001067987e-06,0.1145603805045328,0.634230381983701,0.18413386771017715,0.020386811298018805,1.5605566033140115,0.7169616659305857,0.5326470680109529
masked (default),1819,9.466520525929718,-0.7187928783931485,0.00453079796861655,95,0.9480236340907259,2.644947001067987e-06,0.1145603805045328,0.634230381983701,0.24416416611285255,0.20525725166496234,1.5605566033140115,0.7169616659305857,0.9231343564789363
interpolated,1819,8.689023683339117,-0.6699273673344722,0.006881148767314775,99,0.9480236340907259,2.644947001067987e-06,0.1145603805045328,0.634230381983701,0.2999977119584746,0.09338430956260566,1.5605566033140115,0.7169616659305857,0.9432378725838246
