k,form,era,n,b_permanent,p_permanent,b_transitory,p_transitory,p_equal_response,r2
3,growth,1800-1819 (tight),17,2.093186891466447,0.0827830758761276,0.06323422480705226,0.8406420378393984,0.07443616182019705,0.24560590016441142
3,growth,"1820-1853 (loose, pre-reform)",34,-0.0795425448754058,0.7562350279319081,0.2773189494457404,0.09901053424365137,0.3089624293070089,0.10688436094009912
3,growth,"1854-1900 (loose, post-reform)",40,0.9196469175000003,3.55900315760371e-06,0.6951278523492703,1.8361387730609274e-08,0.356667725087358,0.5880555689450369
3,deviation,1800-1819 (tight),17,1.655140193519142,0.13210477843249713,0.5122169526619651,0.18766355890507125,0.3324512586227183,0.2664917231067553
3,deviation,"1820-1853 (loose, pre-reform)",34,-0.8127612494700923,0.021787459388085507,0.9001824948250089,0.0010407359497835989,0.0035657326270366533,0.3182293991912536
3,deviation,"1854-1900 (loose, post-reform)",40,0.11231017956489986,0.7397776012267979,0.9841686928382544,1.8770796756507174e-05,0.09832476640384921,0.41504492902689427
5,growth,1800-1819 (tight),15,0.3605264163055468,0.8236050476100525,0.33413662904902003,0.49727383203371134,0.9872204477505261,0.0361022012092882
5,growth,"1820-1853 (loose, pre-reform)",34,-0.3247356747240779,0.461415047149651,0.26719870448793287,0.07685561474242915,0.264193906337446,0.10199458856134636
5,growth,"1854-1900 (loose, post-reform)",38,0.7412652788275338,0.006844423925037144,0.7942644157135308,1.1414830261032088e-11,0.8572006315356405,0.6003209328677501
5,deviation,1800-1819 (tight),15,-3.1693790051607182,0.10732167790292677,1.8579554165277767,0.025722140473790525,0.05194347538405535,0.3521839062584169
5,deviation,"1820-1853 (loose, pre-reform)",34,-1.0244479599388567,0.09312510123701842,0.6209465009212926,0.0017814169033395415,0.027538358433870185,0.1875128570158241
5,deviation,"1854-1900 (loose, post-reform)",38,-0.9505894343283974,0.08858270633707992,0.9672869792174619,1.894084470621148e-06,0.008227073890827916,0.37629544172715157
7,growth,1800-1819 (tight),13,3.462895414686977,0.18408838428967855,0.11343117998685143,0.8236425954299803,0.21155523661271725,0.10407538118405202
7,growth,"1820-1853 (loose, pre-reform)",34,-0.1323061934578498,0.7839649331193118,0.23548733183602683,0.1044344192875931,0.5103818199919812,0.09110843787182321
7,growth,"1854-1900 (loose, post-reform)",36,0.4861120384640901,0.19812954108119063,0.7896025989209925,7.380020732767586e-10,0.44199933972566263,0.6042575138761459
7,deviation,1800-1819 (tight),13,-2.1398265339862808,0.6541085116602599,1.7825592161784243,0.17063333888937493,0.5089551912003174,0.2894099417270257
7,deviation,"1820-1853 (loose, pre-reform)",34,-1.617853635416722,0.03489972646022283,0.6717118769025627,0.0023827269250964226,0.015706835569570976,0.1977745154879832
7,deviation,"1854-1900 (loose, post-reform)",36,-1.5911041396081274,0.05942102697343976,0.7622948319516485,0.00010869333874926173,0.020110275236797755,0.3088732366135337
