year,income,expenditure,trad_income,new_income,committed_exp,discretionary_exp,hi_spend,hi_share,arrears,balance_items,n_balance_rows,n_inc_rows,income_incomplete,observed,income_clean,income_interp,n_bad,perm3,perm5,perm7,perm,transitory,eff_income_sources,new_income_share,mean_horizon_yrs,multiyear_share,invest_spend_share,sec_income_share,rows_per_page,sections_per_page,subtotal_ratio,sig_per_page,person_share,latin_share,arrears_share,distinct_persons_per_page,persons_per_row,pages_per_year,rows_per_year,institutional_pay_share
1700,688.2791666666667,944.146875,446.91041666666666,241.36875000000003,735.5260416666666,208.6208333333334,128.82083333333333,0.1364415185225639,452.253125,548.4260416666667,2.0,130.0,False,True,688.2791666666667,688.2791666666667,0,,,,,,2.0195749245092918,0.35068437588914386,1.3922073336183023,0.17027524299812294,0.017321634058966372,0.0,33.583333333333336,2.5,0.05367231638418079,1.0833333333333333,0.4218362282878412,0.6242937853107344,0.10734463276836158,13.166666666666666,0.3920595533498759,12.0,403.0,0.5341418233612576
1701,88.20074059313872,427.9945451828235,88.20074059313872,0.0,247.49779980737935,180.49674537544416,177.47459400219188,0.4146655512312225,,,,11.0,True,True,,,1,,,,,,1.596187253643675,0.0,1.2227968892162384,0.16124734630215326,0.00493458941063786,0.0,40.8,3.8,0.06936416184971098,0.0,0.27450980392156865,0.5953757225433526,0.0,10.6,0.25980392156862747,5.0,204.0,0.45650650468604137
1702,569.2986483356495,767.5193153993781,437.9425584011648,131.35608993448477,688.0118374032163,79.50747799616181,73.09244920918538,0.09523206483885265,230.38680431473765,,,79.0,False,True,569.2986483356495,569.2986483356495,0,,,,,,2.3840406500525027,0.2307331842759607,0.6116382505559674,0.0,0.06995288782668324,0.0,38.0,3.3333333333333335,0.05583756345177665,0.0,0.37719298245614036,0.5583756345177665,0.15736040609137056,13.333333333333334,0.3508771929824561,6.0,228.0,0.7501478570495143
1703,296.1883509708898,442.3585698743943,195.4678073385422,100.72054363234761,387.1010945175222,55.25747535687208,28.15106484686645,0.06363856555296266,452.6423367289751,,,56.0,False,True,296.1883509708898,296.1883509708898,0,,,,,,2.748007691660114,0.34005572232058073,1.0,0.0,0.024537819823092936,0.0,34.833333333333336,2.8333333333333335,0.054945054945054944,0.0,0.35406698564593303,0.5604395604395604,0.2692307692307692,11.833333333333334,0.3397129186602871,6.0,209.0,0.6441946257144056
1704,537.8235448692681,213.53550781763235,465.9148764945473,71.90866837472078,185.61949809486268,27.916009722769672,24.516325055840227,0.11481146768704212,59.12495072920772,0.09854158454867953,1.0,99.0,False,True,537.8235448692681,537.8235448692681,0,449.2788548106669,,,,,1.9706922803678402,0.13370308730570737,0.6819101285941338,0.02239560757116024,0.0986982521583633,0.0,31.714285714285715,2.857142857142857,0.06315789473684211,0.0,0.45495495495495497,0.4473684210526316,0.1368421052631579,13.142857142857142,0.4144144144144144,7.0,222.0,0.36522006652950567
1705,406.4197758141057,471.8478972344952,333.11753395516286,73.30224185894286,345.28105056455576,126.56684666993942,120.99492718049422,0.25642781898498773,345.33014236622483,97.26313205694649,1.0,62.0,False,True,406.4197758141057,406.4197758141057,0,401.53882044029433,,,,,2.040885486523959,0.18036091307838062,0.7958271905647074,0.03692071021088392,0.036050408146455874,0.0,33.714285714285715,2.5714285714285716,0.09,0.0,0.4110169491525424,0.525,0.305,12.571428571428571,0.3728813559322034,7.0,236.0,0.5630600363278524
1706,491.61021163503557,242.18597143416162,421.6294104219657,69.98080121306987,208.3710379573469,33.8149334768147,22.940716102523968,0.09472355465791467,246.52709841518293,,,74.0,False,True,491.61021163503557,491.61021163503557,0,475.421165886241,448.3619330946457,,448.3619330946457,0.09208535709748134,1.7799269872928583,0.1423501781631473,0.505342712762405,0.0,0.09472355465791467,0.0,30.714285714285715,3.0,0.0718232044198895,0.0,0.23255813953488372,0.7403314917127072,0.30386740331491713,6.714285714285714,0.2186046511627907,7.0,215.0,0.7479761003113692
1707,958.4206550346038,238.22680085778342,868.4285342950905,89.99212073951333,178.20125418331872,60.02554667446469,48.157918250641714,0.20215155506114116,88.2852860902622,,,96.0,False,True,958.4206550346038,958.4206550346038,0,576.3911412022842,497.5903340147509,,497.5903340147509,0.6555096626845147,2.4092889184082713,0.09389626597338323,1.5570056840130233,0.6859444842999833,0.12090989297633203,0.0,35.333333333333336,4.0,0.07428571428571429,0.0,0.3490566037735849,0.6228571428571429,0.07428571428571429,12.166666666666666,0.3443396226415094,6.0,212.0,0.512797234689137
1708,469.5340828153328,173.1760716135716,387.00607841232835,82.52800440300445,110.5324074074074,62.64366420616419,55.691126003626,0.32158672664602445,486.33975977725976,,,60.0,False,True,469.5340828153328,469.5340828153328,0,604.8041013043546,545.6218642168641,503.06470727874455,545.6218642168641,-0.1501852895681992,2.4694274407636225,0.17576573761837563,1.1877346683354193,0.046933667083854824,0.15836887305018404,0.0,31.428571428571427,6.142857142857143,0.059880239520958084,0.0,0.39090909090909093,0.6107784431137725,0.23353293413173654,11.571428571428571,0.36818181818181817,7.0,220.0,0.4769644213355143
1709,976.8621568437693,319.2219910319688,266.5085970515178,710.3535597922514,312.3931417142489,6.828849317719914,5.006209877737993,0.015682534469364427,587.4564502080713,,,50.0,False,True,976.8621568437693,976.8621568437693,0,760.3592919706513,614.7951885843245,543.4040479532096,614.7951885843245,0.463056368255776,2.0178917102214755,0.7271789113905239,0.5238483471036739,0.005101250717363382,0.005179089111912537,0.003851329596208938,28.857142857142858,2.7142857142857144,0.06395348837209303,0.0,0.37623762376237624,0.5872093023255814,0.3488372093023256,10.428571428571429,0.3613861386138614,7.0,202.0,0.8477221481851083
