era,n,sd_income,sd_expenditure,sd_permanent,smoothing_ratio,ar1_rho,sd_innovation,pih_benchmark_sd,excess_smoothness,sd_ratio_vs_5yr_mean,persistence_share,ratio_if_spending_unchanged
1800-1819 (tight),19,0.40749804592300315,0.6359237664026989,0.06893792987024512,1.5605566033140115,-0.4151189659203705,0.3931077643766526,0.277791319206143,2.2892139618329597,9.22458460240442,0.1691736452725738,1.5605566033140115
"1820-1853 (loose, pre-reform)",34,0.679318129309504,0.48704505768659107,0.11973651318651143,0.7169616659305857,-0.5399124314186281,0.5811676334108532,0.3774030402985049,1.2905170485679325,4.067640227070331,0.17625985237317038,0.9361207054036472
"1854-1900 (loose, post-reform)",43,0.7029773670453228,0.648942559346641,0.20977188414018919,0.9231343564789363,-0.4246902687569283,0.6579113944652482,0.4617925796877166,1.4052684860927889,3.0935630959626454,0.2984048903620885,0.90461485136505
