era,n,b_pos,p_pos,b_neg,p_neg,p_symmetry,n_pos,n_neg
1800-1819 (tight),18,1.764934756346784,0.0041529636481548475,-0.32735342140808676,0.6300910264739958,0.07908022193257642,8,10
"1820-1853 (loose, pre-reform)",34,0.7694312260294871,0.011618219609159187,0.04746847760352155,0.7134722857511395,0.07514137068522622,19,15
"1854-1900 (loose, post-reform)",41,0.7625956434815451,9.486742106920567e-06,0.3107291264211867,0.3347856916734282,0.27434207127881793,17,24
