year,eff_income_sources,new_income_share,mean_horizon_yrs,multiyear_share,invest_spend_share,sec_income_share,rows_per_page,sections_per_page,subtotal_ratio,sig_per_page,person_share,latin_share,arrears_share,distinct_persons_per_page,persons_per_row,pages_per_year,rows_per_year,institutional_pay_share
1700,2.0195749245092918,0.35068437588914386,1.3922073336183023,0.17027524299812294,0.017321634058966372,0.0,33.583333333333336,2.5,0.05367231638418079,1.0833333333333333,0.4218362282878412,0.6242937853107344,0.10734463276836158,13.166666666666666,0.3920595533498759,12.0,403.0,0.5341418233612576
1701,1.596187253643675,0.0,1.2227968892162384,0.16124734630215326,0.00493458941063786,0.0,40.8,3.8,0.06936416184971098,0.0,0.27450980392156865,0.5953757225433526,0.0,10.6,0.25980392156862747,5.0,204.0,0.45650650468604137
1702,2.3840406500525027,0.2307331842759607,0.6116382505559674,0.0,0.06995288782668324,0.0,38.0,3.3333333333333335,0.05583756345177665,0.0,0.37719298245614036,0.5583756345177665,0.15736040609137056,13.333333333333334,0.3508771929824561,6.0,228.0,0.7501478570495143
1703,2.748007691660114,0.34005572232058073,1.0,0.0,0.024537819823092936,0.0,34.833333333333336,2.8333333333333335,0.054945054945054944,0.0,0.35406698564593303,0.5604395604395604,0.2692307692307692,11.833333333333334,0.3397129186602871,6.0,209.0,0.6441946257144056
1704,1.9706922803678402,0.13370308730570737,0.6819101285941338,0.02239560757116024,0.0986982521583633,0.0,31.714285714285715,2.857142857142857,0.06315789473684211,0.0,0.45495495495495497,0.4473684210526316,0.1368421052631579,13.142857142857142,0.4144144144144144,7.0,222.0,0.36522006652950567
1705,2.040885486523959,0.18036091307838062,0.7958271905647074,0.03692071021088392,0.036050408146455874,0.0,33.714285714285715,2.5714285714285716,0.09,0.0,0.4110169491525424,0.525,0.305,12.571428571428571,0.3728813559322034,7.0,236.0,0.5630600363278524
1706,1.7799269872928583,0.1423501781631473,0.505342712762405,0.0,0.09472355465791467,0.0,30.714285714285715,3.0,0.0718232044198895,0.0,0.23255813953488372,0.7403314917127072,0.30386740331491713,6.714285714285714,0.2186046511627907,7.0,215.0,0.7479761003113692
1707,2.4092889184082713,0.09389626597338323,1.5570056840130233,0.6859444842999833,0.12090989297633203,0.0,35.333333333333336,4.0,0.07428571428571429,0.0,0.3490566037735849,0.6228571428571429,0.07428571428571429,12.166666666666666,0.3443396226415094,6.0,212.0,0.512797234689137
1708,2.4694274407636225,0.17576573761837563,1.1877346683354193,0.046933667083854824,0.15836887305018404,0.0,31.428571428571427,6.142857142857143,0.059880239520958084,0.0,0.39090909090909093,0.6107784431137725,0.23353293413173654,11.571428571428571,0.36818181818181817,7.0,220.0,0.4769644213355143
1709,2.0178917102214755,0.7271789113905239,0.5238483471036739,0.005101250717363382,0.005179089111912537,0.003851329596208938,28.857142857142858,2.7142857142857144,0.06395348837209303,0.0,0.37623762376237624,0.5872093023255814,0.3488372093023256,10.428571428571429,0.3613861386138614,7.0,202.0,0.8477221481851083
1710,3.1182330983459567,0.3580937268174722,0.6571363739505333,0.08599954617653732,0.1345970528054208,0.0,32.142857142857146,3.857142857142857,0.07608695652173914,0.0,0.39111111111111113,0.47282608695652173,0.1793478260869565,11.714285714285714,0.36444444444444446,7.0,225.0,0.4739959967374827
1711,1.7544365663114838,0.07960125119503983,1.0,0.0,0.005768969729876475,0.06523292833474109,34.142857142857146,4.142857142857143,0.05,0.0,0.20502092050209206,0.715,0.005,6.857142857142857,0.200836820083682,7.0,239.0,0.6757669336229131
1712,1.9598795136335796,0.3879633217099315,0.8294784867879096,0.0,0.14594590293085474,0.0,31.571428571428573,2.4285714285714284,0.0625,0.8571428571428571,0.12217194570135746,0.9010416666666666,0.16145833333333334,3.857142857142857,0.12217194570135746,7.0,221.0,0.9108886466183364
