k,era,n,lambda_current,p_current,lambda_permanent,p_permanent
3,1800-1819 (tight),17,0.5262189566206397,0.17099013018863907,0.35051923960581444,0.4964468459665021
3,"1820-1853 (loose, pre-reform)",34,0.3451653608709649,0.20697923417247965,0.2478135777356346,0.2879461774147669
3,"1854-1900 (loose, post-reform)",41,-0.007774231699308659,0.9748110484610467,0.1732847994100003,0.570582166499588
5,1800-1819 (tight),15,0.7588953665988458,0.020396898407954275,0.062349629786812494,0.8602695864390086
5,"1820-1853 (loose, pre-reform)",34,0.2598463359775633,0.26730670045628224,0.6743935747345544,0.021454763157364682
5,"1854-1900 (loose, post-reform)",39,0.13925425963121638,0.554393758833351,0.08241847612941151,0.7345375953643202
7,1800-1819 (tight),13,0.62264995947048,0.020639630794009944,0.2649899395187258,0.4275472869163742
7,"1820-1853 (loose, pre-reform)",34,0.2918755854768996,0.20475691226845405,0.6439781107431506,0.010977471412843382
7,"1854-1900 (loose, post-reform)",37,-0.025106542919118204,0.9311135867487311,0.15047445276121532,0.4396482970638471
