spec,model,tau,tau2,bic,adj_r2,n,theta,p_theta,delta_bic_vs_best_in_spec
fully interacted,TREND,,,175.806407713547,0.184345726333755,95,-0.7809135829928507,0.09579756341290067,2.6698279560043545
fully interacted,STEP (best scanned),1819.0,,173.13657975754265,0.20694932001167143,95,-0.8048758042558517,0.0020925590840175407,0.0
fully interacted,STEP @1820,1820.0,,173.97219755193433,0.1999428956430569,95,-0.7187928783931485,0.00453079796861655,0.8356177943916805
fully interacted,TWO STEPS (1820 + scanned),1820.0,1872.0,185.27822085836482,0.22021424945677648,95,0.24891830944311555,0.6113110798512082,12.14164110082217
restricted (gap only),TREND,,,167.89234627699665,0.19259329528060354,95,-0.7676889316701034,0.028154581706897,2.7165878171731492
restricted (gap only),STEP (best scanned),1858.0,,165.1757584598235,0.2153546351079224,95,-0.5235394465538121,0.003996655726087004,0.0
restricted (gap only),STEP @1820,1820.0,,168.0443701820226,0.19130020702645945,95,-0.4165463092808506,0.02091694693565753,2.868611722199091
restricted (gap only),TWO STEPS (1820 + scanned),1820.0,1859.0,172.45229185922008,0.21264116438076952,95,-0.5547821077852267,0.04822230113884137,7.276533399396584
