term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
little tew,0.0002758557274545413,0.0013301319986924126,0.0020417633410672853,0.001765907613612744,0.0010542762712378714,industrial_vs_pre
whittenham,0.0,0.0010483243718507997,6.187161639597834e-05,6.187161639597834e-05,0.0010483243718507997,industrial_vs_pre
annunc,0.00016091584101514907,0.0011948643378084385,3.093580819798917e-05,-0.0001299800328171599,0.0010339484967932895,industrial_vs_pre
dr,0.0013562906599848279,0.002389728675616877,0.003557617942768755,0.002201327282783927,0.001033438015632049,industrial_vs_pre
comm,4.597595457575688e-05,0.0010708689819981289,0.00300077339520495,0.002954797440629193,0.001024893027422372,industrial_vs_pre
house,0.0011953748189696789,0.0022093717944382447,0.002134570765661253,0.000939195946691574,0.0010139969754685658,industrial_vs_pre
olim,0.00032183168203029814,0.0013301319986924126,0.0,-0.00032183168203029814,0.0010083003166621145,industrial_vs_pre
lad lane,0.0004597595457575688,0.0014653996595763868,0.0004640371229698376,4.277577212268772e-06,0.001005640113818818,industrial_vs_pre
fees,0.0004137835911818119,0.0014090381342080642,0.004733178654292344,0.004319395063110532,0.0009952545430262523,industrial_vs_pre
rect pro,0.002344773683363601,0.003336602301804696,0.0,-0.002344773683363601,0.000991828618441095,industrial_vs_pre
rector,0.00032183168203029814,0.0013075873885450835,0.004392884764114462,0.004071053082084164,0.0009857557065147853,industrial_vs_pre
vicarage,0.0010574469552424083,0.002040287218333277,0.0017324052590873937,0.0006749583038449854,0.0009828402630908686,industrial_vs_pre
festum,9.195190915151376e-05,0.0010595966769244643,0.0014539829853054912,0.0013620310761539775,0.0009676447677729505,industrial_vs_pre
turner,4.597595457575688e-05,0.0010032351515561417,0.0002165506573859242,0.00017057470281016732,0.0009572591969803848,industrial_vs_pre
annuity,0.00039079561389393345,0.001318859693618748,0.0,-0.00039079561389393345,0.0009280640797248146,industrial_vs_pre
