year,n_pages,n_data_rows,n_entry_rows,n_total_rows,amount_sum,amount_mean,amount_median,amount_p90,amount_max,era
1700,12,373.0,354.0,19.0,9035.933333333334,24.22502234137623,1.0916666666666668,34.19875000000002,901.071875,pre_1760
1701,5,185.0,173.0,12.0,11379.306250000001,61.50976351351352,1.0,32.680625,5909.033333333334,pre_1760
1702,6,208.0,197.0,11.0,6436.632291666667,30.945347556089743,1.6729166666666666,47.75500000000007,881.3895833333333,pre_1760
1703,6,192.0,182.0,10.0,3940.5666666666666,20.52378472222222,1.5130208333333333,31.815000000000012,546.0229166666667,pre_1760
1704,7,202.0,190.0,12.0,2719.0,13.46039603960396,1.125,20.151875,482.25416666666666,pre_1760
1705,7,218.0,200.0,18.0,4679.05,21.463532110091744,1.975,40.910833333333336,515.975,pre_1760
1706,7,194.0,181.0,13.0,4064.45,20.950773195876288,1.1947916666666667,29.879375000000007,576.1760416666666,pre_1760
1707,6,188.0,175.0,13.0,3585.1770833333335,19.070090868794328,1.2916666666666667,30.200000000000006,399.69166666666666,pre_1760
1708,7,177.0,167.0,10.0,2923.264583333333,16.515619114877587,1.75,36.28562500000003,449.8916666666667,pre_1760
1709,7,183.0,172.0,11.0,4767.389583333334,26.051309198542807,1.5333333333333334,58.0,599.90625,pre_1760
1710,7,198.0,184.0,14.0,6582.585416666667,33.245380892255895,1.9666666666666668,58.60000000000002,783.5083333333333,pre_1760
1711,7,210.0,200.0,10.0,4320.9875,20.576130952380954,2.0,35.41708333333333,577.3937500000001,pre_1760
1712,7,204.0,192.0,12.0,4854.989583333333,23.79896854575163,1.6666666666666665,43.100729166666675,566.1020833333333,pre_1760
1713,7,206.0,189.0,17.0,4039.110416666667,19.607332119741102,2.1479166666666667,37.14375,533.475,pre_1760
1714,8,219.0,203.0,16.0,4706.513541666666,21.49092941400304,1.5,41.984375,564.9052083333333,pre_1760
1715,7,208.0,191.0,17.0,5950.002083333333,28.60577924679487,2.0,51.35000000000011,588.0166666666667,pre_1760
1716,8,232.0,214.0,18.0,5660.671875,24.399447737068964,1.5,49.55208333333336,521.4958333333334,pre_1760
1717,7,222.0,204.0,18.0,4769.203125,21.48289695945946,1.41875,30.37833333333334,470.32708333333335,pre_1760
1718,7,202.0,191.0,11.0,3871.242708333333,19.164567863036304,1.6593749999999998,29.928333333333338,559.2354166666668,pre_1760
1719,6,181.0,174.0,7.0,1732.0874999999999,9.569544198895027,1.125,20.0,264.65,pre_1760
1720,7,200.0,193.0,7.0,2679.8625,13.3993125,1.4125,26.07520833333333,545.2666666666667,pre_1760
1721,13,186.5,177.0,9.5,3211.0671875,17.217518431635387,1.95,29.0,564.1791666666667,pre_1760
1722,13,186.5,177.0,9.5,3211.0671875,17.217518431635387,1.95,29.0,564.1791666666667,pre_1760
1723,7,202.0,190.0,12.0,3907.516666666667,19.34414191419142,1.4260416666666667,36.618750000000006,490.13958333333335,pre_1760
1724,7,183.0,174.0,9.0,3048.2385416666666,16.65704121129326,1.5,30.218750000000007,406.3916666666667,pre_1760
1725,6,154.0,144.0,10.0,3080.008333333333,20.00005411255411,1.0875,29.0,536.0875,pre_1760
1726,6,204.0,194.0,10.0,4605.43125,22.57564338235294,1.4166666666666667,42.8583333333334,578.5895833333333,pre_1760
1727,6,188.0,178.0,10.0,3439.5833333333335,18.295656028368796,0.7833333333333333,30.0,605.2979166666667,pre_1760
1728,6,191.0,182.0,9.0,3649.4864583333333,19.10725894415358,1.15,30.596875,669.4760416666667,pre_1760
1729,6,194.0,186.0,8.0,3347.670833333333,17.256035223367697,1.2125,31.558750000000025,478.39375,pre_1760
1730,9,263.0,260.0,3.0,4748.309375,18.054408269961975,1.0,34.96833333333338,746.4645833333334,pre_1760
1731,7,169.0,166.0,3.0,4727.39375,27.972744082840237,5.479166666666667,50.50000000000004,1079.6208333333332,pre_1760
1732,7,145.0,141.0,4.0,3118.10625,21.50418103448276,4.05,40.0,645.25,pre_1760
1733,6,174.0,165.0,9.0,4961.401041666667,28.513799090038315,4.0,50.0,738.953125,pre_1760
1734,5,188.0,177.0,11.0,6272.640625,33.365109707446805,5.470833333333333,54.23500000000004,624.703125,pre_1760
1735,5,154.0,142.0,12.0,5717.510416666667,37.12669101731602,4.638541666666667,74.16156250000004,647.1645833333333,pre_1760
1736,5,152.0,136.0,16.0,5727.711458333333,37.68231222587719,5.763020833333334,79.00000000000006,660.15,pre_1760
1737,5,185.0,167.0,18.0,5746.282291666666,31.06098536036036,5.0,80.09999999999994,609.5416666666666,pre_1760
1738,4,159.0,147.0,12.0,3858.109375,24.26483883647799,3.875,50.0,637.8145833333333,pre_1760
1739,6,175.0,158.0,17.0,4801.99375,27.439964285714282,3.75625,50.0,474.45,pre_1760
1740,5,183.0,169.0,14.0,14876.762499999999,81.29378415300546,4.4750000000000005,92.52000000000007,1786.2604166666667,pre_1760
1741,5,169.0,157.0,12.0,6409.220833333334,37.924383629191325,6.415625,92.5208333333335,690.6510416666666,pre_1760
1742,5,177.0,162.0,15.0,10528.98125,59.4857697740113,4.675000000000001,95.48625000000011,1154.4,pre_1760
1743,7,173.0,158.0,15.0,5561.870833333333,32.14954238921002,4.0,59.85833333333335,593.115625,pre_1760
1744,7,186.0,168.0,18.0,8053.719791666666,43.29956877240143,4.748958333333333,90.37187499999999,751.0864583333333,pre_1760
