year,n_educational,n_scholarship,n_prize,scholar_income,scholar_expenditure,scholarship_intensity,prize_intensity,scholar_income_share,era
1700,25.114285714285717,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0005688282138794083,0.0,0.0,pre_industrial
1701,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1702,14.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0010121457489878543,0.0,0.0,pre_industrial
1703,5.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.002793296089385475,0.0,0.0,pre_industrial
1704,14.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0010121457489878543,0.0,0.0,pre_industrial
1705,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1706,9.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.001567398119122257,0.0,0.0,pre_industrial
1707,4.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0034722222222222225,0.0,0.0,pre_industrial
1708,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1709,8.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0017605633802816902,0.0,0.0,pre_industrial
1710,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1711,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1712,0.11428571428571428,0.014285714285714285,0.0,0.0,0.014285714285714285,0.125,0.0,0.0,pre_industrial
1713,4.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0034722222222222225,0.0,0.0,pre_industrial
1714,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1715,1.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.012820512820512822,0.0,0.0,pre_industrial
1716,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1717,8.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0017605633802816902,0.0,0.0,pre_industrial
1718,1.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.012820512820512822,0.0,0.0,pre_industrial
1719,4.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0034722222222222225,0.0,0.0,pre_industrial
1720,6.114285714285714,1.0142857142857142,0.0,0.0,1.0142857142857142,0.1658878504672897,0.0,0.0,pre_industrial
1721,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1722,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1723,1.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.012820512820512822,0.0,0.0,pre_industrial
