year,administrative,charitable,domestic,ecclesiastical,educational,financial,land_rent,maintenance,other,salary_stipend,era,administrative_5yr,charitable_5yr,domestic_5yr,ecclesiastical_5yr,educational_5yr,financial_5yr,land_rent_5yr,maintenance_5yr,other_5yr,salary_stipend_5yr
1700,111.59095238095237,6.142619047619048,23.491666666666667,446.4113541666666,21.126979166666665,172.2,0.21,173.7331845238095,53.19880952380952,99.36702380952381,pre_industrial,114.92649099188577,6.384520284660589,41.051953299834935,249.83978163464883,15.615417323974086,58.16255970835247,0.41327337779253015,184.07848685168173,18.752318045535986,89.49136255532517
1701,178.4691581624181,1.43730103379401,5.810791737238882,192.89140596459765,3.4942587426521867,1.2453920494171564,0.2092258643020823,16.427610697561878,1.078153688495424,39.817615299582016,pre_industrial,94.16481699138879,5.581903642999376,34.73268963119111,197.49436186637826,11.738838361391206,175.79361603616826,0.36187868085700764,188.64446321440732,20.076115332641145,101.09872264083464
1702,54.7193624322868,11.573640772568709,93.85340149559926,110.21658477268217,22.225014062603407,1.0422870756402622,0.8205942690755081,362.07466533367375,1.979990924303015,129.28944855686964,pre_industrial,80.66363372337362,5.009331687415999,37.244501461883644,178.91728442806516,9.74703163379829,140.73343441348328,0.39001536092525924,155.77015134747046,16.160841587583718,84.2417800722375
1703,31.87979498989785,3.1740537180157395,15.77489862525962,40.45810256156661,0.1091014736425675,528.6867850196156,0.20769459005044014,202.3423923025842,24.04750719395661,135.92080289736307,pre_industrial,81.91182237615432,4.81846830288693,49.61620576559825,112.01553642241961,6.91623161129788,106.29343441348328,0.3892524743273211,130.37772348027545,7.731613380837102,87.93987401290656
1704,26.658900651312944,2.719043865082493,47.291748784653784,104.60897467481276,1.779804723426619,0.49270792274339764,0.5025620811982656,24.272903879722953,0.4997466073540176,16.814009797848975,pre_industrial,46.95563876707494,4.55239054854169,48.68149801490258,92.21556426882702,6.238963212405478,110.63249922410466,2.494451258944241,128.32419629096387,7.586267556164076,102.87576375078388
1705,117.83189564485589,5.188302124973702,85.35018818523974,111.90261413843888,6.972979054164622,0.0,0.2061855670103093,46.77104518783459,11.052668490076442,117.85749351286907,pre_industrial,44.24037739559676,4.3514393796248,35.129812419620016,77.56634436728471,3.9534260723025114,110.42404180897661,2.371272067864299,67.1617523278733,7.472715910695134,90.25022751301503
1706,3.688240117021177,0.10691226206780892,1.1372529837605165,93.89154519663471,0.10791674819017805,22.940716102523968,10.735219787386683,6.159974751003904,0.35142456513029785,114.4970639889687,pre_industrial,45.170110390809185,5.092752512145529,39.01154598128137,74.35179990392244,3.9530340021272226,9.251564369933039,2.3705256906467516,33.427858726941324,2.700619196808537,67.97661934409481
1707,41.14305557489591,10.568884927984255,26.094973519186404,36.9704852649706,10.797328362088573,0.0,0.20469831367579686,56.262445518220936,1.412232696958304,66.1617673680253,pre_industrial,41.69833265693726,4.934624383205106,32.08190682791847,97.65500013009412,3.6829427629162694,9.153022785384358,2.3106597468739523,38.8137004531051,2.6020524084148375,71.5455617265084
1708,36.52845996595996,6.88061938061938,35.18356643356643,24.385380244755243,0.10714112276612275,22.824397824397824,0.20396270396270394,33.6729242979243,0.1870236245236245,24.552762052762052,pre_industrial,50.366627725513965,7.139674157043997,21.851309885181042,86.36233088646293,2.309622265487395,9.153022785384358,2.309924079952122,66.68764497204275,8.999453687669146,90.20994836167624
1709,9.300011981953336,1.9284032203803814,12.643553017839286,221.12497580567117,0.4293485273718507,0.0,0.20323236233426886,51.20211251054182,0.006912665385519349,34.65872170991691,pre_industrial,58.24207378954172,7.397166448032533,24.332635627110555,101.93362958603667,2.3093635823871517,8.948618852204778,0.20347552166287736,78.08832149367834,8.930549570533838,78.17067935076126
1710,161.1733709877394,16.21355099416816,34.19720347155256,55.43926792028287,0.10637656702025072,0.0,0.2025072324011572,186.14076778252286,43.03967488634798,211.17942668870828,pre_industrial,51.20333912892262,5.304564760689065,19.56171300232772,116.6203833048568,0.1712721591459534,13.453559755130566,0.22260173763339522,73.33224320004697,8.649487037563967,83.10428670054776
1711,43.065470437159966,1.3943737170104848,13.543881693408077,171.7480386945035,0.10662333268896189,21.918696436626067,0.20297699594046004,63.163357359181816,0.006903979453757144,54.30071893439378,pre_industrial,57.0999101733986,4.673106977842663,12.891575749795825,140.4128911556921,0.1712679975175686,8.888680190251003,0.22259381521335392,68.29435857814119,17.566664339682518,97.87966498388876
1712,5.949382271800407,0.10587649126691948,2.240360395272234,110.40425385907123,0.10687124588258089,22.524704514628947,0.30032939352838595,32.48205405006413,0.006920032108948986,90.82980411695777,pre_industrial,56.26136044995953,4.308700562749595,14.099644070373063,96.55510529311087,0.10687240144557339,17.0616167290869,0.2228272337334575,58.195648396546005,17.566672279087967,91.73233251839433
1713,66.01131518833985,3.7233304663873703,1.8328801709069722,143.34791949893182,0.10712031462419885,0.0,0.20392309186249757,8.483501188395342,44.77291013511639,98.42965346946703,pre_industrial,24.911912733247892,1.0873144057278101,11.389471668745475,85.86215008303802,1.6680970880415233,17.0616167290869,0.22330139700932367,21.667262552004257,8.960131030041364,50.28269572885245
1714,5.107263364758012,0.10637114491504214,18.68389462072546,1.8360464927649083,0.10737054701187465,40.864682694179486,0.20439945493478684,0.7085616025658853,0.0069523624127478525,3.922059382444822,pre_industrial,30.249229829260525,1.106070351605141,14.658105852262178,74.8266640274283,2.5892026646747333,12.677877441761687,0.5896751613912167,15.134006203150395,9.172025452315328,62.60046910923175
1715,4.4261324041811845,0.10662020905923346,20.646341463414636,1.9744918699186993,7.9125000000000005,0.0,0.20487804878048782,3.4988385598141702,0.006968641114982578,3.931242740998839,pre_industrial,33.778059324247444,1.6715680679800744,32.3224953820426,54.836681876145974,3.740372197763132,8.172936538835899,0.5707776810388034,10.549568769039585,9.956201700185416,49.98169324490518
1716,69.75205591722313,1.4881534463971389,29.887052610991592,116.57060841645479,4.712151215855011,0.0,2.034845817849925,30.4970756149125,1.066376090823578,115.88958583629032,pre_industrial,27.980720773568216,1.5673589828153365,70.63104379929239,48.959497432703344,3.7406247903698313,8.172936538835899,0.5712585372192613,19.02981413766356,9.638888198178746,47.71432523055402
1717,23.593529746735,2.9333650731415877,90.56230804417434,10.45434310265961,5.862718911324577,0.0,0.20584199176632031,9.559866879510086,3.9278012714593777,27.735924795324912,pre_industrial,33.230875817960005,2.188055546482656,82.05167410632058,56.08336307998452,3.819665256504191,0.0,0.5815899915149513,25.325396057280948,10.032838056037512,48.94807180909568
1718,37.024622434943716,3.2022850405636802,193.37562225715595,113.96199728171874,0.10838327765769305,0.0,0.2063273727647868,50.884728031515216,43.18634262508304,87.09281339771121,pre_industrial,37.02961492730851,3.0175282893274162,92.77350814993248,86.36938359379283,9.099393785625614,0.0,0.5820753886690214,31.111079386544077,16.50866897878053,70.03298623743895
1719,31.358038586716944,3.2098539632516396,75.78704615586634,37.45537472917078,0.5025728776836715,0.0,0.2560567264132362,32.18647120065281,1.976701651706576,10.09079227515312,pre_industrial,26.631483802410724,3.2638716802799026,112.04436514323534,67.78164955598083,8.739687604923526,0.0,2.7285728519765855,43.138997137425335,18.454131024545557,58.11691106948931
1720,23.419827950923708,4.253983923283035,74.25551168147418,153.4045944389602,34.31114264560711,0.0,0.2073050345508391,32.427255206129836,32.386123254830075,109.3558148827152,pre_industrial,25.492476272126616,3.225371423126668,119.37505042025987,70.4536493195708,8.154365655056363,0.0,5.260580075114901,59.49427289754501,19.84397030055498,63.918492912654436
1721,17.761400292734223,2.7198704011595685,126.24133757750587,23.631938227394805,2.913620312344573,0.0,12.767333134387744,90.6366643693188,10.793686319648717,56.30920999654213,pre_industrial,30.789027162641133,2.9100554826542417,91.85340948568222,76.88619261838751,8.154976604333392,0.0,5.261743128696098,58.60001096780381,12.53319459107048,70.41824329022715
1722,17.89849209531447,2.7408637873754156,127.21573442929699,23.814341920609465,2.936109161988773,0.0,12.865878107457899,91.33624568010846,10.876997651506473,56.743834011150575,pre_industrial,38.034972363430995,3.0233861997342566,96.75386355458362,108.49567000405406,8.076924358261126,0.1018122581958868,5.253292931855723,53.1797484640086,17.89170130962814,71.14145261016236
1723,63.507376887516294,1.62570533820155,55.767417584267776,146.12471377580226,0.1114380240428326,0.0,0.21214264067077482,46.41341838280923,6.632464077660562,119.59156528557479,pre_industrial,38.16786034895052,2.626008751000834,100.63287922752428,88.50290316004516,1.545185824008867,0.1018122581958868,5.254930950086655,55.2428815562821,16.78108713045474,77.60284112522673
1724,67.58776459066624,3.776507548651715,100.28931650037332,195.50276165750358,0.11231164732233762,0.509061290979434,0.21380574221136225,5.0851586816767025,28.76923524449487,13.706838874829103,pre_industrial,43.09098762338238,20.29480581563564,95.26979996191969,91.24938563592876,0.9852818897981235,0.1018122581958868,2.744906607032026,41.76810892041507,18.05266489696415,83.31416292598529
1725,24.08426787852134,2.2670966796159204,93.65059004617753,53.440760218915685,1.6524499743458183,0.0,0.21549512570548995,42.74292066749737,26.83305235896308,141.66275745803708,pre_industrial,42.136865761707114,22.966864326561986,72.8868136432587,93.82301761673232,0.8624494154791235,0.1018122581958868,3.218337178846671,27.46874137973822,16.601654799216192,75.11338704778613
1726,42.37703666489352,91.0638557243336,99.42594124948285,37.364350606812856,0.11410064129085644,0.0,0.2172114191146049,23.262801189983648,17.151575152195758,84.86581900033494,pre_industrial,47.944805081341904,22.966007271454583,66.60422214518448,68.34669531563956,1.1786761053941224,0.1018122581958868,3.3461840343576705,18.99952056992913,17.911377285444892,96.0025819738939
