year,balance_sheet,expenditure,income,total_real,era,yoy_pct_change
1700,0.0,21.126979166666665,192.7485119047619,213.87549107142857,pre_industrial,
1701,0.0,3.4942587426521867,0.3659080449954217,3.8601667876476085,pre_industrial,-98.19513364139586
1702,0.0,22.225014062603407,70.99915978899006,93.22417385159346,pre_industrial,2315.029686020495
1703,0.0,0.1091014736425675,0.5692762714817903,0.6783777451243578,pre_industrial,-99.27231562684129
1704,0.0,1.779804723426619,0.36190570039604325,2.141710423822662,pre_industrial,215.71059622984117
1705,0.0,6.972979054164622,16.069967505902707,23.042946560067328,pre_industrial,975.9132655729808
1706,0.0,0.10791674819017805,48.45102416822726,48.55894091641744,pre_industrial,110.7323418462832
1707,0.0,10.797328362088573,3.5919390175409274,14.3892673796295,pre_industrial,-70.36741924747254
1708,0.0,0.10714112276612275,34.35048747548747,34.45762859825359,pre_industrial,139.46756766111895
1709,0.0,0.4293485273718507,657.8484098565392,658.2777583839111,pre_industrial,1810.397741118129
1710,0.0,0.10637656702025072,15.54220048675208,15.64857705377233,pre_industrial,-97.62280027625573
1711,0.0,0.10662333268896189,43.12915964762088,43.23578298030984,pre_industrial,176.2921052293837
1712,0.0,0.10687124588258089,0.35580498426846036,0.46267623015104126,pre_industrial,-98.92987660160625
1713,0.0,0.10712031462419885,30.823715192039135,30.930835506663335,pre_industrial,6585.2009009768935
1714,0.0,0.10737054701187465,30.5307201720478,30.638090719059676,pre_industrial,-0.9464496603740158
1715,0.0,7.9125000000000005,0.3583042973286876,8.270804297328688,pre_industrial,-73.00483123061093
1716,0.0,4.712151215855011,10.252228213796766,14.964379429651776,pre_industrial,80.93015977279241
1717,0.0,5.862718911324577,8.201589790984027,14.064308702308605,pre_industrial,-6.0147547820104785
1718,0.0,0.10838327765769305,8.220929362116236,8.329312639773928,pre_industrial,-40.77694953889414
1719,0.0,0.5025728776836715,22.766655411425948,23.26922828910962,pre_industrial,179.36552865112753
1720,0.0,34.31114264560711,17.267780754947587,51.5789234005547,pre_industrial,121.6615126196277
1721,0.0,2.913620312344573,40.15288909257127,43.06650940491585,pre_industrial,-16.50366745643882
1722,0.0,2.936109161988773,40.4628101491198,43.39891931110857,pre_industrial,0.7718524458701026
1723,0.0,0.1114380240428326,4.916922825297409,5.028360849340241,pre_industrial,-88.413626585275
1724,0.0,0.11231164732233762,0.3739176387313223,0.4862292860536599,pre_industrial,-90.33026267163271
1725,0.0,1.6524499743458183,10.638544797087638,12.290994771433457,pre_industrial,2427.818690476211
1726,0.0,0.11410064129085644,8.654594440175739,8.768695081466594,pre_industrial,-28.65756397645972
1727,0.0,2.3219467903937723,0.38292347488468853,2.7048702652784606,pre_industrial,-69.15310385241425
1728,0.0,1.6925714736178263,0.38602260328137983,2.078594076899206,pre_industrial,-23.153649785668406
1729,0.0,2.2362111899968213,0.3891723055652271,2.6253834955620485,pre_industrial,26.305733511880746
1730,0.0,0.11785523504273504,21.27912596662597,21.396981201668705,pre_industrial,715.0040265674783
1731,0.0,2.5045760823429544,19.198070781793195,21.70264686413615,pre_industrial,1.4285457354311637
1732,0.0,3.357201201517707,0.3870804223881795,3.7442816239058865,pre_industrial,-82.74735036999864
1733,0.0,113.06521758096036,64.21928591369546,177.28450349465584,pre_industrial,4634.806868232301
1734,0.0,2.2465812188019965,38.07409897195151,40.32068019075351,pre_industrial,-77.25651176727415
1735,0.0,7.16457902892562,26.793400728059826,33.957979756985445,pre_industrial,-15.780240818524637
1736,0.0,21.486406164477287,25.007452693721167,46.49385885819845,pre_industrial,36.915856570160855
1737,0.0,5.474803731647635,756.290115454828,761.7649191864756,pre_industrial,1538.4205094909014
1738,0.0,14.390342213668287,98.56535680520183,112.95569901887012,pre_industrial,-85.17184289091433
1739,0.0,1.7968120974235102,44.83126533624722,46.62807743367073,pre_industrial,-58.720031093002966
1740,0.0,5.776979166666667,58.80267857142857,64.57965773809524,pre_industrial,38.49950779111779
1741,0.0,1.0304692943167115,0.36554384867314105,1.3960131429898526,pre_industrial,-97.83830823530928
1742,0.0,1.4302019351429893,56.888757583477215,58.318959518620204,pre_industrial,4077.5365662903446
1743,0.0,0.1087787200473326,8.867233906677749,8.976012626725081,pre_industrial,-84.60875725353227
1744,0.0,0.3536636238712211,22.445290444407053,22.798954068278274,pre_industrial,153.99868534494834
1745,0.0,1.817598925256473,15.388954800288458,17.206553725544932,pre_industrial,-24.52919693589991
1746,0.0,15.500287719639498,35.14289882457554,50.64318654421504,pre_industrial,194.3249842589334
1747,0.0,25.13342288701713,23.123176078447642,48.256598965464775,pre_industrial,-4.712554129402202
1748,0.0,1.1423597725520431,22.640961743216945,23.78332151576899,pre_industrial,-50.714882470706826
1749,0.0,18.046927468099398,14.791578149056804,32.8385056171562,pre_industrial,38.07367316370582
1750,0.0,2.540890639923591,0.7328193932778461,3.273710033201437,pre_industrial,-90.03087999384748
1751,0.0,9.461543005671075,22.653366639661538,32.11490964533262,pre_industrial,880.9943250815865
1752,0.0,7.888895385095106,19.865305804267454,27.75420118936256,pre_industrial,-13.578454693251219
1753,0.0,3.111400462962963,7.400242504409171,10.511642967372133,pre_industrial,-62.12593943650966
1754,0.0,54.38999007027191,5.7215966129806635,60.11158668325257,pre_industrial,471.85719558624066
1755,0.0,13.976387628554145,0.3332685161178809,14.309656144672026,pre_industrial,-76.19484539632228
1756,0.0,22.3494122491764,0.7792110554913789,23.12862330466778,pre_industrial,61.62948341200607
1757,0.0,12.664868772241993,0.32674546687002204,12.991614239112016,pre_industrial,-43.82884762323891
1758,0.0,12.288821585903085,0.3235787707153346,12.61240035661842,pre_industrial,-2.9189127348928756
1759,0.0,11.145560645724258,0.32047286628438454,11.466033512008643,pre_industrial,-9.089204371856264
1760,0.0,11.039595937770095,0.31742601967321066,11.357021957443305,pre_industrial,-0.9507346585998389
1761,0.0,18.100286420387988,3.7432603966417286,21.84354681702972,pre_industrial,92.33516408510268
1762,0.0,51.10657160262949,0.3121913505286507,51.41876295315814,pre_industrial,135.39566803808123
1763,0.0,0.8307162127982464,0.30963823013397246,1.1403544429322188,pre_industrial,-97.78222116317527
1764,0.0,4.482616240173942,0.30712653015713726,4.789742770331079,pre_industrial,320.02228342401213
1765,0.0,0.09150767316466196,0.30465525073571526,0.3961629239003772,pre_industrial,-91.72893111600243
1766,0.0,15.005160330261136,0.3022234239317847,15.307383754192921,pre_industrial,3763.9112422449352
1767,0.0,10.776304868424633,13.732899478674643,24.509204347099278,pre_industrial,60.11360752869241
1768,0.0,6.358250310491927,13.625002892781929,19.983253203273854,pre_industrial,-18.466332402018914
1769,0.0,0.08865426344129229,0.2951554325820982,0.3838096960233905,pre_industrial,-98.07934327749741
1770,0.0,10.448647660818713,0.5283094098883573,10.976957070707071,pre_industrial,2759.99993862534
1771,0.0,10.435988765227457,0.5229299865814191,10.958918751808875,pre_industrial,-0.16432895548377235
1772,0.0,3.2410663124446524,0.0,3.2410663124446524,pre_industrial,-70.42530941376235
1773,0.0,9.377981485779117,0.0,9.377981485779117,pre_industrial,189.34864583827502
1774,0.0,177.45353349673204,5.572150735294118,183.02568423202615,pre_industrial,1851.653290311657
1775,0.0,183.09158134243458,5.517633674630261,188.60921501706486,pre_industrial,3.0506815524100617
1776,0.0,25.07307470832707,15.522507636072305,40.595582344399375,pre_industrial,-78.47635263169596
1777,0.0,11.57898162612512,15.373552530437156,26.952534156562276,pre_industrial,-33.607223741967864
1778,0.0,2.11833185971117,0.0,2.11833185971117,pre_industrial,-92.14050950680121
1779,0.0,4.2332676446974675,0.0,4.2332676446974675,pre_industrial,99.83968164811834
1780,0.0,61.33405639913233,3.2537960954446854,64.58785249457702,transition,1425.720977634827
1781,0.0,60.175192459889196,4.316857327865313,64.49204978775451,transition,-0.1483292958696092
1782,0.0,1.5571305841924397,1.0738831615120275,2.6310137457044673,transition,-95.92040607429408
1783,0.0,16.352615706110043,0.0,16.352615706110043,transition,521.5328875726397
1784,0.0,16.272626305591,27.70097830710336,43.97360461269436,transition,168.90868961265886
1785,0.0,285.71832745443857,32.26925338036449,317.98758083480305,transition,623.132851253695
1786,0.0,286.7387876766826,4.680333239726669,291.41912091640927,transition,-8.355187912887796
1787,0.0,17.661682852418547,0.0,17.661682852418547,transition,-93.93942209526992
1788,0.0,20.633430677235435,0.0,20.633430677235435,transition,16.825960751582315
1789,0.0,6.804604064309276,0.5362950660853921,7.340899130394668,transition,-64.42230453468034
1790,0.0,42.59354912764003,0.5337465564738292,43.12729568411386,transition,487.4933699272232
1791,0.0,39.94228137553526,0.0,39.94228137553526,transition,-7.385147290261973
1792,0.0,1.0998469778117828,0.0,1.0998469778117828,transition,-97.24640921866461
1793,0.0,4.580105742038608,2.254190745522357,6.834296487560965,transition,521.3861223820647
1794,0.0,8.043115899018677,322.43008566793293,330.4732015669516,transition,4735.51163120363
1795,0.0,8.479752342704149,309.5602648689998,318.04001721170397,transition,-3.762236785402029
1796,0.0,20.504559460359758,0.0,20.504559460359758,transition,-93.55283663982735
1797,0.0,19.75519656878563,1.6940948693126816,21.449291438098314,transition,4.6074239222986035
1798,0.0,3.6004206647197887,1.6426783479349187,5.2430990126547075,transition,-75.5558404911134
1799,0.0,0.10122482032594392,6.655531936430812,6.756756756756756,transition,28.869524310883588
1800,0.0,13.716814159292033,6.465093411996065,20.1819075712881,transition,198.69223205506393
1801,0.0,4.968208230139074,11.883215850638216,16.85142408077729,transition,-16.50232258148353
1802,0.0,0.16934540304205922,0.0,0.16934540304205922,transition,-98.99506770329735
1803,0.0,0.0,14.953529376606298,14.953529376606298,transition,8730.195038062171
1804,0.0,0.007257736747372698,0.0,0.007257736747372698,transition,-99.95146472404885
1805,0.0,9.289884984476432,21.73299463731301,31.022879621789443,transition,427345.6445808637
1806,0.0,25.470972702806613,0.0,25.470972702806613,transition,-17.896168849146278
1807,0.0,0.0,15.107759773249906,15.107759773249906,transition,-40.68636502607848
