year,competitive_examinations,lectures_teaching,reform_modernization,scholarships_prizes,scientific_infrastructure,scientific_professorships,era
1700,0.0,4.013807497792406e-05,0.0,0.0,0.0,0.002809665248454684,pre_industrial
1701,0.0,0.00013116474291710389,0.0,0.0,0.0,0.0,pre_industrial
1702,0.00502729100833094,7.181844297615628e-05,0.0,0.0,0.0,0.0,pre_industrial
1703,0.0,7.767593599502873e-05,0.0,0.0,0.0,0.0,pre_industrial
1704,0.0,7.443799315170463e-05,0.0,0.0,0.0,0.0,pre_industrial
1705,0.0,7.07513796519032e-05,0.00990519315126645,0.0,0.0,0.0,pre_industrial
1706,0.0,0.00011345586566825505,0.0,0.0,0.0,0.0,pre_industrial
1707,0.0,0.011385658914728682,0.0,0.0,0.0,0.0,pre_industrial
1708,0.0,0.017845060893098782,0.0,0.017760487144790258,0.0,0.0,pre_industrial
1709,0.0,0.005832101199277148,0.0,0.0,0.0,0.0,pre_industrial
1710,0.0,0.016213308744429077,0.0,0.0,0.0,0.0,pre_industrial
1711,0.0074121135112240576,0.00010588733587462939,0.0,0.0,0.0,0.0,pre_industrial
1712,0.0,0.00023843586075345734,0.0,0.0,0.0,0.0,pre_industrial
1713,0.0,0.00018102824040550327,0.0,0.0,0.0,0.0,pre_industrial
1714,0.0,0.0003180661577608143,0.0,0.0,0.0,0.0,pre_industrial
1715,0.0,0.0002862049227246709,0.0,0.0,0.0,0.0,pre_industrial
1716,0.0,7.642922653622745e-05,0.005350045857535922,0.0,0.0,0.0,pre_industrial
1717,0.0,6.937699458859442e-05,0.0,0.0,0.0,0.0,pre_industrial
1718,0.0,7.40521327014218e-05,0.0,0.01555094786729858,0.0,0.0,pre_industrial
1719,0.0,0.011450381679389313,0.0,0.0,0.0,0.0,pre_industrial
1720,0.0,7.32922896511287e-05,0.0,0.005130460275579009,0.0,0.0,pre_industrial
1721,0.0,0.0028744809964867456,0.0,0.005589268604279783,0.0,0.0,pre_industrial
1722,0.0,0.0028744809964867456,0.0,0.005589268604279783,0.0,0.0,pre_industrial
1723,0.005210659520619324,7.443799315170463e-05,0.005210659520619324,0.0,0.0,0.0,pre_industrial
1724,0.0,8.120838070488874e-05,0.005684586649342212,0.0,0.0,0.0,pre_industrial
1725,0.0,9.790483649892304e-05,0.0,0.006853338554924614,0.0,0.0,pre_industrial
1726,0.0,7.291818579553741e-05,0.0,0.0,0.0,0.0,pre_industrial
1727,0.0,7.940289026520565e-05,0.0,0.005558202318564396,0.0,0.0,pre_industrial
1728,0.0,7.767593599502873e-05,0.0,0.005437315519652012,0.0,0.0,pre_industrial
1729,0.0,7.60225026607876e-05,0.005321575186255131,0.0,0.0,0.0,pre_industrial
1730,0.0,0.0038725864514017674,0.0,0.01145412894076579,0.0,0.0,pre_industrial
1731,0.0,8.507742045261188e-05,0.0,0.0,0.0,0.0,pre_industrial
1732,0.0,0.0070971611355457815,0.0069972011195521796,0.0,0.0,0.0,pre_industrial
