year,place_cluster,category,n_entries,amount_real,era
1700,other,administrative,11.042857142857143,22.106785714285714,pre_industrial
1700,other,charitable,1.0,0.0,pre_industrial
1700,other,ecclesiastical,10.17142857142857,18.26921130952381,pre_industrial
1700,other,educational,0.05714285714285714,0.05630952380952381,pre_industrial
1700,other,land_rent,101.32857142857142,519.0000446428571,pre_industrial
1700,other,maintenance,5.0,12.91875,pre_industrial
1700,other,other,0.014285714285714285,0.0,pre_industrial
1700,other,salary_stipend,0.014285714285714285,0.02857142857142857,pre_industrial
1700,other_england,maintenance,1.0,0.07500000000000001,pre_industrial
1700,oxford_local,administrative,8.071428571428571,11.65672619047619,pre_industrial
1700,oxford_local,ecclesiastical,12.028571428571428,48.64071428571429,pre_industrial
1700,oxford_local,land_rent,5.057142857142857,20.42202380952381,pre_industrial
1700,oxford_local,other,0.014285714285714285,0.0,pre_industrial
1700,oxford_local,salary_stipend,0.02857142857142857,0.24285714285714285,pre_industrial
1700,oxfordshire,ecclesiastical,18.0,160.08854166666666,pre_industrial
1700,oxfordshire,land_rent,12.071428571428571,201.81214285714285,pre_industrial
1701,other,administrative,4.042857142857143,4.506777304924161,pre_industrial
1701,other,domestic,1.0,0.8219587526153234,pre_industrial
1701,other,ecclesiastical,6.171428571428572,28.360112227614966,pre_industrial
1701,other,educational,0.05714285714285714,0.05610194660707762,pre_industrial
1701,other,land_rent,5.328571428571428,39.84117396585016,pre_industrial
1701,other,maintenance,1.0,0.16605227325562086,pre_industrial
1701,other,other,0.014285714285714285,0.0,pre_industrial
1701,other,salary_stipend,0.014285714285714285,0.02846610398667786,pre_industrial
1701,oxford_local,administrative,3.0714285714285716,6.44952959763162,pre_industrial
1701,oxford_local,ecclesiastical,5.0285714285714285,44.42633683940847,pre_industrial
1701,oxford_local,land_rent,1.0571428571428572,3.2827941378803187,pre_industrial
1701,oxford_local,other,0.014285714285714285,0.0,pre_industrial
1701,oxford_local,salary_stipend,0.02857142857142857,0.24196188388676182,pre_industrial
1701,oxfordshire,administrative,2.0,0.29889409186011756,pre_industrial
1701,oxfordshire,ecclesiastical,11.0,166.4611769785128,pre_industrial
1701,oxfordshire,land_rent,2.0714285714285716,29.7883841690507,pre_industrial
1702,other,administrative,5.042857142857143,44.068181173601076,pre_industrial
1702,other,domestic,3.0,23.856793064654894,pre_industrial
1702,other,ecclesiastical,6.171428571428572,30.700361964321168,pre_industrial
1702,other,educational,2.057142857142857,20.86441286858202,pre_industrial
1702,other,financial,3.0,39.706174310105226,pre_industrial
1702,other,land_rent,47.32857142857143,284.8256680327482,pre_industrial
1702,other,maintenance,4.0,23.186751373171862,pre_industrial
1702,other,other,2.0142857142857142,0.9926543577526307,pre_industrial
1702,other,salary_stipend,0.014285714285714285,0.02836155307864659,pre_industrial
1702,oxford_local,administrative,1.0714285714285714,3.629865188084366,pre_industrial
1702,oxford_local,charitable,1.0,7.610350076103503,pre_industrial
1702,oxford_local,ecclesiastical,7.0285714285714285,44.62714011552606,pre_industrial
1702,oxford_local,land_rent,4.057142857142857,41.56858296226969,pre_industrial
1702,oxford_local,other,0.014285714285714285,0.0,pre_industrial
1702,oxford_local,salary_stipend,0.02857142857142857,0.241073201168496,pre_industrial
1702,oxfordshire,ecclesiastical,9.0,155.27595791145527,pre_industrial
1702,oxfordshire,land_rent,10.071428571428571,173.51459320079036,pre_industrial
1702,oxfordshire,maintenance,1.0,19.853087155052613,pre_industrial
1703,other,administrative,7.042857142857143,8.504057344429219,pre_industrial
1703,other,domestic,1.0,5.637424587083375,pre_industrial
1703,other,ecclesiastical,4.171428571428572,33.73640389297842,pre_industrial
1703,other,educational,0.05714285714285714,0.055691349826450215,pre_industrial
1703,other,land_rent,50.32857142857143,326.13515278032884,pre_industrial
1703,other,maintenance,2.0,169.00323080473413,pre_industrial
1703,other,other,0.014285714285714285,0.0,pre_industrial
1703,other,salary_stipend,1.0142857142857142,1.3469535771978658,pre_industrial
1703,oxford_local,administrative,2.0714285714285716,7.218270059482601,pre_industrial
1703,oxford_local,charitable,1.0,0.0,pre_industrial
