era,n,sd_dlog_income,sd_dlog_exp,smoothing_ratio,ci_lo,ci_hi
1700-1749 (pre-IndRev baseline),46,0.9310492212027282,0.8504068655323899,0.9133855076252955,0.6177163248512746,1.3341971047131531
1800-1819 (tight),19,0.40749804592300315,0.6359237664026989,1.5605566033140115,0.9310050528162621,2.2903318394447743
"1820-1853 (loose, pre-reform)",34,0.679318129309504,0.48704505768659107,0.7169616659305857,0.4553238579158803,1.1145845048843679
"1854-1900 (loose, post-reform)",47,1.1926896064017125,0.6352826218970096,0.5326470680109529,0.3637383558003712,0.9635348077531853
