era,n,mean_abs_gap_over_flow,median
1700-1749 (pre-IndRev baseline),48,0.7088905014598028,0.7227388448724579
1800-1819 (tight),20,0.32219902953907753,0.18531228786992443
"1820-1853 (loose, pre-reform)",34,0.29852581229906916,0.19072698348910702
"1854-1900 (loose, post-reform)",47,0.44193885341868405,0.32861693158327904
