era,n,lambda_total,p_total,lambda_traditional,p_traditional,new_income_share
1700-1749 (pre-IndRev baseline),44,0.5266008432346662,2.324627905474381e-05,0.4408173373210381,1.1276713510942531e-05,0.303360537050714
1800-1819 (tight),18,0.9480236340907259,2.644947001067987e-06,0.89819553295907,0.004226256252730856,0.512227162256458
"1820-1853 (loose, pre-reform)",32,0.1145603805045328,0.634230381983701,0.39484022349546144,0.03934318673233384,0.6237172659442055
"1854-1900 (loose, post-reform)",45,0.18413386771017715,0.020386811298018805,0.12521677121066957,0.025392630216997437,0.8274916921953679
