era,ratio_raw,ratio_excl_incomplete,n_flagged_years
1700-1749 (pre-IndRev baseline),0.9133855076252955,1.337268837262773,2
1800-1819 (tight),1.5605566033140115,1.5605566033140115,0
"1820-1853 (loose, pre-reform)",0.7169616659305857,0.7169616659305857,0
"1854-1900 (loose, post-reform)",0.5326470680109529,0.9231343564789363,2
