year,income,expenditure,trad_income,new_income,committed_exp,discretionary_exp,hi_spend,hi_share,arrears,balance_items,n_balance_rows,n_inc_rows,income_incomplete,observed
1700,688.2791666666667,944.146875,446.91041666666666,241.36875000000003,735.5260416666666,208.6208333333334,128.82083333333333,0.1364415185225639,452.253125,548.4260416666667,2.0,130.0,False,True
1701,88.20074059313872,427.9945451828235,88.20074059313872,0.0,247.49779980737935,180.49674537544416,177.47459400219188,0.4146655512312225,,,,11.0,True,True
1702,569.2986483356495,767.5193153993781,437.9425584011648,131.35608993448477,688.0118374032163,79.50747799616181,73.09244920918538,0.09523206483885265,230.38680431473765,,,79.0,False,True
1703,296.1883509708898,442.3585698743943,195.4678073385422,100.72054363234761,387.1010945175222,55.25747535687208,28.15106484686645,0.06363856555296266,452.6423367289751,,,56.0,False,True
1704,537.8235448692681,213.53550781763235,465.9148764945473,71.90866837472078,185.61949809486268,27.916009722769672,24.516325055840227,0.11481146768704212,59.12495072920772,0.09854158454867953,1.0,99.0,False,True
1705,406.4197758141057,471.8478972344952,333.11753395516286,73.30224185894286,345.28105056455576,126.56684666993942,120.99492718049422,0.25642781898498773,345.33014236622483,97.26313205694649,1.0,62.0,False,True
1706,491.61021163503557,242.18597143416162,421.6294104219657,69.98080121306987,208.3710379573469,33.8149334768147,22.940716102523968,0.09472355465791467,246.52709841518293,,,74.0,False,True
1707,958.4206550346038,238.22680085778342,868.4285342950905,89.99212073951333,178.20125418331872,60.02554667446469,48.157918250641714,0.20215155506114116,88.2852860902622,,,96.0,False,True
1708,469.5340828153328,173.1760716135716,387.00607841232835,82.52800440300445,110.5324074074074,62.64366420616419,55.691126003626,0.32158672664602445,486.33975977725976,,,60.0,False,True
1709,976.8621568437693,319.2219910319688,266.5085970515178,710.3535597922514,312.3931417142489,6.828849317719914,5.006209877737993,0.015682534469364427,587.4564502080713,,,50.0,False,True
1710,662.1373754419801,496.3205159112826,425.03013500482166,237.10724043715845,301.5800787528126,194.74043715847,157.5377692060431,0.3174113584984325,479.3705801992929,,,75.0,False,True
1711,542.3644000902119,356.0313164508022,499.1915152393839,43.17288485082804,294.0468135833494,61.98450286745282,38.77706359945872,0.10891475498846205,0.0,27.208583027256903,1.0,76.0,False,True
1712,23.442041271071496,253.63099851449977,14.347389071885294,9.094652199186202,228.7125395595169,24.918458954982867,24.821578505457598,0.09786492444076618,242.99433249370276,,,6.0,True,True
1713,165.76843400012947,355.56661487667503,101.30203275716968,64.46640124295979,244.83313912086487,110.73347575581016,62.35029455557713,0.17535474914370897,17.155434712241856,,,25.0,False,True
1714,206.9412676010642,60.175158977353846,174.6753536435014,32.26591395756279,17.872785672571545,42.3023733047823,42.3023733047823,0.7029873127664235,0.0,,,27.0,False,True
1715,386.0884146341464,31.308943089430898,386.0884146341464,0.0,22.75609756097561,8.552845528455286,8.552845528455284,0.27317579849389767,5.975609756097562,,,34.0,False,True
1716,865.3503732316318,359.41268987548085,565.9817295781994,299.3686436534324,285.53238477084557,73.88030510463528,70.66953517178433,0.19662504180436122,287.0450730164939,,,83.0,False,True
1717,535.293324838267,162.07606351695745,466.15042802064954,69.1428968176175,129.8805789714435,32.19548454551395,25.44844148206234,0.15701542183247658,371.21704077631836,,,87.0,False,True
1718,419.64490404139644,511.9630985131329,411.66199973799695,7.9829043033994935,433.84219231021154,78.12090620292133,33.320437872535535,0.06508367100930967,326.7945159494334,,,69.0,False,True
1719,483.39529577834685,165.4438316591163,394.4094281399777,88.98586763836914,136.8303131770731,28.61351848204322,23.492383953778482,0.1419961307604544,260.931652550719,35.835631278313976,1.0,84.0,False,True
1720,211.4531918394209,452.4874547548536,149.01488976637052,62.43830207305038,362.0619447186575,90.4255100361961,53.90033728200066,0.11912006999443225,602.3167571569596,,,55.0,False,True
1721,,,,,,,,,,,,,False,False
1722,,,,,,,,,,,,,False,False
1723,234.97849109337642,421.557733104354,92.49250766070647,142.48598343266997,360.3436374044516,61.21409569990237,59.698791123682525,0.1416147455867082,826.8091052968314,,,50.0,False,True
1724,609.3569707459445,397.2173437181837,592.7552093938777,16.601761352066774,306.8441169483473,90.37322676983644,63.74932125161203,0.1604897728152592,223.36336794950114,,,95.0,False,True
1725,535.0607148965281,347.63126389601507,450.29929878570204,84.76141611082608,323.8241833418847,23.80708055413038,19.291944586967674,0.05549542457935648,,,,72.0,False,True
1726,1432.2280978485728,376.6894221486692,1094.1033995310993,338.12469831747353,235.8058371259137,140.8835850227555,36.92594124948283,0.09802755022653424,417.08578989104956,,,87.0,False,True
1727,828.1298873944323,121.47673165815175,768.8892364369374,59.24065095749495,79.07152538838494,42.40520626976681,11.40392034198728,0.09387740504971032,134.15354672783513,191.3360615855142,1.0,103.0,False,True
1728,757.9728995865742,367.23841181416856,757.578743605914,0.39415598066011626,263.34327482306776,103.8951369911008,88.58436689790483,0.2412175961122788,169.3721095228085,,,80.0,False,True
1729,1091.6395129101763,268.5793507823814,972.2038253682315,119.43568754194484,242.25566034403593,26.323690438345494,26.217724559358558,0.09761630774289003,133.010358164671,,,102.0,False,True
1730,2193.781160968661,445.3970797720798,1029.2245370370372,1164.5566239316238,401.86743233618233,43.52964743589746,35.0627670940171,0.07872248985547804,790.944399928775,,,111.0,False,True
1731,1483.3846208262594,754.2533248443691,1024.131649688738,459.2529711375214,659.1503961516696,95.10292869269949,83.42176004527448,0.11060177966399755,486.2872276457273,,,61.0,False,True
1732,396.1165858628443,527.5896746767847,339.78226883080384,56.334317032040474,496.8051749578415,30.784499718943266,25.198496346261944,0.047761541887072,937.542817242833,,,17.0,False,True
1733,378.65979201563374,831.6801018983808,126.80699504466779,251.85279697096595,538.4518076493579,293.22829424902295,271.27172319933,0.3261731554958801,995.6575411781129,,,25.0,False,True
1734,1299.7781475318911,561.7742131170271,948.4712978369384,351.3068496949527,410.33173876871876,151.44247434830834,148.92063574597893,0.26508983906485617,543.4746342900721,343.3556919023849,1.0,92.0,False,True
1735,794.9810606060606,598.7452651515151,479.6379993112948,315.34306129476585,374.97309745179064,223.7721676997245,211.9651773415978,0.35401562179862767,697.8208935950413,,,45.0,False,True
1736,596.1873973727422,661.3300492610838,392.66685481663933,203.5205425561029,354.2746390941434,307.05541016694036,34.699772509578544,0.05246967463273329,692.8120296250685,,,40.0,False,True
1737,1279.6919606443719,582.4029703643284,515.9032592441545,763.7887014002174,359.12647838499186,223.27649197933658,192.20916598694942,0.3300277913533149,533.8637251903208,,,56.0,False,True
1738,1105.9045363992436,211.79430037817397,897.7959548892491,208.10858150999456,114.25622974068072,97.53807063749325,60.547930172879525,0.285880829015544,133.87189357104268,,,65.0,False,True
1739,374.89935587761676,324.30681360708536,297.9254730273752,76.97388285024158,236.41514023081052,87.89167337627484,55.048141438539986,0.16974093398245307,774.164024758454,,,42.0,False,True
1740,1454.1635416666666,3087.9895833333335,109.128125,1345.0354166666666,1180.6354166666665,1907.354166666667,1867.0625,0.6046207247838568,1060.28125,,,20.0,False,True
1741,634.3518794996849,456.7574068544508,355.2221226900236,279.1297568096613,255.82678079692116,200.93062605752962,61.2040078298663,0.13399674950289187,1075.4205235393651,,,40.0,False,True
1742,1484.8538323096227,547.8326646192457,723.9428538405652,760.9109784690575,410.8360577240605,136.99660689518527,128.97203784426392,0.23542232176663283,396.1047404398652,,,72.0,False,True
1743,1128.4718798277618,364.65420898662194,1035.0146270913453,93.45725273641642,295.6829536863557,68.97125530026625,34.36133846103277,0.09422992416986851,176.74025408408113,35.689486572658836,1.0,78.0,False,True
1744,657.1098759979061,554.5842330846748,500.7208235178642,156.38905248004193,275.6204194477163,278.9638136369585,99.8478602277189,0.1800409284489593,728.4581124852768,92.11408847009554,1.0,54.0,False,True
1745,1345.681688650057,486.9046165119687,147.7751994789122,1197.9064891711446,402.10979482169023,84.79482169027847,40.3028822667318,0.08277367044791843,827.3957824458556,,,32.0,False,True
1746,786.808865006808,774.2687463528497,444.2158221487389,342.5930428580691,480.91020715814045,293.35853919470924,180.8743435129352,0.2336066699901473,720.7113564157427,,,78.0,False,True
