year,L1_inv,L2,L3,L4,L1_inv_norm,L2_norm,L3_norm,L4_norm
1700,0.4188242566145419,0.6497432807768415,0.089724138340627,0.0190767513083939,0.5356428348111635,0.9005799838621624,0.4012433603993192,1.076210785424322
1701,0.5120455389678883,0.670960015794017,0.0903137652454946,0.007925629433519,0.6548654231781826,0.9299875475025754,0.40388015229352237,0.4471226646371651
1702,0.28135535385808363,0.6492308503959403,0.1641156014547328,0.0282116722666634,0.3598310674458899,0.8998697271225918,0.7339195074981896,1.5915553690150597
1703,0.7368460256074937,0.6335215086985475,0.1383275454109534,0.0001110333277025,0.9423673241041054,0.8780957140455989,0.6185961791660769,0.006263921088199379
1704,0.21922836067423268,0.7542889551033626,0.0745168399594266,0.0078877926996081,0.28037559603579315,1.0454860482777393,0.3332368281782672,0.44498811350412054
1705,0.5149917275664944,0.7298919792550198,0.2342470209569284,0.0138591066375831,0.6586333635205159,1.011670495634368,1.0475448813502741,0.7818584935449622
1706,0.601016234775593,0.8056635531862304,0.4514578878076623,0.0004255119345392,0.7686518502174849,1.1166940716328664,2.0189046485465463,0.024005163451303057
1707,0.5219538582890756,0.5838849823112163,0.265054329110764,0.0432557765466389,0.6675373736815162,0.8092967538171367,1.1853141380643861,2.440265247412114
1708,0.49469586459310444,0.6353408915277813,0.1330583789345329,0.0005806281216692,0.6326765727990779,0.8806174788832921,0.5950326420555168,0.032756009488162055
1709,0.14035298153288311,0.7927985250792347,0.1045520571604629,0.0012951796708272,0.1795002741965402,1.0988624338956785,0.46755331984871845,0.07306728007683552
1710,0.6103146819895112,0.631603579414701,0.2984057795807887,0.0001503147484986,0.7805438229156876,0.8754373583925322,1.3344607145406162,0.00847997391837664
1711,0.3275014825122726,0.8456470523117303,0.146976765046098,0.0002885993560415,0.4188482871448891,1.1721134042562733,0.6572752015052168,0.016281270045267762
1712,0.45224999602785676,0.7841459899157677,0.3428179406799046,0.0004033629796689,0.5783916907626588,1.0868695434596816,1.5330704208200276,0.022755634968599347
1713,0.5811963930305544,0.806579775900087,0.2682646110744756,0.0002919505304339,0.7433038526978674,1.117964006792292,1.1996704121593107,0.016470325821413032
1714,0.7032953974482048,0.6260412738507626,0.0548174822227413,0.0015006868785348,0.8994587454028574,0.8677276964333983,0.24514195602726985,0.08466092460477144
1715,0.3884128648195889,0.6439347267770087,0.0920492989154673,0.1852696782299383,0.49674908915451327,0.8925290080041627,0.41164140110242503,10.451948693980231
