era,estimate,ci_lower,ci_upper,model
industrial_1760_1840,0.10440985732814527,0.05890543597237503,0.15432497262345515,original
post_1840,0.21878335112059766,0.14004260436027527,0.30158622288812786,original
pre_1760,0.009052924791086351,0.0020206477732793524,0.01889049658525292,original
industrial_1760_1840,0.0648508430609598,0.03237556742859438,0.10390914306576957,haiku45
post_1840,0.20597652081109924,0.1310595623378055,0.2819624630862686,haiku45
pre_1760,0.008356545961002786,0.0024464859226181134,0.017134642803751245,haiku45
industrial_1760_1840,0.11089494163424124,0.06580630358203889,0.15775558815642104,gemini25flash
post_1840,0.19316969050160085,0.11883477271505617,0.27426510012355176,gemini25flash
pre_1760,0.017409470752089137,0.006871415066620677,0.031398128646476384,gemini25flash
