Code,Level,Mean |Δ| calm,Mean |Δ| disrupt,Disrupt / calm ratio,Norm. response calm,Norm. response disrupt,Movement concentration,Interaction coef,p,sig
L1,L1 · Automation,0.11853145395634171,0.14246816627167744,1.2019439694391352,0.1515922800763095,0.18220542685124858,1.1691933233821372,0.07922477862761133,0.03067759620308189,**
L2,L2 · Personalization / Process,0.07006315603414659,0.0646434094175607,0.9226448404073536,0.09711139429579595,0.08959932689178024,0.9393869565652228,-0.017592993605593438,0.32245373320700244,
L3,L3 · Operational Innovation,0.10829527696901829,0.13032743648744782,1.2034452483530986,0.4842928742481836,0.5828199583252412,1.1703732144929264,0.03664749875405565,0.2453145657990512,
L4,L4 · Business-Model Innovation,0.03081162095954726,0.04587970903015671,1.4890391222971495,1.7382309103374596,2.5882938290786663,1.3849924395043098,-0.008755133643050533,0.6799164541769531,
