year,T_actual,T_low_only,higher_order_gap
1700,0.1769941724936589,0.2275510300983197,-0.050556857604660804
1701,0.21154190564140526,0.2683335309442948,-0.05679162530288953
1702,0.1683193241563149,0.18505863947751888,-0.016739315321203985
1703,0.27296246713702504,0.3158712686601817,-0.04290880152315668
1704,0.16336157353610137,0.2262323348636105,-0.06287076132750913
1705,0.30486827097060326,0.3030319562560106,0.0018363147145926684
1706,0.45023020324080826,0.37288929269250837,0.07734091054829989
1707,0.2521239238172168,0.22144261969893655,0.030681304118280267
1708,0.1979251042599332,0.2425822497336625,-0.04465714547372929
1709,0.16892943585041115,0.22410311438096353,-0.055173678530552384
1710,0.2944251548968582,0.2759303861520654,0.018494768744792833
1711,0.27236780067206073,0.3118572430137536,-0.03948944234169288
1712,0.35055466137662017,0.3148837652538879,0.035670896122732276
1713,0.3743500613313637,0.36733063753014344,0.007019423801220281
1714,0.22715786129540938,0.3012828245594929,-0.07412496326408352
1715,0.2615101782155306,0.21488484217763315,0.046625336037897425
1716,0.3044006776773326,0.2735861843678236,0.030814493309508972
1717,0.19751318652069325,0.213269130810734,-0.015755944290040763
1718,0.19096863801528832,0.2237401695190945,-0.032771531503806184
1719,0.1258573205430473,0.20029471805568058,-0.07443739751263329
1720,0.3100886698968103,0.27289480330560417,0.037193866591206104
1721,0.16215715920558052,0.19045379650422412,-0.028296637298643595
1722,0.1621571592055806,0.19045379650422423,-0.028296637298643623
1723,0.2610843146583906,0.25272879976540613,0.008355514892984472
1724,0.06447213428462246,0.14768164851149565,-0.08320951422687319
1725,0.34503022758306134,0.2980430373019444,0.04698719028111692
1726,0.3086433382614637,0.322282810077002,-0.013639471815538318
1727,0.15445255484708356,0.1969709882648199,-0.04251843341773634
1728,0.470565337002733,0.3385887998858457,0.13197653711688728
1729,0.061259636189000044,0.1321396427686048,-0.07088000657960475
1730,0.23285094676060347,0.2508755770588475,-0.018024630298244027
1731,0.21915150269074607,0.19391818694767182,0.025233315743074247
1732,0.21388148690306114,0.19607482088942524,0.017806666013635897
1733,0.3183203628638924,0.2765801835669557,0.04174017929693674
1734,0.19344031076140272,0.28442052930150635,-0.09098021854010363
1735,0.23442904158797523,0.27622250955589345,-0.04179346796791822
1736,0.28026112464741715,0.31324440543163823,-0.03298328078422108
1737,0.18089351405255802,0.24602763234714173,-0.06513411829458371
1738,0.34905802414468196,0.35927970682417715,-0.010221682679495192
1739,0.14949781642423532,0.23359754494646162,-0.0840997285222263
1740,0.2108996417952361,0.3027092446280914,-0.0918096028328553
1741,0.24984795370363966,0.2780927457614097,-0.02824479205777003
1742,0.38163636446081195,0.34012820429955476,0.04150816016125719
1743,0.3045848450929297,0.2959078549339211,0.008676990159008635
1744,0.20544042558260248,0.2598749780098295,-0.05443455242722703
1745,0.1791956830407052,0.2203390468361564,-0.04114336379545119
1746,0.37140214830611523,0.33629037672204914,0.03511177158406609
1747,0.30561341710798284,0.2747737741222394,0.030839642985743432
1748,0.34011303741964816,0.33831660589973206,0.0017964315199160974
1749,0.3219142354421715,0.3429763242269734,-0.02106208878480187
1750,0.3546405466784125,0.41948968693671557,-0.06484914025830307
1751,0.37373511044137997,0.37295349230461644,0.0007816181367635289
1752,0.3160001876418121,0.30413330436100416,0.011866883280807927
1753,0.2980007306102908,0.3697829207153192,-0.0717821901050284
1754,0.3767750534445763,0.32827575307271833,0.048499300371857956
1755,0.3198622670352337,0.3139716105767754,0.0058906564584582655
1756,0.38068634983495486,0.35457376864431017,0.02611258119064469
1757,0.25433418047668993,0.2437443529266849,0.010589827550005038
1758,0.2961641177150354,0.3366124092534207,-0.04044829153838525
1759,0.3762555174481236,0.39331218929674233,-0.017056671848618754
1760,0.3762555174481236,0.3933121892967424,-0.01705667184861881
1761,0.3605936916997575,0.29346878109343716,0.06712491060632036
1762,0.4632233829285697,0.37957045262930345,0.08365293029926624
1763,0.35565544213900213,0.34267085362927535,0.01298458850972678
1764,0.35266439367548935,0.39568861857911525,-0.043024224903625896
1765,0.35474382542130634,0.44204668213325193,-0.0873028567119456
1766,0.3321563713078084,0.31246579754702875,0.01969057376077965
1767,0.2658329666336345,0.2945143620147154,-0.028681395381080943
1768,0.32419269938190837,0.34270510567327145,-0.01851240629136308
1769,0.4260626592789719,0.3843669052351182,0.04169575404385373
1770,0.34766500470242806,0.34484736595871873,0.0028176387437093275
1771,0.3112613374835536,0.3388823393693472,-0.027621001885793584
1772,0.2711471123107602,0.32221801696485314,-0.05107090465409292
1773,0.2988116891324604,0.33919928982873343,-0.04038760069627301
1774,0.5632689439386457,0.4476316515776901,0.1156372923609556
1775,0.5825950350143388,0.4536687436464752,0.12892629136786365
1776,0.33630951276937826,0.3480118787949914,-0.011702366025613142
1777,0.30694400368502067,0.3360493786907283,-0.029105375005707645
1778,0.4574535127169062,0.33759864763286035,0.11985486508404586
1779,0.3576220312299277,0.30051695544877444,0.05710507578115326
1780,0.2803049017290021,0.31385733559854306,-0.03355243386954099
1781,0.34218879038190864,0.37432857908310396,-0.032139788701195326
1782,0.38924419109927805,0.4271736435347447,-0.03792945243546664
1783,0.37028567945336566,0.4259742983550607,-0.05568861890169502
1784,0.3566359423151894,0.4364072612733167,-0.07977131895812728
1785,0.47003525913811706,0.4618191139390535,0.008216145199063551
1786,0.4862163178747733,0.42827012407286347,0.05794619380190985
1787,0.4454943489041309,0.3909252332664152,0.054569115637715715
1788,0.46916994198213213,0.3816567543075622,0.08751318767456995
1789,0.3913451390314696,0.329275708536591,0.06206943049487862
1790,0.44128417193175784,0.33357480450435095,0.10770936742740689
1791,0.6126602659768698,0.4918891596914689,0.12077110628540094
1792,0.5264883802804063,0.49829854319250727,0.028189837087899072
1793,0.4082239266458116,0.437430164561833,-0.029206237916021394
1794,0.3918480214087263,0.4178881904719923,-0.026040169063266005
1795,0.4201511688683496,0.4182809879898754,0.0018701808784741814
1796,0.42611632077847694,0.44063892392891124,-0.014522603150434299
1797,0.47247778077387526,0.4444909921068663,0.027986788667008933
1798,0.5351407888366823,0.423388264607319,0.11175252422936327
1799,0.5107496373151161,0.40724860269178564,0.10350103462333049
1800,0.5055976562888519,0.48529880172281775,0.02029885456603414
1801,0.6012921233038584,0.4883476894786355,0.1129444338252229
1802,0.5019660950669661,0.44352622284609955,0.05843987222086655
1803,0.5975407702446925,0.5029793221719594,0.09456144807273315
1804,0.5670944878517957,0.49138534600301853,0.0757091418487772
1805,0.5353710836452913,0.462766988842933,0.0726040948023583
1806,0.5443207523349358,0.4599054995254483,0.08441525280948753
1807,0.6678768398934721,0.5447794352009518,0.12309740469252028
1808,0.36964565790825643,0.31615272633673774,0.05349293157151869
1809,0.5284540011212047,0.48900280721774164,0.03945119390346302
1810,0.5807226445337164,0.540637198138599,0.04008544639511735
1811,0.5174521002129011,0.4864476343346074,0.031004465878293697
1812,0.4345271635078739,0.4602429766212718,-0.02571581311339788
1813,0.4677442873391556,0.48202083511341826,-0.014276547774262682
1814,0.5609834588336786,0.47888117026976046,0.08210228856391816
1815,0.5050809012622025,0.5153089775430841,-0.010228076280881626
1816,0.3345063409149397,0.381061243571368,-0.04655490265642831
1817,0.49931406775490766,0.4616875853917661,0.03762648236314159
1819,0.42923846955028666,0.46624396016271435,-0.037005490612427694
1820,0.35611646874500164,0.37589219868901513,-0.019775729944013498
1821,0.38188924229087984,0.37016240903255754,0.0117268332583223
1822,0.45550626551337847,0.413038862956802,0.042467402556576495
1823,0.39406228369443574,0.42170520461598965,-0.027642920921553904
1824,0.3630589930113901,0.37792423382388823,-0.014865240812498126
1825,0.3087129727164857,0.3603772438469045,-0.051664271130418826
1826,0.4042939561181665,0.4232897447381254,-0.01899578861995893
1827,0.324649592570108,0.32709398966626246,-0.0024443970961544603
1828,0.38700247703087043,0.36163746521660994,0.025365011814260485
1829,0.2818037736049843,0.31569435141833874,-0.03389057781335442
1830,0.44589783332096145,0.39853229776678994,0.0473655355541715
1831,0.3673050056999265,0.39638385945574234,-0.029078853755815814
1832,0.47171196635355117,0.44971165364566806,0.022000312707883107
1833,0.29706887352877465,0.3664690488118699,-0.06940017528309528
1834,0.2651476645054734,0.336960797164481,-0.07181313265900763
1835,0.368206810312126,0.36132658392002,0.006880226392106004
1836,0.46652539589776965,0.48891479532154586,-0.022389399423776213
1837,0.39629942676179036,0.41247157471512635,-0.01617214795333599
1838,0.44793050341473917,0.44107115182437395,0.006859351590365215
1839,0.4182821742876239,0.4240136509573637,-0.005731476669739832
1840,0.3643897120130649,0.37527916549632356,-0.010889453483258649
1841,0.2518388255662893,0.294975718246621,-0.04313689268033172
1842,0.40485180642081736,0.4085721410516215,-0.003720334630804123
1843,0.31501575628944545,0.3520329435338347,-0.03701718724438924
1844,0.48889967591723055,0.44393886228973284,0.04496081362749771
1845,0.4591137442206033,0.3044314221418597,0.1546823220787436
1846,0.39345941976984994,0.4246588082068898,-0.031199388437039843
1847,0.3468244274276155,0.347651349751604,-0.0008269223239885104
1848,0.33410330824847,0.32864923983849054,0.005454068409979473
1849,0.3006569606543159,0.33743264815196683,-0.03677568749765092
1850,0.31983284708442794,0.3439426917544605,-0.024109844670032576
1851,0.46871411993042006,0.3797114583093559,0.08900266162106418
1852,0.5725644934023153,0.39446785538900214,0.17809663801331316
1853,0.3029832870698924,0.3663046416439572,-0.06332135457406479
1854,0.3202174922151185,0.382717533591161,-0.06250004137604248
1855,0.3687359754035632,0.42984212689759443,-0.06110615149403126
1856,0.3548797241058552,0.3658186264144336,-0.010938902308578358
1857,0.20422404620489976,0.2874028061284882,-0.08317875992358842
1858,0.3880705556171033,0.4720379678430197,-0.08396741222591642
1859,0.27146559739795456,0.35393702230114504,-0.08247142490319048
1860,0.2687087584863842,0.30579203442827624,-0.037083275941892035
1861,0.27750213692557407,0.3669146118093068,-0.08941247488373272
1862,0.3467552372554533,0.4181087814014369,-0.0713535441459836
1863,0.31775296667268504,0.37813382085973607,-0.060380854187051025
1864,0.32155090705304856,0.37721319021856164,-0.05566228316551308
1865,0.30506884935304557,0.3876680635073712,-0.08259921415432564
1866,0.29873063360134366,0.3631317112209702,-0.06440107761962655
1867,0.3077814840010883,0.3783044537218431,-0.07052296972075484
1868,0.33302573634281524,0.3768407802828216,-0.04381504394000635
1869,0.3014647892986775,0.3708653692202525,-0.069400579921575
1870,0.29312621869756006,0.33141531606262886,-0.0382890973650688
1871,0.31697406161880154,0.366646717432446,-0.04967265581364444
1872,0.3674392208024934,0.4223451250219724,-0.054905904219478996
1873,0.3778847635730418,0.3451410419192196,0.032743721653822166
1876,0.17461130049135587,0.2132028548955806,-0.03859155440422474
1877,0.40268721506146665,0.4275827687346817,-0.024895553673215054
1878,0.3040031176613154,0.2810544597551546,0.022948657906160796
1879,0.5509517537376674,0.39649434735828687,0.1544574063793805
1880,0.29846550694595286,0.2625783715275494,0.03588713541840344
1881,0.1977047929375,0.2503205402264828,-0.0526157472889828
1882,0.31944034425822276,0.3635618036832012,-0.044121459424978415
1883,0.5877835876044496,0.34261127857683765,0.24517230902761195
1884,0.5878977832434209,0.5067860799926244,0.08111170325079653
1885,0.5698469033620498,0.47502985651101065,0.09481704685103914
1886,0.5466607578712381,0.4448510153710565,0.10180974250018165
1889,0.6231640135601131,0.4275671106483573,0.1955969029117558
1891,0.4922224968637399,0.4370018049028523,0.055220691960887636
1892,0.42022878664039315,0.28482229966037426,0.1354064869800189
1893,0.5828554628732703,0.4520116897526291,0.13084377312064116
1894,0.5840699491582322,0.31877535803970575,0.26529459111852643
1895,0.5296487529677255,0.30706139055592774,0.22258736241179777
1896,0.7268724682664126,0.5476368804490174,0.17923558781739524
1897,0.4398184672965784,0.26630211029732004,0.17351635699925838
1898,0.3856336324765121,0.31443589470443206,0.07119773777208005
1899,0.2849934785017738,0.23634772221937198,0.048645756282401836
1900,0.5416012312937717,0.30276475946991704,0.23883647182385465
