cutoff,bandwidth,tau,se,pval,ci_lo,ci_hi,n_left,n_right
1854,10,-0.24344805307517575,0.13752151680411315,0.09461489927334148,-0.5335930915157597,0.04669698536540823,10,11
1854,12,-0.23087022075506353,0.11990469848776299,0.067822708778489,-0.4802256917781135,0.018485250267986447,12,13
1854,15,-0.24683204293747338,0.10030809250301026,0.02054772849563497,-0.45264724818507707,-0.04101683768986966,15,16
1877,10,0.04079725548614686,0.155670185531142,0.7970803614396266,-0.29308208614674125,0.374676597119035,8,10
1877,15,0.026500178680489976,0.11491271139860838,0.819747743290935,-0.21181419864891185,0.2648145560098918,13,13
1877,20,0.05923141640621689,0.0873561739188034,0.5026169945011401,-0.11870728700609344,0.2371701198185272,18,18
