shock,shock_year,n_pre,n_post,mfs_pre,mfs_post,att,ci_lo,ci_hi,pre_slope,pre_p
Corn Laws repeal,1846,8,9,0.2720281191176235,0.2572743538381873,-0.01475376527943617,-0.1717878943509059,0.1446861977752777,0.040309616758348855,0.11788693564761714
Enclosure Acts peak,1793,8,9,0.401750340683829,0.33803577340471747,-0.06371456727911151,-0.1780930892832807,0.054539262449291644,0.02639145408055256,0.13911149332684805
Great Agricultural Depression,1873,8,7,0.08025398437168371,0.24320294275959978,0.16294895838791607,0.06820827410815457,0.27775696373326547,0.009037603762792315,0.03363556704196839
Post-Napoleonic depression,1822,7,9,0.24958470121536794,0.23373648833446495,-0.01584821288090299,-0.10941109433436044,0.0691972451541813,-0.014689266260972774,0.42489978535862283
