direction,lag,fstat,pval
λ → MFS,1,2.0726269042612095,0.15161727454517523
λ → MFS,2,1.3581424536472992,0.2596758861989609
λ → MFS,3,0.7689529177377309,0.5127733225536315
λ → MFS,4,0.7133891970637837,0.5837748505322559
λ → MFS,5,0.5429628152259877,0.7435273568100237
MFS → λ,1,0.18579274577168198,0.6669327956229125
MFS → λ,2,1.2044858793157962,0.30217388389577304
MFS → λ,3,0.6247062846181001,0.5998934190375234
MFS → λ,4,0.8221700980532747,0.5125803822510678
MFS → λ,5,0.6762309085608035,0.6419971673567313
σ → MFS,1,0.4813928311122855,0.48864396348247285
σ → MFS,2,0.18363997825011216,0.8323860805466285
σ → MFS,3,0.12814725779879343,0.9433060055647512
σ → MFS,4,0.2638795097234638,0.9008364099241449
σ → MFS,5,0.24180096070611076,0.9434238219675521
