year,"L1[base{eccl,maint,dom}]",L1[+charitable],L1[+charitable+admin],era
1700,0.4157736485426685,0.41026772006840584,0.31187206321170924,pre_industrial
1701,0.5068146375077067,0.5037198225317037,0.09669120758229677,pre_industrial
1702,0.2750262101635488,0.26025526767670715,0.19457999128770176,pre_industrial
1703,0.7372258901640335,0.7340685013330843,0.705078027608055,pre_industrial
1704,0.19311230848881134,0.18091695269505859,0.0737665624820234,pre_industrial
1705,0.5105600475945807,0.5002256998254726,0.26809394937251285,pre_industrial
1706,0.5961120929058319,0.5961120929058319,0.5961120929058319,pre_industrial
1707,0.5132064052237437,0.46928876784260565,0.31200958141001855,pre_industrial
1708,0.48091977659897645,0.4418012291729956,0.25201551655644616,pre_industrial
1709,0.12041508982488403,0.11472271722635374,0.09707258404750363,pre_industrial
1710,0.6087840128082157,0.5856542214465494,0.35944497731878466,pre_industrial
1711,0.31560068366842076,0.3120024288220212,0.2019351864345792,pre_industrial
1712,0.4409730787900973,0.4409730787900973,0.43191711163986213,pre_industrial
1713,0.5772482618145405,0.5670751829219722,0.39172043377826327,pre_industrial
1714,0.7029873127664235,0.7029873127664235,0.6790955502013445,pre_industrial
1715,0.2731757984938977,0.2731757984938977,0.24928589976629456,pre_industrial
1716,0.5184557215280015,0.5146238491666526,0.3313495764029004,pre_industrial
1717,0.34389061093890605,0.32659234076592336,0.20480451954804513,pre_industrial
1718,0.31441255277286173,0.30843278195786095,0.2440533512620996,pre_industrial
1719,0.2166523333182454,0.19954284162404357,0.047073733761824776,pre_industrial
1720,0.43272694217505425,0.4235640346790597,0.3800311338870772,pre_industrial
1723,0.4282287714055404,0.4246898531348918,0.2852663035998664,pre_industrial
1724,0.2633173328288839,0.25423724360439603,0.09630779820973012,pre_industrial
1725,0.502625510833086,0.49687221752928024,0.44290084701262533,pre_industrial
1726,0.5922240689995957,0.3552232604105835,0.25495822290103787,pre_industrial
1727,0.4575878980451752,0.33048974234993445,0.2573737652828627,pre_industrial
1728,0.8819432693592199,0.8778584257321399,0.6376719953689273,pre_industrial
1729,0.14210888139588185,0.14171604412871974,0.05237830228827711,pre_industrial
1730,0.3420965639698521,0.3276648595553373,0.2498347154271897,pre_industrial
1731,0.43661625620376443,0.4311616256203764,0.32389502762430944,pre_industrial
1732,0.341461321683845,0.3393082466285068,0.30030326374194305,pre_industrial
1733,0.507286043708401,0.5058395786384362,0.30024238771552847,pre_industrial
1734,0.5143781536291594,0.5128540504045892,0.3618853869918681,pre_industrial
1735,0.4929565314287152,0.4786718955000162,0.1309970129510678,pre_industrial
1736,0.5757299387897414,0.5739478679717969,0.5536638988610243,pre_industrial
1737,0.457557209382053,0.421845984629889,0.10120025426392043,pre_industrial
1738,0.5757681286316962,0.5752905357000717,0.35570723553291406,pre_industrial
1739,0.2837266631818739,0.2731432185287721,0.10890622680838147,pre_industrial
1740,0.625749640690332,0.6245740238445765,0.15440261110688913,pre_industrial
1741,0.6089552103289539,0.3030452981286943,0.17106422001688815,pre_industrial
1742,0.6059180036992227,0.5920543857239355,0.35930629225364696,pre_industrial
1743,0.4528614408758649,0.43930638977288783,0.34847234139612693,pre_industrial
1744,0.6764659032304361,0.6706872976344622,0.5654990119278369,pre_industrial
1745,0.3097773898770406,0.30194531293938265,0.22295798382342835,pre_industrial
1746,0.6905617074839812,0.6664442289852001,0.4527182538903697,pre_industrial
1747,0.4858616975552287,0.4787655762773104,0.3086299040550976,pre_industrial
1748,0.6647688740400917,0.6589346265084273,0.31658023336990115,pre_industrial
1749,0.9096874325883776,0.9068787823908017,0.7935042546971027,pre_industrial
1750,0.9057549985057114,0.905170827364767,0.8575891457233167,pre_industrial
1751,0.6187312844481055,0.6152948704804262,0.2845612385231905,pre_industrial
1752,0.36538574609640606,0.3629976827946372,0.27387648707445666,pre_industrial
1753,0.8656036965328734,0.8651546458845158,0.8584319021199747,pre_industrial
1754,0.6474061466655752,0.6449597126057767,0.5258087982047128,pre_industrial
1755,0.6781200636358211,0.6494141383662527,0.36695643558336766,pre_industrial
1756,0.670415346839462,0.6654302945780138,0.5788891938606707,pre_industrial
1757,0.5654700194222293,0.5599486203138526,0.4757384355151021,pre_industrial
1758,0.8220056171910045,0.8035140301202582,0.7055189044477526,pre_industrial
1761,0.7296886435738665,0.7198549289564594,0.59345962966207,pre_industrial
1762,0.7269905750647548,0.7200506822475439,0.5341334071719236,pre_industrial
1763,0.5201453983604211,0.5177077289816421,0.28230950706447044,pre_industrial
1764,0.8182837833237476,0.8172920664441351,0.3267801183610064,pre_industrial
1765,0.9400001046260403,0.9400001046260403,0.8824788001485689,pre_industrial
1766,0.5644449541909491,0.5619739453925225,0.5194682788787799,pre_industrial
1767,0.526315023309585,0.5172920364073519,0.47789077066595187,pre_industrial
1800,0.936899655266916,0.9317897452834225,0.9067008948651851,transition
