year,L4,scholarship_intensity,prize_intensity,competitive_examinations,lectures_teaching,scientific_professorships,scholarships_prizes,textual_mission_index
1700,0.0190767513083939,0.0005688282138794,0.0,0.0,4.013807497792406e-05,0.0028096652484546,0.0,-0.29525473722738177
1701,0.007925629433519,0.002008032128514,0.0,0.0,0.0001311647429171,0.0,0.0,-0.4958770385254552
1702,0.0282116722666634,0.0010121457489878,0.0,0.0050272910083309,7.181844297615628e-05,0.0,0.0,-0.2711489959778646
1703,0.0001110333277025,0.0027932960893854,0.0,0.0,7.767593599502873e-05,0.0,0.0,-0.4964416791575688
1704,0.0078877926996081,0.0010121457489878,0.0,0.0,7.443799315170463e-05,0.0,0.0,-0.4977419582462435
1705,0.0138591066375831,0.002008032128514,0.0,0.0,7.07513796519032e-05,0.0,0.0,-0.4971288410721835
1706,0.0004255119345392,0.0015673981191222,0.0,0.0,0.0001134558656682,0.0,0.0,-0.4965490523022429
1707,0.0432557765466389,0.0034722222222222,0.0,0.0,0.0113856589147286,0.0,0.0,-0.2616631654315467
1708,0.0005806281216692,0.002008032128514,0.0,0.0,0.0178450608930987,0.0,0.0177604871447902,-0.07201860848946806
1709,0.0012951796708272,0.0017605633802816,0.0,0.0,0.0058321011992771,0.0,0.0,-0.3779214173811845
1710,0.0001503147484986,0.0045871559633027,0.0,0.0,0.016213308744429,0.0,0.0,-0.16085932250543591
1711,0.0002885993560415,0.002008032128514,0.0,0.007412113511224,0.0001058873358746,0.0,0.0,-0.16223771623755937
1712,0.0004033629796689,0.125,0.0,0.0,0.0002384358607534,0.0,0.0,-0.4085003102626632
1713,0.0002919505304339,0.0034722222222222,0.0,0.0,0.0001810282404055,0.0,0.0,-0.4938300976332384
1714,0.0015006868785348,0.0045871559633027,0.0,0.0,0.0003180661577608,0.0,0.0,-0.49021865751728644
1715,0.1852696782299383,0.0128205128205128,0.0,0.0,0.0002862049227246,0.0,0.0,-0.48517844308154645
1716,0.0126705505810141,0.002008032128514,0.0,0.0,7.642922653622745e-05,0.0,0.0,-0.4970111925453413
1717,0.0335327334033689,0.0017605633802816,0.0,0.0,6.937699458859442e-05,0.0,0.0,-0.4973286552112517
1718,0.0002048666227915,0.0128205128205128,0.0,0.0,7.40521327014218e-05,0.0,0.0155509478672985,-0.4398271956354891
1719,0.0026063961095815,0.0034722222222222,0.0,0.0,0.0114503816793893,0.0,0.0,-0.2603220694015524
1720,0.0739429924725568,0.1658878504672897,0.0,0.0,7.32922896511287e-05,0.0,0.005130460275579,-0.36720106903445154
1721,0.0084753684778538,0.0045871559633027,0.0,0.0,0.0028744809964867,0.0,0.0055892686042797,-0.41936818484866584
1722,0.0084753684778538,0.0045871559633027,0.0,0.0,0.0028744809964867,0.0,0.0055892686042797,-0.41936818484866584
1723,0.0002532761559478,0.0128205128205128,0.0,0.0052106595206193,7.443799315170463e-05,0.0,0.0,-0.25465227366218784
1724,0.0002702704870534,0.0128205128205128,0.0,0.0,8.120838070488874e-05,0.0,0.0,-0.4894260992208727
1725,0.0042748740920341,0.0045871559633027,0.3211009174311927,0.0,9.790483649892304e-05,0.0,0.0068533385549246,0.15520268841504836
1726,0.0002882474369191,0.0067567567567567,0.0,0.0,7.291818579553741e-05,0.0,0.0,-0.4937961441224268
1727,0.0168295268889176,0.0034722222222222,0.0,0.0,7.940289026520565e-05,0.0,0.0055582023185643,-0.47815525507546086
1728,0.0044413264952236,0.0128205128205128,0.0,0.0,7.767593599502873e-05,0.0,0.005437315519652,-0.47210542507752945
1729,0.0079262831576669,0.0045871559633027,0.0,0.0,7.60225026607876e-05,0.0,0.0,-0.49523395293369243
1730,0.0002436002119942,0.0034722222222222,0.0,0.0,0.0038725864514017,0.0,0.0114541289407657,-0.3806971703659829
1731,0.0032618239447116,0.0027932960893854,0.0,0.0,8.507742045261188e-05,0.0,0.0,-0.49628831578574495
1732,0.0058360023706842,0.0045871559633027,0.0,0.0,0.0070971611355457,0.0,0.0,-0.34975158369369536
1733,0.1338743688478529,0.1994328922495274,0.0,0.0,8.558712769599452e-05,0.0,0.0179732968161588,-0.3026372731764721
1734,0.0022820361019233,0.1112852664576802,0.0,0.0,0.0057009796049462,0.0,0.0056206841175525,-0.28682799063330205
1735,0.0117295292906394,0.142570281124498,0.0,0.0,9.926543577526303e-05,0.0,0.0,-0.399219150532633
1736,0.031866562260025,0.142570281124498,0.0,0.0072508804640563,0.0001035840066293,0.0,0.0145017609281127,-0.025844654402236697
1737,0.0090236629865445,0.0629432624113475,0.0,0.0,0.011924898511502,0.0,0.0118403247631935,-0.17143778820859992
1738,0.0642616100671741,0.002008032128514,0.0,0.0,0.0001028383381324,0.0,0.0071986836692719,-0.47343552758811963
1739,0.0053370130236409,0.1427125506072874,0.0,0.0375201000536001,0.0063426835804895,0.0,0.0187600500268,1.4817926134047834
1740,0.0018579387043186,0.0023364485981308,0.0,0.0,0.0059344700768973,0.0,0.0058508859913072,-0.35668468123445934
1741,0.002200039160716,0.0045871559633027,0.0,0.0,0.0063825961884214,0.0,0.0,-0.36455781483640415
1742,0.0025538085107716,0.0045871559633027,0.0,0.0,8.715356458079135e-05,0.0,0.0122014990413107,-0.4559709477715475
1743,0.0002790567617941,0.0067567567567567,0.0,0.0,0.0063426835804895,0.0,0.0,-0.363882696761221
