level,transition,delta
L1,Pre→Trans,-0.181746083025005
L1,Trans→Early,0.016710302843741975
L1,Early→Late,-0.030982339309741508
L2,Pre→Trans,0.11444102995400962
L2,Trans→Early,-0.09370437261812548
L2,Early→Late,-0.03557207511887317
L3,Pre→Trans,0.11317141844596501
L3,Trans→Early,-0.1388324644946534
L3,Early→Late,0.01772447119820686
L4,Pre→Trans,-0.0037853610920414588
L4,Trans→Early,-0.00028278042631922976
L4,Early→Late,0.14764760190749573
