outcome,lag_k,coef,se,pval,ci_lo,ci_hi,n
ΔL3 (salary share),1,-0.10386974409744648,0.09231705096628035,0.26052908301444555,-0.28480783915030455,0.07706835095541159,193
ΔL4 (educational share),1,-0.024749684418652572,0.03388248026475928,0.46511107653563033,-0.09115812544446991,0.04165875660716476,193
ΔL3 (salary share),3,0.015394168346401883,0.07327811508875179,0.8336062793988496,-0.12822829808253272,0.1590166347753365,191
ΔL4 (educational share),3,0.037419247384195935,0.035419161999925876,0.29075398717551026,-0.03200103449824846,0.10683952926664034,191
ΔL3 (salary share),5,-0.02750292177769289,0.09333814353281736,0.7682544049694565,-0.21044232148584507,0.15543647793045928,189
ΔL4 (educational share),5,0.04298977972265548,0.025928488539710106,0.09731477510062735,-0.007829123988735864,0.09380868343404683,189
