year,place_cluster,amount_real_w,total,london_share
1708,london,1.6996891996891996,36.858844280719275,0.046113469720978226
1716,london,22.980637590455704,134.07192392407777,0.17140529439608235
1723,london,11.667845236892616,371.29157767258835,0.03142501995340582
1739,london,2.6167471819645733,158.98612728605937,0.016458965487324135
1740,london,3.833333333333333,1011.8175744047619,0.003788561723281422
1741,london,0.6801366908861685,191.22195621057222,0.0035567918264428114
1747,london,0.65349985477781,160.27474367130915,0.004077372640308227
1758,london,1.8502202643171808,151.11864117893853,0.012243494580700655
1762,london,41.0645472061657,169.32296220511324,0.24252202224303884
1772,london,31.424180861592955,406.54586328593007,0.0772955371076838
1773,london,31.110595394652016,347.23753255460144,0.08959456417563394
1786,london,0.23694187026116262,332.24479020406255,0.0007131545091064768
1787,london,0.285288432427397,353.9577947786395,0.0008059956204829804
1788,london,0.04925137903861308,348.3477610902517,0.0001413856626621257
1797,london,6.200476856333585,283.63708275070815,0.021860600159194468
1798,london,6.012289667640106,321.0792461931581,0.018725251597305582
1817,london,2.2797342481219336,444.79514959399023,0.005125357707256652
1822,london,2.5480489225393126,384.2604389115382,0.0066310467186186375
1823,london,6.428959992087433,440.0427360994346,0.014609853690744048
1826,london,2.752726510067114,682.1414682955816,0.004035418806813132
1827,london,0.989887099363262,251.77354771969254,0.003931656475942956
1828,london,1.4339560799737792,582.7028478822972,0.0024608702105801796
1829,london,2.9291971210176864,471.9796723018839,0.006206193386956158
1830,london,2.993158494868871,581.4738930064614,0.00514753719963763
1831,london,3.0018869003373547,343.2056101930737,0.008746613724200526
1833,london,5.722666359924081,1813.5064991085292,0.0031555808389642876
1834,london,3.821527457314259,1939.362694200892,0.0019705068416245404
1835,london,6.4651431877350305,285.6812264969627,0.02263061968408262
1836,london,2.7706858535453174,497.1640362074968,0.0055729812531913345
1837,london,5.002521872393256,722.8959339657413,0.006920113445582515
1839,london,0.1585582421013602,393.9403918584002,0.00040249297959360595
1840,london,10.018472303777648,836.9855891563907,0.0119697070458231
1841,london,0.2730385500915048,1077.6690133223133,0.0002533603051736289
1842,london,8.55690091801203,457.72371597024375,0.01869446703209127
1845,london,0.2790346907993967,422.93489190548013,0.0006597580292849352
1846,london,12.764903340613118,1132.5041201569197,0.01127139682180089
1847,london,0.2465483234714004,645.6712977083714,0.00038184804612881865
1848,london,12.012840960209381,893.7074438719176,0.013441580958713612
1849,london,1.0897949951678902,602.0667550839966,0.0018100899708635282
1850,london,5.906224152191895,1975.9570150951201,0.0029890448562756695
1852,london,3.200438917337235,462.9612696090385,0.0069129733466472085
1856,london,0.5450153193495167,136.27592505302852,0.0039993514565205635
1858,london,0.1593648585999073,2739.7765028589088,5.81671017448368e-05
1860,london,3.8055872291904222,1184.0471778791334,0.0032140503353987925
1861,london,23.7802927673666,896.8064414465267,0.026516639118926905
