year,amount_real_administrative,amount_real_charitable,amount_real_domestic,amount_real_ecclesiastical,amount_real_educational,amount_real_financial,amount_real_land_rent,amount_real_maintenance,amount_real_other,amount_real_salary_stipend,share_administrative,share_charitable,share_domestic,share_ecclesiastical,share_educational,share_financial,share_land_rent,share_maintenance,share_other,share_salary_stipend,total_real,era,hhi,hhi_5yr,share_land_rent_5yr,share_financial_5yr,share_educational_5yr
1700,3.519107142857143,0.0,9.0,6.195684523809524,192.7485119047619,652.2265773809524,844.3584970238095,0.0,0.024107142857142855,0.0,0.002060279744282557,0.0,0.005269097230011715,0.003627296018047912,0.11284562779625121,0.3818494724686664,0.49433411308944547,0.0,1.4113653294674234e-05,0.0,1708.0724851190478,pre_industrial,0.40295453631509937,0.4452648616242067,0.5591239277970892,0.2664699225806966,0.057616281735492124
1701,3.506134445409129,0.0,0.0,22.959691996754863,0.3659080449954217,3.7989794901720777,76.58969847279351,0.0,0.024018275238759445,0.0,0.032692927937561546,0.0,0.0,0.21408749938307794,0.0034119071966772336,0.03542355966157973,0.7141601475691336,0.0,0.00022395825196989944,0.0,107.24443072536377,pre_industrial,0.5581935211523116,0.4370256032621235,0.5188302428874795,0.32300060974693034,0.043321037596969085
1702,4.523135936923907,0.0,0.12408179471907883,91.3850600792233,70.99915978899006,479.426736199741,588.2512709520975,19.86135927470055,0.023930060410108058,0.0,0.0036052565932505752,0.0,9.890189345437953e-05,0.07284030260635573,0.056591310213547914,0.3821367356118438,0.46887752273268857,0.015830896412264348,1.9073936594773192e-05,0.0,1254.5947340868054,pre_industrial,0.3746465274052091,0.4325277988354207,0.5349185777277757,0.28839910508635425,0.0347722547762767
1703,3.4804738827585235,0.0,0.11950680776711833,138.95227263093943,0.5692762714817903,644.1947654840792,520.4234632484188,0.0,0.02384249120476991,0.0,0.002661393756933667,0.0,9.138257686059682e-05,0.10625182758119962,0.0004353051813999858,0.49259267124563155,0.39794918815865016,0.0,1.823149932440478e-05,0.0,1307.7636008166496,pre_industrial,0.4123078281758739,0.461748940163071,0.5792276420938378,0.24700113298836227,0.01589221651624128
1704,3.467783940537192,0.0,0.49270792274339764,101.34474069485894,0.36190570039604325,94.05847035306041,375.7946528286127,0.0,51.56511017887643,0.0,0.005530002927007604,0.0,0.0007857110770599935,0.1616123502182722,0.0005771234935071619,0.14999308644404963,0.5992719170889611,0.0,0.0822298087511424,0.0,627.0853716190851,pre_industrial,0.4145365811286098,0.48478869324472795,0.5990088306888458,0.2468610209569359,0.02801340208245078
1705,3.4551861981906162,0.0,7.241040746195386,64.96364868971644,16.069967505902707,152.34056852981743,623.6859322766908,0.0,3.460095378357529,0.0,0.0039659331966556246,0.0,0.008311414270151588,0.07456660108486764,0.018445436496074108,0.17485961197870675,0.7158794349197564,0.0,0.0039715680537879315,0.0,871.2164393248709,pre_industrial,0.5490602429533503,0.4939912133217759,0.604943940419156,0.1819290590609385,0.017369468860561257
1706,3.442679654526651,0.0,0.0,63.28146108766339,48.45102416822726,26.279627973278924,615.3579668269186,0.0,0.023583587220840203,0.0,0.004548776872322928,0.0,0.0,0.08361313730247281,0.0640178350277247,0.03472299950444792,0.8130660905441727,0.0,3.116074885896358e-05,0.0,756.8363432978357,pre_industrial,0.6733922865605964,0.5058002798628447,0.6493858307440438,0.09413211187234913,0.024332722060116302
1707,3.4302633227967076,0.0,0.0,436.68959078904004,3.5919390175409274,61.23232678391563,531.1272999549756,0.0,29.26611477030621,0.0,0.003219884037935877,0.0,0.0,0.4099072609294581,0.0033716441041003247,0.05747692613185663,0.4985530713842398,0.0,0.027471213412409233,0.0,1065.337534638575,pre_industrial,0.4206591277904493,0.5056038339935298,0.6269360920437337,0.07054372682177121,0.1070696156060634
1708,3.41793623043623,0.0,0.0,280.1025652588152,34.35048747548747,52.23763505013504,604.3064429783179,0.0,0.02341408591408591,0.0,0.003507595704401126,0.0,0.0,0.2874502297452641,0.0352515711791752,0.05360793530268467,0.6201586397830893,0.0,2.4028285385606735e-05,0.0,974.438481079106,pre_industrial,0.4713531608812179,0.4900290456124,0.6125439742604427,0.07313954101606145,0.10606035638643055
1709,3.405697418810745,0.0,5.77437981870383,96.65922403026828,657.8484098565392,50.89732157258529,773.394058218468,0.0,0.023330245676127803,0.0,0.002144642459877804,0.0,0.0036362537876245505,0.06086843618260789,0.41426159122324274,0.032051161191160055,0.4870232235874105,0.0,1.4691568076495838e-05,0.0,1588.0024211610514,pre_industrial,0.41355435178203476,0.457630029141487,0.5870598616686893,0.07670228234300026,0.10792537656591383
1710,3.393545942967351,0.0,7.9556412729026045,168.23655691784913,15.54220048675208,217.88162396105983,746.9073018551684,0.0,0.023247003719520595,0.0,0.002925621669552836,0.0,0.006858665506334858,0.14503900191769228,0.013399140397909737,0.18783868295015796,0.6439188460033014,0.0,2.0041555050978476e-05,0.0,1159.9401174404188,pre_industrial,0.47118630104770165,0.5496101837167876,0.6747999197014657,0.06779965447425183,0.10750077554128998
1711,3.401418077379801,0.0,0.0,107.00880487513001,43.12915964762088,30.89409985915881,403.19241448270776,0.0,0.42200574411090547,0.0,0.005784253394736501,0.0,0.0,0.18197293857580482,0.07334293592514117,0.05253670613914196,0.6856455275854054,0.0,0.0007176383797701703,0.0,588.0479026861082,pre_industrial,0.5113972042060312,0.511390943214513,0.5977627742929458,0.09450222706750058,0.13104701214349002
1712,12.503979018462644,0.0,0.0,1.3026960445096465,0.35580498426846036,3.6940861405596923,267.0743286415516,0.0,0.023355108367702822,0.0,0.04388065460050356,0.0,0.0,0.004571597176720006,0.001248638980981073,0.012963786788114514,0.9372533615481221,0.0,8.19609055587252e-05,0.0,284.95424993771974,pre_industrial,0.8805599006669523,0.5008445671878611,0.5897015462459781,0.09323862986129827,0.0752674562824616
1713,3.417272424603945,0.0,0.0,82.17499468227766,30.823715192039135,37.70201564797603,47.343494229115215,0.0,0.023409538606664258,0.0,0.01696043919679966,0.0,0.0,0.40784691052766603,0.15298275419017532,0.18712079826892847,0.23497291274048962,0.0,0.00011618507594093235,0.0,201.48490171461864,pre_industrial,0.2802569583698446,0.5983946471080696,0.6567521827600759,0.05748239868057596,0.07276210779786926
1714,3.425255151700548,0.0,0.0,85.0071145842024,30.5307201720478,5.8040059512222255,100.75509897846622,0.0,0.023464223143024,0.0,0.015186526603810528,0.0,0.0,0.37689536982529054,0.13536381191810076,0.02573317516014842,0.44671708335257193,0.0,0.00010403314007786174,0.0,225.5456590607822,pre_industrial,0.36082247164877557,0.5895851133813516,0.6477698872674849,0.09188488090881411,0.05976775198036607
1715,3.433275261324042,0.0,0.0,1.019163763066202,0.3583042973286876,3.720034843205575,402.15768002322886,0.0,0.023519163763066203,0.0,0.008359325879562207,0.0,0.0,0.002481456152404674,0.0008723979749479682,0.009057527046546497,0.9791720285737909,0.0,5.7264372747800175e-05,0.0,410.7119773519164,pre_industrial,0.9589367006487438,0.5651434837361891,0.6339623285023325,0.09214403538481598,0.06124557298190077
1716,15.754717200786045,0.0,5.867396831605711,79.45316792862266,10.252228213796766,275.0072469335866,784.7125353906475,0.0,53.66136039786538,0.0,0.01286405314726897,0.0,0.00479085112832921,0.06487515846375799,0.008371156837625236,0.22454911728033264,0.6407340501224501,0.0,0.043815613020235844,0.0,1224.7086528969107,pre_industrial,0.46734953557244147,0.6524790456082687,0.7537684266290497,0.055699033136192844,0.032797668804658106
1717,47.65032066541575,0.0,0.09801999607920016,23.56855798582911,8.201589790984027,13.539537065561374,824.375895599369,0.0,32.07208437187853,0.0,0.05018432784063575,0.0,0.00010323262361058222,0.024821915659223027,0.008637743988654488,0.014259559168123867,0.8682155677223601,0.0,0.03377765299739226,0.0,949.5060054751169,pre_industrial,0.7583517524411395,0.7206517463172828,0.830557885151868,0.05681503712287987,0.011331699234527624
1718,3.4575625298262356,0.0,0.12281391235999213,111.45245581038468,8.220929362116236,3.746350672318446,638.1954922615538,0.0,0.023685540240855625,0.0,0.004518394366959831,0.0,0.00016049505540528144,0.14564773425595573,0.010743233303962102,0.004895787025812821,0.8340034033740761,0.0,3.0952617828161425e-05,0.0,765.2192900888002,pre_industrial,0.7169347677302436,0.6717414293460854,0.8019104820873206,0.07954149384179464,0.01529181080338123
1719,3.465734826528603,0.0,0.2462083907819579,4.968133599707365,22.766655411425948,25.42975088400537,674.590634584541,0.0,80.6426273483591,0.0,0.004267569559007166,0.0,0.00030317132910184357,0.006117564319376487,0.02803396406744833,0.03131319509358349,0.8306643759666632,0.0,0.09930015966481957,0.0,812.1097450453493,pre_industrial,0.7016859751938459,0.6702526588846366,0.8018957847063699,0.04575583739231277,0.022402174664477737
1720,3.473945846848118,0.0,6.16979269496545,4.979904103793542,17.267780754947587,102.48078550274998,698.2427989705261,0.0,2.6685822403986275,0.0,0.004159001670765539,0.0,0.007386464630679143,0.005961932166191023,0.020672955819215997,0.12268981064112035,0.8359350132510538,0.0,0.0031948218209742214,0.0,835.2835901142294,pre_industrial,0.7143851157927565,0.6105634450494482,0.7563847838054373,0.054028092565272676,0.029459221095368394
1721,51.79459578519561,0.0,0.06217049636924301,185.6155678475508,40.15288909257127,50.84667334555427,585.6700706493679,0.0,0.02398004859956516,0.0,0.05665776103358779,0.0,6.800788910944495e-05,0.2030436250692041,0.043922976143107764,0.055620835032923345,0.6406605632176968,0.0,2.6231614370785908e-05,0.0,914.1659472652086,pre_industrial,0.45990568326519743,0.5979734037333987,0.748804659405458,0.07851356126735456,0.028217920434902954
1722,52.194373639592165,0.0,0.06265036086607859,187.04824614789783,40.4628101491198,51.23913463741551,590.1905794144042,0.0,0.02416513919120174,0.0,0.05665776103358778,0.0,6.800788910944494e-05,0.2030436250692041,0.04392297614310777,0.055620835032923345,0.6406605632176968,0.0,2.6231614370785908e-05,0.0,921.2219594884867,pre_industrial,0.45990568326519743,0.6459863343132317,0.776721190207813,0.07497250441931867,0.022695740372626894
