year,role,n_entries,amount_real,era,total,role_share
1700,academic_traditional,4.0,2.316666666666667,pre_industrial,87.38571428571429,0.045774072257642635
1700,artisan_supplier,4.0,50.58749999999999,pre_industrial,87.38571428571429,0.045774072257642635
1700,domestic_service,7.0,7.616666666666667,pre_industrial,87.38571428571429,0.08010462645087461
1700,student,0.04285714285714286,0.857142857142857,pre_industrial,87.38571428571429,0.0004904364884747426
1700,unclassified,72.34285714285714,458.60504464285714,pre_industrial,87.38571428571429,0.8278567925453654
1701,academic_traditional,3.0,1.7165653747799807,pre_industrial,37.385714285714286,0.08024455483377914
1701,artisan_supplier,7.0,6.554913486765633,pre_industrial,37.385714285714286,0.18723729461215133
1701,domestic_service,3.0,4.192819899704427,pre_industrial,37.385714285714286,0.08024455483377914
1701,student,0.04285714285714286,0.8539831196003358,pre_industrial,37.385714285714286,0.0011463507833397019
1701,traditional_ecclesiastical,1.0,3.985254558134901,pre_industrial,37.385714285714286,0.026748184944593044
1701,unclassified,23.34285714285714,21.216128301475017,pre_industrial,37.385714285714286,0.6243790599923577
1702,academic_traditional,2.0,1.6378796902918404,pre_industrial,44.385714285714286,0.04505954296749276
1702,artisan_supplier,1.0,1.0050625372245385,pre_industrial,44.385714285714286,0.02252977148374638
1702,domestic_service,4.0,64.42326781814573,pre_industrial,44.385714285714286,0.09011908593498552
1702,student,0.04285714285714286,0.8508465923593976,pre_industrial,44.385714285714286,0.0009655616350177019
1702,traditional_ecclesiastical,1.0,1.488981536628946,pre_industrial,44.385714285714286,0.02252977148374638
1702,unclassified,36.34285714285714,142.96377934239013,pre_industrial,44.385714285714286,0.8187962664950112
1703,academic_traditional,2.0,1.3186958098440644,pre_industrial,38.385714285714286,0.05210271678451805
1703,artisan_supplier,4.0,26.388339432301457,pre_industrial,38.385714285714286,0.1042054335690361
1703,domestic_service,6.0,57.86602050571985,pre_industrial,38.385714285714286,0.15630815035355414
1703,student,0.04285714285714286,0.8477330206140413,pre_industrial,38.385714285714286,0.0011164867882396724
1703,unclassified,26.34285714285714,19.14565289571471,pre_industrial,38.385714285714286,0.686267212504652
1704,academic_traditional,3.0,1.4124293785310733,pre_industrial,43.385714285714286,0.0691471847217649
