year,annual,biennial,half_year,multi_year,one_off,quadrennial,quinquennial,sesquiannual,triennial,weighted_modernity,total_weight,era,entropy,modernity_5yr
1700,0.401912340370917,0.009176666880574984,0.1491368799332606,0.031444522877494704,0.3542321760893281,0.01354039658602323,0.0,0.03600077006994802,0.004556247192453314,0.7874927805942373,222.6142857142857,pre_industrial,1.372087868192358,0.7610028532049316
1701,0.23000199481348493,0.014562138440055855,0.1703570716138041,0.027927388789148216,0.5565529622980251,0.00019948134849391582,0.0,0.00019948134849391582,0.00019948134849391582,0.727608218631558,71.61428571428571,pre_industrial,1.1322854962486995,0.7628427884167763
1702,0.3255254627209035,0.05155285998117746,0.2137404580152672,0.03659939349576493,0.35762835930147446,0.00010456969570218551,0.0,0.00010456969570218551,0.014744327094008157,0.7679075603889992,136.6142857142857,pre_industrial,1.4008919824864643,0.7579998398518986
1703,0.37179027827540906,0.042159321629045746,0.14379553326167444,0.025080616266571123,0.36665472351606354,0.01683984235041204,0.0,0.01683984235041204,0.01683984235041204,0.7683625940523109,119.61428571428571,pre_industrial,1.4468576647914546,0.7490845374738979
1704,0.30356582662344456,0.06619261737948343,0.11858203492627838,0.0073198786991529865,0.44546690369131026,0.007424448394855171,0.0,0.014744327094008157,0.03670396319146712,0.7386280455923873,136.6142857142857,pre_industrial,1.4105491108759585,0.7611113190026506
1705,0.3080759842937493,0.06717605858007004,0.17234426403480846,0.02971452828186353,0.3629417382999045,0.0075347553857582515,0.0,0.0075347553857582515,0.04467791573808766,0.7429162687042343,134.6142857142857,pre_industrial,1.5320229398175083,0.7569530854987759
1706,0.4602986840159692,0.0728966435014047,0.16767706639065502,0.05175218098477007,0.14342747301493422,0.031199171965104244,0.010350436196954015,0.04154960816205826,0.020848735768150228,0.7877421262753215,96.61428571428571,pre_industrial,1.6475798517011047,0.7471213253566928
1707,0.3137597576604917,0.08190609344052197,0.14843294885238262,0.008155656530350695,0.29243854130257485,0.016427822439706398,0.024466969591052084,0.08982873121286264,0.024583478970057093,0.747116392869626,122.61428571428571,pre_industrial,1.7164134557400197,0.7481993115254738
1708,0.27294280351674405,0.05561592413316211,0.0981922355033093,0.020744838486614642,0.46231354341598346,0.007013731107379236,0.0069149461622048805,0.0554183542428134,0.020843623431788996,0.7192037933418948,144.6142857142857,pre_industrial,1.490247064234814,0.7504704525457034
1709,0.3696101056722944,0.06838333535770678,0.1462407384914369,0.05951657961860804,0.27086116846835906,0.017126199441272926,0.0,0.02562856795821693,0.042633304992104944,0.7440179764362929,117.61428571428571,pre_industrial,1.652253582522786,0.742632779335323
1710,0.42596950782768855,0.05044510385756677,0.073058426276476,0.02148777243425765,0.3427811316893482,0.028752685971554285,0.02148777243425765,0.007264913537296634,0.028752685971554285,0.7542719738053821,139.6142857142857,pre_industrial,1.477253402570796,0.7467581620448656
1711,0.43945741073209654,0.05645322162377817,0.03072012766806304,0.013963694394574108,0.34709754637941354,0.04209056453221624,0.027927388789148216,0.02812687013764213,0.014163175743068022,0.748553760223419,71.61428571428571,pre_industrial,1.4515159229210575,0.7571601187143029
1712,0.4602634934126647,0.12027199320017,0.09519762005949851,0.029749256268593285,0.23374415639609009,0.00042498937526561835,0.029749256268593285,0.00042498937526561835,0.030174245643858903,0.7677433064173395,33.614285714285714,pre_industrial,1.496885919822957,0.7408579743846764
