year,category,n_entries,n_arrears,amount_total,amount_arrears,arrears_rate,arrears_amount_share,era
1700,administrative,57.54285714285713,0.04285714285714286,115.11005952380953,2.7876785714285712,0.0007447864945382325,0.024217506123797666,pre_industrial
1700,charitable,7.057142857142857,0.0,6.142619047619048,0.0,0.0,0.0,pre_industrial
1700,domestic,21.10000000000001,1.0,32.49166666666666,5.0,0.047393364928909935,0.1538856116953065,pre_industrial
1700,ecclesiastical,38.19999999999999,1.0,452.6070386904762,0.8,0.026178010471204195,0.001767537690784997,pre_industrial
1700,educational,25.114285714285717,0.0,213.87549107142857,0.0,0.0,0.0,pre_industrial
1700,financial,11.085714285714285,1.0,2079.695625,60.0,0.09020618556701031,0.02885037564090659,pre_industrial
1700,land_rent,137.5142857142857,35.214285714285715,844.5684970238096,406.1760416666667,0.25607729067109913,0.48092729375769744,pre_industrial
1700,maintenance,23.05714285714286,0.0,173.7331845238095,0.0,0.0,0.0,pre_industrial
1700,other,7.057142857142857,0.0,53.22291666666667,0.0,0.0,0.0,pre_industrial
1700,salary_stipend,28.185714285714287,0.0,99.36702380952381,0.0,0.0,0.0,pre_industrial
1701,administrative,21.542857142857148,0.04285714285714286,181.9752926078272,2.7774021833501754,0.0019893899204244028,0.015262523519254462,pre_industrial
1701,charitable,2.057142857142857,0.0,1.43730103379401,0.0,0.0,0.0,pre_industrial
1701,domestic,10.1,0.0,5.8107917372388815,0.0,0.0,0.0,pre_industrial
1701,ecclesiastical,21.200000000000006,0.0,215.8510979613525,0.0,0.0,0.0,pre_industrial
1701,educational,7.114285714285714,0.0,3.8601667876476085,0.0,0.0,0.0,pre_industrial
1701,financial,6.085714285714285,0.0,688.0768240842217,0.0,0.0,0.0,pre_industrial
1701,land_rent,8.514285714285712,0.2142857142857143,76.79892433709561,2.492859752250008,0.025167785234899338,0.032459565986992615,pre_industrial
1701,maintenance,13.057142857142857,0.0,16.427610697561878,0.0,0.0,0.0,pre_industrial
1701,other,69.05714285714286,0.0,833.7059131214506,0.0,0.0,0.0,pre_industrial
1701,salary_stipend,16.185714285714294,0.0,39.81761529958203,0.0,0.0,0.0,pre_industrial
1702,administrative,13.542857142857141,0.04285714285714286,59.24249836921071,2.767201281942199,0.003164556962025317,0.046709733014574525,pre_industrial
1702,charitable,4.057142857142857,0.0,11.573640772568707,0.0,0.0,0.0,pre_industrial
1702,domestic,14.1,1.0,93.97748329031835,0.0,0.07092198581560284,0.0,pre_industrial
1702,ecclesiastical,22.200000000000006,1.0,201.60164485190546,0.0,0.04504504504504503,0.0,pre_industrial
1702,educational,14.114285714285714,1.0,93.22417385159348,0.0,0.0708502024291498,0.0,pre_industrial
1702,financial,10.085714285714285,0.0,588.4483985176362,0.0,0.0,0.0,pre_industrial
1702,land_rent,85.51428571428572,28.214285714285715,589.071865221173,235.72955959234997,0.3299365185432676,0.40017113956688954,pre_industrial
1702,maintenance,13.057142857142857,0.0,381.9360246083743,0.0,0.0,0.0,pre_industrial
1702,other,5.057142857142857,0.0,2.003920984713123,0.0,0.0,0.0,pre_industrial
1702,salary_stipend,17.185714285714297,0.0,129.28944855686962,0.0,0.0,0.0,pre_industrial
1703,administrative,20.542857142857144,0.04285714285714286,35.36026887265638,2.757075038501208,0.002086230876216968,0.07797098626230235,pre_industrial
1703,charitable,5.057142857142857,0.0,3.17405371801574,0.0,0.0,0.0,pre_industrial
1703,domestic,12.1,0.0,15.894405433026737,0.0,0.0,0.0,pre_industrial
1703,ecclesiastical,19.2,2.0,179.41037519250605,3.164869943625755,0.10416666666666667,0.017640395324015526,pre_industrial
1703,educational,5.114285714285714,0.0,0.6783777451243577,0.0,0.0,0.0,pre_industrial
1703,financial,7.085714285714285,0.0,1199.8059044604888,0.0,0.0,0.0,pre_industrial
1703,land_rent,80.51428571428573,47.214285714285715,520.6311578384692,454.8243662018264,0.5864088005677784,0.8736018952268316,pre_industrial
1703,maintenance,11.057142857142857,0.0,202.3423923025842,0.0,0.0,0.0,pre_industrial
1703,other,4.057142857142857,0.0,24.071349685161376,0.0,0.0,0.0,pre_industrial
1703,salary_stipend,19.185714285714283,0.0,135.92080289736307,0.0,0.0,0.0,pre_industrial
1704,administrative,20.542857142857144,0.04285714285714286,30.126684591850136,2.747022636409707,0.002086230876216968,0.09118237448380997,pre_industrial
1704,charitable,2.057142857142857,0.0,2.7190438650824924,0.0,0.0,0.0,pre_industrial
1704,domestic,16.100000000000012,1.0,47.78445670739719,0.49270792274339764,0.062111801242235976,0.01031105000859254,pre_industrial
1704,ecclesiastical,22.200000000000006,1.0,205.95371536967176,0.0,0.04504504504504503,0.0,pre_industrial
1704,educational,14.114285714285714,0.0,2.1417104238226625,0.0,0.0,0.0,pre_industrial
1704,financial,4.085714285714285,1.0,98.77438904217577,59.12495072920772,0.24475524475524477,0.598585840950754,pre_industrial
1704,land_rent,81.51428571428575,23.214285714285715,376.297214909811,169.01113519905397,0.284787942516649,0.44914266835475175,pre_industrial
1704,maintenance,10.057142857142857,0.0,24.272903879722953,0.0,0.0,0.0,pre_industrial
1704,other,10.057142857142857,0.0,84.60616213375377,0.0,0.0,0.0,pre_industrial
1704,salary_stipend,11.185714285714285,0.0,16.814009797848975,0.0,0.0,0.0,pre_industrial
1705,administrative,22.542857142857148,0.04285714285714286,121.28708184304651,2.737043270916614,0.001901140684410646,0.022566651199165042,pre_industrial
1705,charitable,4.057142857142857,0.0,5.188302124973701,0.0,0.0,0.0,pre_industrial
1705,domestic,15.1,2.0,92.59122893143511,1.3500245459008346,0.13245033112582782,0.014580479830336236,pre_industrial
1705,ecclesiastical,17.200000000000014,2.0,176.86626282815527,3.5141548028145966,0.11627906976744178,0.019868994496870095,pre_industrial
1705,educational,7.114285714285714,0.0,23.042946560067328,0.0,0.0,0.0,pre_industrial
1705,financial,6.085714285714285,1.0,156.54843724431353,1.1597938144329896,0.1643192488262911,0.007408530131942393,pre_industrial
1705,land_rent,90.51428571428575,56.214285714285715,623.892117843701,509.46755850106354,0.6210542929292927,0.8165956003128999,pre_industrial
1705,maintenance,16.057142857142864,0.0,46.77104518783459,0.0,0.0,0.0,pre_industrial
1705,other,5.057142857142857,0.0,14.512763868433971,0.0,0.0,0.0,pre_industrial
1705,salary_stipend,18.185714285714297,0.0,117.8574935128691,0.0,0.0,0.0,pre_industrial
1706,administrative,1.5428571428571425,0.04285714285714286,7.130919771547829,2.727136148922492,0.027777777777777783,0.38243820380698845,pre_industrial
1706,charitable,0.05714285714285714,0.0,0.10691226206780892,0.0,0.0,0.0,pre_industrial
1706,domestic,1.0999999999999999,1.0,1.1372529837605165,0.0,0.9090909090909092,0.0,pre_industrial
1706,ecclesiastical,9.2,2.0,157.1730062842981,1.5652514185090982,0.2173913043478261,0.009958780171690778,pre_industrial
1706,educational,9.114285714285714,1.0,48.55894091641744,0.6603404421835257,0.109717868338558,0.013598740617513533,pre_industrial
1706,financial,3.0857142857142854,0.0,53.41298180395226,0.0,0.0,0.0,pre_industrial
1706,land_rent,90.51428571428575,51.214285714285715,626.0931866143053,496.0726048392356,0.5658143939393937,0.7923303039309917,pre_industrial
1706,maintenance,4.057142857142857,0.0,6.159974751003904,0.0,0.0,0.0,pre_industrial
1706,other,58.05714285714285,0.0,216.32671362420925,0.0,0.0,0.0,pre_industrial
1706,salary_stipend,6.185714285714285,0.0,114.49706398896869,0.0,0.0,0.0,pre_industrial
1707,administrative,15.542857142857141,0.04285714285714286,44.57331889769262,2.7173004887694425,0.0027573529411764708,0.06096248957826889,pre_industrial
1707,charitable,5.057142857142857,0.0,10.568884927984255,0.0,0.0,0.0,pre_industrial
1707,domestic,9.1,0.0,26.094973519186407,0.0,0.0,0.0,pre_industrial
1707,ecclesiastical,19.2,0.0,473.66007605401063,0.0,0.0,0.0,pre_industrial
1707,educational,4.114285714285714,0.0,14.3892673796295,0.0,0.0,0.0,pre_industrial
1707,financial,8.085714285714285,0.0,65.40984338954414,0.0,0.0,0.0,pre_industrial
1707,land_rent,85.51428571428572,13.214285714285714,531.3319982686514,331.52902329661754,0.15452723020380887,0.6239583243187063,pre_industrial
1707,maintenance,7.057142857142857,0.0,56.26244551822093,0.0,0.0,0.0,pre_industrial
1707,other,5.057142857142857,0.0,52.61030964681418,0.0,0.0,0.0,pre_industrial
1707,salary_stipend,18.185714285714297,0.0,66.1617673680253,0.0,0.0,0.0,pre_industrial
1708,administrative,16.54285714285715,0.04285714285714286,39.946396196396186,2.707535520035519,0.0025906735751295325,0.06777921859894293,pre_industrial
1708,charitable,6.057142857142857,0.0,6.88061938061938,0.0,0.0,0.0,pre_industrial
1708,domestic,12.1,0.0,35.183566433566426,0.0,0.0,0.0,pre_industrial
1708,ecclesiastical,26.2,3.0,304.4879455035705,24.07083657083657,0.11450381679389313,0.07905349596361709,pre_industrial
1708,educational,7.114285714285714,0.0,34.457628598253585,0.0,0.0,0.0,pre_industrial
1708,financial,4.085714285714285,0.0,79.22453703703704,0.0,0.0,0.0,pre_industrial
1708,land_rent,68.5142857142857,35.214285714285715,604.5104056822806,538.1256475006473,0.5139699749791494,0.8901842589347851,pre_industrial
1708,maintenance,10.057142857142857,0.0,33.6729242979243,0.0,0.0,0.0,pre_industrial
1708,other,6.057142857142857,1.0,0.21043771043771042,0.0,0.16509433962264153,0.0,pre_industrial
1708,salary_stipend,12.185714285714285,0.0,24.552762052762052,0.0,0.0,0.0,pre_industrial
1709,administrative,13.542857142857141,0.04285714285714286,12.705709400764082,2.6978404833335636,0.003164556962025317,0.21233292831105707,pre_industrial
1709,charitable,3.057142857142857,0.0,1.9284032203803811,0.0,0.0,0.0,pre_industrial
1709,domestic,13.1,1.0,18.41793283654312,0.12097164424658861,0.07633587786259542,0.006568144499178981,pre_industrial
1709,ecclesiastical,21.200000000000006,0.0,317.78419983593943,0.0,0.0,0.0,pre_industrial
1709,educational,8.114285714285714,0.0,658.2777583839112,0.0,0.0,0.0,pre_industrial
1709,financial,2.0857142857142854,1.0,55.0449208038969,3.762218136068906,0.47945205479452063,0.06834814331865767,pre_industrial
1709,land_rent,87.51428571428572,57.214285714285715,773.5972905808022,617.8223491080358,0.6537708129285015,0.7986356165288356,pre_industrial
1709,maintenance,9.057142857142857,0.0,51.2021125105418,0.0,0.0,0.0,pre_industrial
1709,other,5.057142857142857,1.0,0.03024291106164715,0.0,0.1977401129943503,0.0,pre_industrial
1709,salary_stipend,11.185714285714285,0.0,34.65872170991691,0.0,0.0,0.0,pre_industrial
1710,administrative,16.54285714285715,0.04285714285714286,164.56691693070672,2.688214630114341,0.0025906735751295325,0.016335085327303378,pre_industrial
1710,charitable,10.057142857142857,0.0,16.213550994168155,0.0,0.0,0.0,pre_industrial
1710,domestic,14.1,1.0,42.15284474445516,0.2410800385728062,0.07092198581560284,0.005719187875321705,pre_industrial
1710,ecclesiastical,13.2,1.0,223.675824838132,0.0,0.07575757575757576,0.0,pre_industrial
1710,educational,3.114285714285714,0.0,15.648577053772332,0.0,0.0,0.0,pre_industrial
1710,financial,4.085714285714285,0.0,222.01442462230793,0.0,0.0,0.0,pre_industrial
1710,land_rent,87.51428571428572,31.214285714285715,747.1098090875695,483.6477418836387,0.35667646098596145,0.6473583079765853,pre_industrial
1710,maintenance,12.057142857142857,0.0,186.14076778252286,0.0,0.0,0.0,pre_industrial
1710,other,6.057142857142857,0.0,43.06292189006751,0.0,0.0,0.0,pre_industrial
1710,salary_stipend,19.185714285714283,0.0,211.1794266887083,0.0,0.0,0.0,pre_industrial
1711,administrative,20.542857142857144,0.04285714285714286,46.46688851453977,2.694450581315069,0.002086230876216968,0.057986464500887756,pre_industrial
1711,charitable,1.057142857142857,0.0,1.3943737170104846,0.0,0.0,0.0,pre_industrial
1711,domestic,6.1,0.0,13.543881693408077,0.0,0.0,0.0,pre_industrial
