decade_start,pearson_r,p_value
1700,-0.6299661902044202,0.05092105647213476
1701,-0.5901436129778554,0.0724977849319564
1702,-0.5792552239987494,0.07928764904669464
1703,-0.5455035929610614,0.10289511309915192
1704,-0.43941985324030347,0.20385860452051763
1705,-0.33148945703611454,0.34943221948373776
1706,-0.5450613230826317,0.10323076119991917
1707,-0.3993726147088434,0.2528861590830537
1708,-0.48115482321910896,0.15916256927142047
1709,-0.5234287818780387,0.12049926524888371
1710,-0.6169844242558526,0.05740808024929566
1711,-0.5798128882836204,0.07893029360196514
1712,-0.5741994634806155,0.08257517451382052
1713,-0.5298614368473529,0.11518899620954476
1714,-0.22552916287521493,0.5309916426094136
1715,-0.5625804322791855,0.09045968008001358
1716,-0.5104265313861235,0.13169130408521001
1717,-0.2949921923974494,0.4079872687875783
1718,-0.4187493899645354,0.22841597141427816
1719,-0.43177130599592306,0.212758687910635
1720,-0.3352572622777786,0.34364408039894173
1721,-0.6544960310286094,0.04003290130651041
1722,-0.7414115455894661,0.014121709172587382
1723,-0.8267021226927425,0.003183142053487526
1724,-0.8332623068153118,0.002750821652444715
1725,-0.8295407588415974,0.0029904962497435635
1726,-0.8332809858961998,0.002749654809470326
1727,-0.8096572867662839,0.004532276464166769
1728,-0.4850624798493712,0.15531149741601874
1729,-0.40819514596547923,0.24157125355093906
1730,-0.4730155250010362,0.16736695688166256
1731,-0.6501593958374259,0.041831385855903375
1732,-0.6390115263763828,0.046701704691059484
1733,-0.6231275310340942,0.054274108973925185
1734,-0.645544137063616,0.043804183912220615
1735,-0.6747489945591477,0.032321056181027916
1736,-0.8122855992594685,0.004301624705574826
1737,-0.8041361237582484,0.005045384681950662
1738,-0.9514215078788678,2.2972564309782465e-05
1739,-0.9463303434660304,3.4012986828623916e-05
1740,-0.9296776684033835,9.822513446421825e-05
1741,-0.8907669218650922,0.0005448790565180275
1742,-0.8960861408638194,0.0004492226185892546
1743,-0.8952143423137985,0.0004639837460136668
1744,-0.7461619197425958,0.013194916680166743
1745,-0.701694944271542,0.02371793956454909
1746,-0.40383816746248474,0.24712296845831244
1747,-0.5407736479827436,0.10652066923649772
1748,-0.6097742077989785,0.06123609723640096
1749,-0.29507603226138207,0.4078477134156441
1750,-0.3709200811785741,0.2913311675990769
1751,-0.4273049822586353,0.21805733609174116
1752,-0.45108039131316224,0.19071280085647804
1753,-0.45967887541022834,0.18134622318541108
1754,-0.5045952242010261,0.13691150478943373
