category,pre_industrial_avg,transition_avg,early_industrial_avg,late_industrial_avg,pct_vs_pre_transition,pct_vs_pre_early_industrial,pct_vs_pre_late_industrial
administrative,112.15445626858059,254.0812450974274,581.4045547494956,1002.6263835512857,126.54583112504176,418.39630282472564,793.9692785369649
charitable,8.00506870339251,12.166280998762163,36.987907114032204,69.30257137034133,51.98221838628507,362.056085769219,765.7336237597964
domestic,74.37097168052826,46.530575214469906,130.63420682799907,597.2166852420131,-37.43449337417693,75.65214474964512,703.0239107369038
ecclesiastical,117.39780167961263,166.41721978039413,229.22235724212274,163.4939917120014,41.75497104669742,95.25268272713289,39.26495161995342
educational,13.523492692613193,29.760160851540338,65.63289840902539,1457.4174018144195,120.06268297683145,385.32505544869645,10676.930449413343
financial,124.23696662864162,339.96549255893086,291.52480087805463,2811.142442864171,173.64278264707335,134.6522205016928,2162.726239338243
land_rent,6.761025483103761,11.572317111185153,142.31096864807046,59.694228225466254,71.1621578724281,2004.872537512464,782.9167760814685
maintenance,69.0711192398569,140.60879425891113,505.2829465149454,700.6320617195598,103.5710378032705,631.5401170209736,914.3632670646897
other,68.5802438862847,415.39196451851643,1818.763731714891,582.3461772807725,505.7020812105778,2552.022840179231,749.1456785227842
salary_stipend,134.96353149691942,599.5656414555962,710.1321055293431,1583.585172814183,344.2427037923807,426.16591878788546,1073.3430173693466
