era,category,modernity_score
early_industrial,administrative,0.681039197812215
early_industrial,charitable,0.8221311475409836
early_industrial,domestic,0.6783236994219652
early_industrial,ecclesiastical,0.8108771929824561
early_industrial,educational,0.7647826086956521
early_industrial,financial,0.7617187499999999
early_industrial,land_rent,0.7877796901893287
early_industrial,maintenance,0.6047945205479451
early_industrial,other,0.6770114942528735
early_industrial,salary_stipend,0.7777316735822959
late_industrial,administrative,0.6615183246073297
late_industrial,charitable,0.7103286384976525
late_industrial,domestic,0.6225694444444445
late_industrial,ecclesiastical,0.7791139240506328
late_industrial,educational,0.736127744510978
late_industrial,financial,0.7222402597402597
late_industrial,land_rent,0.8328125
late_industrial,maintenance,0.605635838150289
late_industrial,other,0.618978102189781
late_industrial,salary_stipend,0.7093306288032453
pre_industrial,administrative,0.6348190476190476
pre_industrial,charitable,0.61340206185567
pre_industrial,domestic,0.6348884381338741
pre_industrial,ecclesiastical,0.8046983449012279
pre_industrial,educational,0.6599999999999998
pre_industrial,financial,0.7213349225268175
pre_industrial,land_rent,0.7900993452246557
pre_industrial,maintenance,0.5979969183359014
pre_industrial,other,0.6307692307692306
pre_industrial,salary_stipend,0.7799638989169675
transition,administrative,0.6636235294117645
transition,charitable,0.6647540983606557
transition,domestic,0.6248081841432225
transition,ecclesiastical,0.8302430243024304
transition,educational,0.6943089430894309
transition,financial,0.8054857142857142
transition,land_rent,0.7964431934493347
transition,maintenance,0.6045112781954886
transition,other,0.6857142857142857
transition,salary_stipend,0.8342105263157894
