year,land_arrears_rate,land_amount_share,land_income_share,stress_index
1700,0.25607729067109913,0.48092729375769744,0.49433411308944547,0.12658774036624593
1701,0.025167785234899338,0.032459565986992615,0.7141601475691336,0.017973829217343973
1702,0.3299365185432676,0.40017113956688954,0.46887752273268857,0.15469981747361508
1703,0.5864088005677784,0.8736018952268316,0.39794918815865016,0.2333609061150352
1704,0.284787942516649,0.44914266835475175,0.5992719170889611,0.1706654162757731
1705,0.6210542929292927,0.8165956003128999,0.7158794349197564,0.44459999627671093
1706,0.5658143939393937,0.7923303039309917,0.8130660905441727,0.46004449725392327
1707,0.15452723020380887,0.6239583243187063,0.4985530713842398,0.07704002523060839
1708,0.5139699749791494,0.8901842589347851,0.6201586397830893,0.3187429205724177
1709,0.6537708129285015,0.7986356165288356,0.4870232235874105,0.3184015687998007
1710,0.35667646098596145,0.6473583079765853,0.6439188460033014,0.22967069515462185
1711,0.019424131627056675,0.00599512666871163,0.6856455275854054,0.013318068977321634
1712,0.9270172257479601,0.9532590971929297,0.9372533615481221,0.8688500110452899
1713,0.09703196347031964,0.41190699133206476,0.23497291274048962,0.022799883085549793
1714,0.4436728395061726,0.8195185537416723,0.44671708335257193,0.19819623682695117
1715,0.9913079470198678,0.9804716502230061,0.9791720285737909,0.970661013424764
1716,0.5913607507590395,0.7585711917369167,0.6407340501224501,0.37890496891729214
1717,0.6199521387974872,0.723109373223603,0.8682155677223601,0.5382520981467518
1718,0.6762941919191917,0.9590913918034473,0.8340034033740761,0.5640316577427265
1719,0.3306062231759657,0.45914918977191743,0.8306643759666632,0.2746228120651589
1720,0.611223897911833,0.8548151030034844,0.8359350132510538,0.5109434572002889
1721,0.6116095953122139,0.879223633700819,0.6406605632176968,0.3918341478020706
1722,0.6116095953122139,0.8792236337008194,0.6406605632176968,0.3918341478020706
1723,0.6616738727609637,0.9608119488333055,0.7961027813741796,0.5267604104676281
1724,0.39188397304424266,0.8115380727436379,0.9702470299784384,0.38022426094232686
1725,0.3812415654520918,0.8462586722524026,0.761373788458771,0.29026733500621166
1726,0.6189596361569074,0.5222161315668596,0.7492494408682501,0.46375516131057837
1727,0.3200996191034281,0.30462897227465424,0.6367703192904017,0.2038299366612259
1728,0.32700116009280744,0.2576134987008312,0.8462352726111253,0.27671991585529115
1729,0.22867998874190829,0.1866314479652136,0.6393988066374419,0.1462177119034398
1730,0.6707582011731481,0.9188102403558887,0.5184508312689233,0.34775514697866633
1731,0.8558458813108943,0.8633179443266592,0.5938935318079359,0.5082813331350026
1732,0.9578092243186584,0.7931727624394753,0.8388227050566581,0.8034321244711965
1733,0.8975847654435671,0.9574045377953391,0.766739148804723,0.6882133790362877
1734,0.8462681638044914,0.8781377419042198,0.7361353390586796,0.6229679016967855
1735,0.8941430628900626,0.9548093676951454,0.6507753212015358,0.5818862389524055
1736,0.8512340036563073,0.9296199297315032,0.787768007561315,0.6705749150287703
1737,0.9094238281250001,0.9288807182148432,0.5259246551628015,0.47828841320347554
1738,0.5948832588176851,0.5652405907863094,0.7680631084197789,0.45690788491439904
1739,0.8813283790060381,0.9239627740909035,0.7335067155645845,0.6464602846185783
1740,0.8949856144677353,0.9422244749309391,0.4176506659801037,0.373791337925062
1741,0.8850652271704905,0.9373352308989277,0.655401005776978,0.580072640065769
1742,0.7183069224353629,0.7895795866982989,0.5072830238185329,0.3643849076427952
1743,0.45803782505910157,0.7135979268104314,0.780161660257695,0.3573435500589323
1744,0.8000399520575309,0.8369669486988,0.7234631428670254,0.5787994181347256
1745,0.7942868886148787,0.8197012909306663,0.2742030735324546,0.21779590612473015
1746,0.6649640559969728,0.8170685397320333,0.732483654932166,0.4870753021351802
1747,0.6504315659679408,0.7533474847250237,0.7092954451362026,0.4613481471138679
1748,0.8653846153846156,0.9115488466089035,0.6676885280789236,0.5778073800682995
1749,0.6015429524603837,0.7522779414711308,0.46327749278341923,0.2786813108173821
1750,0.9626103111936832,0.9571753508036466,0.5681788858061663,0.5469348540795539
1751,0.9052835051546387,0.9779064528223854,0.7910494682764287,0.7161240353919986
1752,0.9165542060278904,0.9776566906490783,0.5740716591233314,0.5261677937308987
1753,0.995420846053205,0.9928905066458652,0.4357643108777074,0.43376887901367933
1754,0.7381127902690748,0.930188895333596,0.5606173216640645,0.4137988155666381
1755,0.7275690184049076,0.8950203410821614,0.7054430489223357,0.513258506644989
1756,0.7512772875058059,0.9061019866349384,0.4470210018315904,0.3358367257141651
1757,0.7933269323091697,0.6896596584583221,0.42449176777339515,0.33676075191816407
1758,0.8733100741386826,0.9426024682704094,0.32904005078796317,0.287353991148232
1759,0.8596539412249381,0.8167277978341908,0.3335433619163806,0.28673186564083253
1760,0.8596539412249381,0.8167277978341908,0.3335433619163806,0.28673186564083253
1761,0.5585407239819006,0.7194346820461143,0.24852066903331788,0.13880891440633567
1762,0.6537389688806318,0.6121148862779043,0.320667963548111,0.2096331438429941
1763,0.7214355468750001,0.7978031359486938,0.3371903286020185,0.2432610891159582
1764,0.7008414526129316,0.7153331754189597,0.5056119701550602,0.3543538276219586
1765,0.3011877828054299,0.2315742463501094,0.6650720421597708,0.20031157378398076
1766,0.34260642270351016,0.18281850553345727,0.5419310890827093,0.18566907178244432
1767,0.5463539350822587,0.4640298990675349,0.6687970852882659,0.36539991931878907
1768,0.8030046550994498,0.6589544739940398,0.6488247122008164,0.5210092642408164
1769,0.41666666666666674,0.23702956032383982,0.5412741899194299,0.22553091246642915
1770,0.7692307692307693,0.6219633826676625,0.3962318135648989,0.30479370274222994
1771,0.536,0.4962826454289212,0.3266493502062887,0.17508405171057076
