unit,unit_id,year_ref,cluster
page,1728_4_image,1728,2
page,1728_5_image,1728,2
page,1728_6_image,1728,3
page,1729_1_image,1729,7
page,1729_2_image,1729,7
page,1729_3_image,1729,3
page,1729_4_image,1729,2
page,1729_5_image,1729,2
page,1729_6_image,1729,3
page,1730_1_image,1730,7
page,1730_2_image,1730,2
page,1730_3_image,1730,3
page,1730_4_image,1730,2
page,1730_5_image,1730,2
page,1730_6_image,1730,2
page,1730_7_image,1730,2
page,1730_8_image,1730,7
page,1730_9_image,1730,3
page,1731_1_image,1731,3
page,1731_2_image,1731,2
page,1731_3_image,1731,2
page,1731_4_image,1731,2
page,1731_5_image,1731,2
page,1731_6_image,1731,2
page,1731_7_image,1731,7
page,1732_1_image,1732,2
page,1732_2_image,1732,2
page,1732_3_image,1732,2
page,1732_4_image,1732,2
page,1732_5_image,1732,2
page,1732_6_image,1732,2
page,1732_7_image,1732,7
page,1733_1_image,1733,2
page,1733_2_image,1733,2
page,1733_3_image,1733,7
page,1733_4_image,1733,2
page,1733_5_image,1733,3
page,1733_6_image,1733,7
page,1734_1_image,1734,2
page,1734_2_image,1734,3
page,1734_3_image,1734,7
page,1734_4_image,1734,7
page,1734_5_image,1734,7
page,1735_1_image,1735,2
page,1735_2_image,1735,2
page,1735_3_image,1735,2
page,1735_4_image,1735,7
page,1735_5_image,1735,3
page,1736_1_image,1736,7
page,1736_2_image,1736,2
page,1736_3_image,1736,2
page,1736_4_image,1736,7
page,1736_5_image,1736,2
page,1737_1_image,1737,7
page,1737_2_image,1737,2
page,1737_3_image,1737,2
page,1737_4_image,1737,2
page,1737_5_image,1737,7
page,1738_1_image,1738,7
page,1738_2_image,1738,2
page,1738_3_image,1738,2
page,1738_5_image,1738,7
page,1739_1_image,1739,2
page,1739_2_image,1739,2
page,1739_3_image,1739,2
page,1739_4_image,1739,2
page,1739_5_image,1739,7
page,1739_6_image,1739,7
page,1740_1_image,1740,2
page,1740_2_image,1740,2
page,1740_3_image,1740,2
page,1740_4_image,1740,2
page,1740_5_image,1740,7
page,1741_1_image,1741,2
page,1741_2_image,1741,2
page,1741_3_image,1741,2
page,1741_4_image,1741,2
page,1741_5_image,1741,7
page,1742_1_image,1742,7
page,1742_2_image,1742,2
page,1742_3_image,1742,2
page,1742_4_image,1742,2
page,1742_5_image,1742,7
page,1743_1_image,1743,7
page,1743_2_image,1743,2
page,1743_3_image,1743,2
page,1743_4_image,1743,2
page,1743_5_image,1743,3
