year,category,amount_real_w,total,share
1700,administrative,3.519107142857143,1708.0724851190478,0.002060279744282557
1700,domestic,9.0,1708.0724851190478,0.005269097230011715
1700,ecclesiastical,6.195684523809524,1708.0724851190478,0.003627296018047912
1700,educational,192.7485119047619,1708.0724851190478,0.11284562779625121
1700,financial,652.2265773809524,1708.0724851190478,0.3818494724686664
1700,land_rent,844.3584970238095,1708.0724851190478,0.49433411308944547
1700,other,0.024107142857142855,1708.0724851190478,1.4113653294674234e-05
1701,administrative,3.506134445409129,107.24443072536377,0.032692927937561546
1701,ecclesiastical,22.959691996754863,107.24443072536377,0.21408749938307794
1701,educational,0.3659080449954217,107.24443072536377,0.0034119071966772336
1701,financial,3.7989794901720777,107.24443072536377,0.03542355966157973
1701,land_rent,76.58969847279351,107.24443072536377,0.7141601475691336
1701,other,0.024018275238759445,107.24443072536377,0.00022395825196989944
1702,administrative,4.523135936923907,1254.5947340868054,0.0036052565932505752
1702,domestic,0.12408179471907883,1254.5947340868054,9.890189345437953e-05
1702,ecclesiastical,91.3850600792233,1254.5947340868054,0.07284030260635573
1702,educational,70.99915978899006,1254.5947340868054,0.056591310213547914
1702,financial,479.426736199741,1254.5947340868054,0.3821367356118438
1702,land_rent,588.2512709520975,1254.5947340868054,0.46887752273268857
1702,maintenance,19.86135927470055,1254.5947340868054,0.015830896412264348
1702,other,0.023930060410108058,1254.5947340868054,1.9073936594773192e-05
1703,administrative,3.4804738827585235,1307.7636008166496,0.002661393756933667
1703,charitable,0.0,1307.7636008166496,0.0
1703,domestic,0.11950680776711833,1307.7636008166496,9.138257686059682e-05
1703,ecclesiastical,138.95227263093943,1307.7636008166496,0.10625182758119962
1703,educational,0.5692762714817903,1307.7636008166496,0.0004353051813999858
1703,financial,644.1947654840792,1307.7636008166496,0.49259267124563155
1703,land_rent,520.4234632484188,1307.7636008166496,0.39794918815865016
1703,other,0.02384249120476991,1307.7636008166496,1.823149932440478e-05
1704,administrative,3.467783940537192,627.0853716190851,0.005530002927007604
1704,domestic,0.49270792274339764,627.0853716190851,0.0007857110770599935
1704,ecclesiastical,101.34474069485894,627.0853716190851,0.1616123502182722
1704,educational,0.36190570039604325,627.0853716190851,0.0005771234935071619
1704,financial,94.05847035306041,627.0853716190851,0.14999308644404963
1704,land_rent,375.7946528286127,627.0853716190851,0.5992719170889611
1704,other,51.56511017887643,627.0853716190851,0.0822298087511424
1705,administrative,3.4551861981906162,871.2164393248709,0.0039659331966556246
1705,domestic,7.241040746195386,871.2164393248709,0.008311414270151588
1705,ecclesiastical,64.96364868971644,871.2164393248709,0.07456660108486764
1705,educational,16.069967505902707,871.2164393248709,0.018445436496074108
1705,financial,152.34056852981743,871.2164393248709,0.17485961197870675
1705,land_rent,623.6859322766908,871.2164393248709,0.7158794349197564
1705,other,3.460095378357529,871.2164393248709,0.0039715680537879315
1706,administrative,3.442679654526651,756.8363432978357,0.004548776872322928
1706,domestic,0.0,756.8363432978357,0.0
1706,ecclesiastical,63.28146108766339,756.8363432978357,0.08361313730247281
1706,educational,48.45102416822726,756.8363432978357,0.0640178350277247
1706,financial,26.279627973278924,756.8363432978357,0.03472299950444792
1706,land_rent,615.3579668269186,756.8363432978357,0.8130660905441727
1706,other,0.023583587220840203,756.8363432978357,3.116074885896358e-05
1707,administrative,3.4302633227967076,1065.337534638575,0.003219884037935877
1707,ecclesiastical,436.68959078904004,1065.337534638575,0.4099072609294581
1707,educational,3.5919390175409274,1065.337534638575,0.0033716441041003247
1707,financial,61.23232678391563,1065.337534638575,0.05747692613185663
1707,land_rent,531.1272999549756,1065.337534638575,0.4985530713842398
1707,other,29.26611477030621,1065.337534638575,0.027471213412409233
1708,administrative,3.41793623043623,974.438481079106,0.003507595704401126
1708,domestic,0.0,974.438481079106,0.0
1708,ecclesiastical,280.1025652588152,974.438481079106,0.2874502297452641
1708,educational,34.35048747548747,974.438481079106,0.0352515711791752
1708,financial,52.23763505013504,974.438481079106,0.05360793530268467
1708,land_rent,604.3064429783179,974.438481079106,0.6201586397830893
1708,other,0.02341408591408591,974.438481079106,2.4028285385606735e-05
1709,administrative,3.405697418810745,1588.0024211610514,0.002144642459877804
1709,domestic,5.77437981870383,1588.0024211610514,0.0036362537876245505
1709,ecclesiastical,96.65922403026828,1588.0024211610514,0.06086843618260789
1709,educational,657.8484098565392,1588.0024211610514,0.41426159122324274
1709,financial,50.89732157258529,1588.0024211610514,0.032051161191160055
1709,land_rent,773.394058218468,1588.0024211610514,0.4870232235874105
1709,other,0.023330245676127803,1588.0024211610514,1.4691568076495838e-05
1710,administrative,3.393545942967351,1159.9401174404188,0.002925621669552836
1710,charitable,0.0,1159.9401174404188,0.0
1710,domestic,7.9556412729026045,1159.9401174404188,0.006858665506334858
1710,ecclesiastical,168.23655691784913,1159.9401174404188,0.14503900191769228
1710,educational,15.54220048675208,1159.9401174404188,0.013399140397909737
1710,financial,217.88162396105983,1159.9401174404188,0.18783868295015796
1710,land_rent,746.9073018551684,1159.9401174404188,0.6439188460033014
1710,other,0.023247003719520595,1159.9401174404188,2.0041555050978476e-05
1711,administrative,3.401418077379801,588.0479026861082,0.005784253394736501
1711,ecclesiastical,107.00880487513001,588.0479026861082,0.18197293857580482
1711,educational,43.12915964762088,588.0479026861082,0.07334293592514117
1711,financial,30.89409985915881,588.0479026861082,0.05253670613914196
1711,land_rent,403.19241448270776,588.0479026861082,0.6856455275854054
1711,other,0.42200574411090547,588.0479026861082,0.0007176383797701703
1712,administrative,12.503979018462644,284.95424993771974,0.04388065460050356
1712,domestic,0.0,284.95424993771974,0.0
1712,ecclesiastical,1.3026960445096465,284.95424993771974,0.004571597176720006
1712,educational,0.35580498426846036,284.95424993771974,0.001248638980981073
1712,financial,3.6940861405596923,284.95424993771974,0.012963786788114514
1712,land_rent,267.0743286415516,284.95424993771974,0.9372533615481221
1712,other,0.023355108367702822,284.95424993771974,8.19609055587252e-05
1713,administrative,3.417272424603945,201.48490171461864,0.01696043919679966
1713,domestic,0.0,201.48490171461864,0.0
1713,ecclesiastical,82.17499468227766,201.48490171461864,0.40784691052766603
1713,educational,30.823715192039135,201.48490171461864,0.15298275419017532
1713,financial,37.70201564797603,201.48490171461864,0.18712079826892847
1713,land_rent,47.343494229115215,201.48490171461864,0.23497291274048962
1713,other,0.023409538606664258,201.48490171461864,0.00011618507594093235
1714,administrative,3.425255151700548,225.5456590607822,0.015186526603810528
1714,ecclesiastical,85.0071145842024,225.5456590607822,0.37689536982529054
1714,educational,30.5307201720478,225.5456590607822,0.13536381191810076
1714,financial,5.8040059512222255,225.5456590607822,0.02573317516014842
1714,land_rent,100.75509897846622,225.5456590607822,0.44671708335257193
1714,other,0.023464223143024,225.5456590607822,0.00010403314007786174
1715,administrative,3.433275261324042,410.7119773519164,0.008359325879562207
1715,ecclesiastical,1.019163763066202,410.7119773519164,0.002481456152404674
1715,educational,0.3583042973286876,410.7119773519164,0.0008723979749479682
1715,financial,3.720034843205575,410.7119773519164,0.009057527046546497
1715,land_rent,402.15768002322886,410.7119773519164,0.9791720285737909
1715,other,0.023519163763066203,410.7119773519164,5.7264372747800175e-05
1716,administrative,15.754717200786045,1224.7086528969107,0.01286405314726897
1716,domestic,5.867396831605711,1224.7086528969107,0.00479085112832921
1716,ecclesiastical,79.45316792862266,1224.7086528969107,0.06487515846375799
1716,educational,10.252228213796766,1224.7086528969107,0.008371156837625236
1716,financial,275.0072469335866,1224.7086528969107,0.22454911728033264
1716,land_rent,784.7125353906475,1224.7086528969107,0.6407340501224501
1716,other,53.66136039786538,1224.7086528969107,0.043815613020235844
1717,administrative,47.65032066541575,949.5060054751169,0.05018432784063575
1717,domestic,0.09801999607920016,949.5060054751169,0.00010323262361058222
1717,ecclesiastical,23.56855798582911,949.5060054751169,0.024821915659223027
1717,educational,8.201589790984027,949.5060054751169,0.008637743988654488
1717,financial,13.539537065561374,949.5060054751169,0.014259559168123867
1717,land_rent,824.375895599369,949.5060054751169,0.8682155677223601
1717,other,32.07208437187853,949.5060054751169,0.03377765299739226
1718,administrative,3.4575625298262356,765.2192900888002,0.004518394366959831
1718,domestic,0.12281391235999213,765.2192900888002,0.00016049505540528144
1718,ecclesiastical,111.45245581038468,765.2192900888002,0.14564773425595573
1718,educational,8.220929362116236,765.2192900888002,0.010743233303962102
1718,financial,3.746350672318446,765.2192900888002,0.004895787025812821
1718,land_rent,638.1954922615538,765.2192900888002,0.8340034033740761
1718,other,0.023685540240855625,765.2192900888002,3.0952617828161425e-05
1719,administrative,3.465734826528603,812.1097450453493,0.004267569559007166
1719,domestic,0.2462083907819579,812.1097450453493,0.00030317132910184357
1719,ecclesiastical,4.968133599707365,812.1097450453493,0.006117564319376487
1719,educational,22.766655411425948,812.1097450453493,0.02803396406744833
1719,financial,25.42975088400537,812.1097450453493,0.03131319509358349
1719,land_rent,674.590634584541,812.1097450453493,0.8306643759666632
1719,other,80.6426273483591,812.1097450453493,0.09930015966481957
1720,administrative,3.473945846848118,835.2835901142294,0.004159001670765539
1720,domestic,6.16979269496545,835.2835901142294,0.007386464630679143
1720,ecclesiastical,4.979904103793542,835.2835901142294,0.005961932166191023
1720,educational,17.267780754947587,835.2835901142294,0.020672955819215997
1720,financial,102.48078550274998,835.2835901142294,0.12268981064112035
1720,land_rent,698.2427989705261,835.2835901142294,0.8359350132510538
1720,other,2.6685822403986275,835.2835901142294,0.0031948218209742214
1721,administrative,51.79459578519561,914.1659472652086,0.05665776103358779
1721,domestic,0.06217049636924301,914.1659472652086,6.800788910944495e-05
1721,ecclesiastical,185.6155678475508,914.1659472652086,0.2030436250692041
1721,educational,40.15288909257127,914.1659472652086,0.043922976143107764
1721,financial,50.84667334555427,914.1659472652086,0.055620835032923345
1721,land_rent,585.6700706493679,914.1659472652086,0.6406605632176968
1721,other,0.02398004859956516,914.1659472652086,2.6231614370785908e-05
1722,administrative,52.194373639592165,921.2219594884867,0.05665776103358778
1722,domestic,0.06265036086607859,921.2219594884867,6.800788910944494e-05
1722,ecclesiastical,187.04824614789783,921.2219594884867,0.2030436250692041
1722,educational,40.4628101491198,921.2219594884867,0.04392297614310777
1722,financial,51.23913463741551,921.2219594884867,0.055620835032923345
1722,land_rent,590.1905794144042,921.2219594884867,0.6406605632176968
1722,other,0.02416513919120174,921.2219594884867,2.6231614370785908e-05
1723,administrative,7.353797160848377,1083.8032731781468,0.006785177109941815
1723,domestic,0.12627538135165167,1083.8032731781468,0.00011651134894745381
1723,ecclesiastical,67.86339649507646,1083.8032731781468,0.06261597300409852
1723,educational,4.916922825297409,1083.8032731781468,0.004536730001634904
1723,financial,137.99322562644613,1083.8032731781468,0.12732313053622224
1723,land_rent,862.8188002395624,1083.8032731781468,0.7961027813741796
1723,other,2.73085544956441,1083.8032731781468,0.002519696624975531
1724,administrative,11.912397824126597,883.8328345744733,0.01347811187605617
1724,domestic,0.1272653227448585,883.8328345744733,0.00014399252637647386
