year,modern_real,total_real,modern_function_share,era,mfs_10yr,ci_lo,ci_hi
1700,120.4940029761905,1107.472589285714,0.10880088964902097,pre_industrial,0.12404215388942434,0.05232962309331084,0.21431236720001234
1701,43.3118740422342,440.8809132400594,0.09823939467901373,pre_industrial,0.14471948284027222,0.030480523198464393,0.25360876483687456
1702,151.51446261947302,787.7949896953025,0.1923272737213963,pre_industrial,0.1886000423976907,0.0844889405402018,0.376663713348295
1703,136.0299043710056,982.6011333719524,0.13843857873865595,pre_industrial,0.20356380030515475,0.0446157414874578,0.4332036266820483
1704,18.593814521275593,225.6404029881562,0.08240463265903482,pre_industrial,0.1957943788330489,0.04622201492462201,0.15250337414971102
1705,124.8304725670337,503.13337190546326,0.24810612759451153,pre_industrial,0.18679966463287304,0.12593728471935076,0.41785338284795426
1706,114.60498073715888,253.61626650268795,0.45188339974220165,pre_industrial,0.20577518510089968,0.16955153087627137,0.7131595314632728
1707,76.95909573011387,249.61587154600605,0.3083101056574031,pre_industrial,0.21067778207321225,0.1316266137047472,0.526142489115769
1708,24.65990317552817,184.52623765123764,0.1336390070562021,pre_industrial,0.22576718506702997,0.06402585800471983,0.26086918817791005
1709,35.08807023728876,331.49727180139456,0.10584723683129012,pre_industrial,0.23877898335365538,0.03224282971098974,0.23724283684894978
1710,211.28580325572852,707.6921465307435,0.2985560943292874,pre_industrial,0.2361703369978795,0.12981659049380317,0.577790506088049
1711,54.407342267082726,369.45104158036685,0.14726536440213953,pre_industrial,0.23909162195296893,0.014079484332082424,0.30737609771019
1712,90.93667536284038,264.9505563705816,0.3432213036595737,pre_industrial,0.22633200379768784,0.14408357678493694,0.6170281646939675
1713,98.53677378409122,366.91255352403147,0.26855656160490954,pre_industrial,0.2147182604960079,0.11222194952871348,0.47445193112486417
1714,4.029429929456697,71.54760166671302,0.05631816910127623,pre_industrial,0.21783717434660205,0.01707592332386557,0.26317322603262444
1715,11.84374274099884,42.70801393728223,0.2773189771454057,pre_industrial,0.21274628189626577,0.043886651878859394,0.5747930292138493
1716,120.60173705214532,371.897904966798,0.3242872181893907,pre_industrial,0.21385194026137108,0.1404649366496848,0.49907904640364037
