era,term,relative_freq
industrial_1760_1840,added,0.0
post_1840,added,7.071135624381275e-05
pre_1760,addit,4.822879741493646e-05
industrial_1760_1840,addit,0.0
post_1840,addit,7.071135624381275e-05
pre_1760,addition,4.822879741493646e-05
industrial_1760_1840,addition,1.2236307571827126e-05
post_1840,addition,7.071135624381275e-05
pre_1760,additional,0.0
industrial_1760_1840,additional,0.00011012676814644413
post_1840,additional,7.071135624381275e-05
pre_1760,adfest,2.411439870746823e-05
industrial_1760_1840,adfest,4.89452302873085e-05
post_1840,adfest,0.0
pre_1760,adi,0.0
industrial_1760_1840,adi,3.6708922715481375e-05
post_1840,adi,3.5355678121906375e-05
pre_1760,adif,4.822879741493646e-05
industrial_1760_1840,adif,3.6708922715481375e-05
post_1840,adif,0.0002474897468533447
pre_1760,adif janitori,0.0
industrial_1760_1840,adif janitori,2.447261514365425e-05
post_1840,adif janitori,7.071135624381275e-05
pre_1760,adificiorum,0.0
industrial_1760_1840,adificiorum,2.447261514365425e-05
post_1840,adificiorum,3.5355678121906375e-05
pre_1760,adin,0.0
industrial_1760_1840,adin,2.447261514365425e-05
post_1840,adin,7.071135624381275e-05
pre_1760,adir,0.0
industrial_1760_1840,adir,4.89452302873085e-05
post_1840,adir,7.071135624381275e-05
pre_1760,adis,0.00012057199353734115
industrial_1760_1840,adis,0.0003303803044393324
post_1840,adis,0.0007071135624381275
pre_1760,adis christi,0.0
industrial_1760_1840,adis christi,2.447261514365425e-05
post_1840,adis christi,3.5355678121906375e-05
pre_1760,adis xt,2.411439870746823e-05
industrial_1760_1840,adis xt,4.89452302873085e-05
post_1840,adis xt,0.0
pre_1760,adis xti,0.0
industrial_1760_1840,adis xti,0.00011012676814644413
post_1840,adis xti,7.071135624381275e-05
pre_1760,adis yt,4.822879741493646e-05
industrial_1760_1840,adis yt,2.447261514365425e-05
post_1840,adis yt,0.0
pre_1760,adj,0.0
industrial_1760_1840,adj,2.447261514365425e-05
post_1840,adj,3.5355678121906375e-05
pre_1760,admich,2.411439870746823e-05
industrial_1760_1840,admich,2.447261514365425e-05
post_1840,admich,0.0
pre_1760,admission,2.411439870746823e-05
industrial_1760_1840,admission,0.0
post_1840,admission,0.0006717578843162212
pre_1760,adv,4.822879741493646e-05
industrial_1760_1840,adv,2.447261514365425e-05
post_1840,adv,0.00010606703436571913
pre_1760,advanced,2.411439870746823e-05
industrial_1760_1840,advanced,0.00031814399686750527
post_1840,advanced,0.0004949794937066893
pre_1760,advanced domus,0.0
industrial_1760_1840,advanced domus,2.447261514365425e-05
post_1840,advanced domus,0.00010606703436571913
pre_1760,advanced mr,0.0
industrial_1760_1840,advanced mr,3.6708922715481375e-05
post_1840,advanced mr,3.5355678121906375e-05
pre_1760,advertisement,0.0
industrial_1760_1840,advertisement,6.118153785913563e-05
post_1840,advertisement,7.071135624381275e-05
pre_1760,advertisements,2.411439870746823e-05
industrial_1760_1840,advertisements,0.00015907199843375264
post_1840,advertisements,7.071135624381275e-05
pre_1760,advertising,2.411439870746823e-05
industrial_1760_1840,advertising,2.447261514365425e-05
post_1840,advertising,0.00010606703436571913
pre_1760,advice,9.645759482987291e-05
