year,rank,term,tfidf
1710,7,southnewington,0.11400804715466067
1710,8,ann,0.09217041279511415
1710,9,mr verman,0.08491877478337205
1710,10,scholars,0.08369086541476395
1710,11,et,0.08206992308984483
1710,12,verman,0.08200428089084784
1710,13,et dimid,0.08080429000753832
1710,14,warner,0.07736247440613969
1710,15,cudl southn,0.07725273281367617
1711,1,pro,0.42729726550338265
1711,2,anno,0.3971369780074774
1711,3,pro anno,0.23894082765233252
1711,4,pro biennio,0.19025574791894137
1711,5,biennio,0.1859391520314716
1711,6,mr,0.16201714934567343
1711,7,hilliard,0.1554385375245568
1711,8,cadlington,0.13600574431977142
1711,9,hutching,0.13334930801763442
1711,10,et,0.12384832570201297
1711,11,pro mic,0.11508091944587563
1711,12,consent,0.11226170907214349
1711,13,collegio,0.09843322249051557
1711,14,ann,0.09272703790597125
1711,15,pro augm,0.08727654717347103
1712,1,pro,0.5548602110104223
1712,2,anno,0.29290630301476556
1712,3,pro anno,0.25894955597093944
1712,4,ye,0.2347786583020076
1712,5,cudlington,0.16362691551353073
1712,6,mr,0.15477434916664667
1712,7,annis,0.14833101311433453
1712,8,suma,0.14402202301563596
1712,9,stipond,0.12468628762241715
1712,10,pro mic,0.12125332974010801
1712,11,mic,0.11748003540124256
1712,12,rod,0.10109793745767355
1712,13,morton,0.09718475256257027
1712,14,quitrents,0.07906169968255657
1712,15,south,0.07858390455963216
1713,1,pro,0.49003070982976965
1713,2,mr,0.27858398955645397
1713,3,pro anno,0.26979920221365583
1713,4,anno,0.2615817363030143
1713,5,nic,0.24043971942163803
1713,6,ye,0.20084226213968054
1713,7,ann,0.16531959703694435
1713,8,cudlington,0.09229136932450877
1713,9,pro biennio,0.0879407192741164
1713,10,mr hutchins,0.08650562865977761
1713,11,biennio,0.08594548627163433
1713,12,ladyday,0.08333582816340328
1713,13,hutchins,0.08189670622698644
1713,14,omnium,0.07442344265183196
1713,15,hutchins ye,0.07396465561780155
1714,1,pro,0.4964054181651924
1714,2,mic,0.33962001277895515
1714,3,pro mic,0.31407320657200066
1714,4,anno,0.3048319072422518
1714,5,pro anno,0.2794738281913163
1714,6,ye,0.2280484365015939
1714,7,mr,0.18423719392286148
1714,8,ann,0.11749496960383089
1714,9,pro biennio,0.11538592555448586
1714,10,biennio,0.11276800511229985
1714,11,item,0.08806279821359835
1714,12,hilliard,0.07954035757013599
1714,13,adams,0.07093935061433312
1714,14,mr hutchins,0.07093935061433312
1714,15,ye cook,0.06959629000033564
1715,1,pro,0.5103946059576467
1715,2,pro mic,0.2889803692783194
1715,3,anno,0.28809530709089537
1715,4,pro anno,0.2742883239003495
1715,5,ye,0.2611199569482187
1715,6,mic,0.21332385572364512
1715,7,mr,0.19528426101330928
1715,8,pro biennio,0.1415562430606419
1715,9,biennio,0.1383445603476362
1715,10,hutching,0.11905928055800964
1715,11,rec mr,0.10312750991924342
1715,12,ann,0.0975741513882549
1715,13,cudlington,0.09284961801779978
1715,14,summa,0.09015672393790997
1715,15,pd,0.09007376915735275
1716,1,pro,0.549690599710613
1716,2,anno,0.351401529078539
1716,3,pro anno,0.3499426879450854
1716,4,mr,0.23728350358659114
1716,5,pro hic,0.14638186347718937
1716,6,pd,0.14071587946722053
1716,7,hic,0.13861164065991086
1716,8,pro mic,0.12640700632170232
1716,9,consent,0.1027586113369677
1716,10,ann,0.09700294303233482
1716,11,rd,0.09300899223250449
1716,12,summa,0.08873264852818265
1716,13,mic,0.08748095300892836
1716,14,yarrington pro,0.08117567074299223
1716,15,yarrington,0.0733472081057687
1717,1,pro,0.5159968773671516
1717,2,anno,0.5118549718502573
1717,3,pro anno,0.4575433654960713
1717,4,pro hic,0.13740927077373868
1717,5,hic,0.1301153299417989
1717,6,pro biennio,0.1017181948265586
1717,7,biennio,0.09941037313774298
1717,8,et,0.06621417886448125
1717,9,morton,0.06604529387921458
1717,10,summa,0.06478399689169455
1717,11,molineaux,0.061733911127638125
1717,12,mr,0.05939707268822431
1717,13,cudlington,0.05718774186289918
1717,14,south morton,0.05496370830949547
1717,15,rogers,0.05496370830949547
1718,1,pro,0.5377272720618055
1718,2,anno,0.4751308528988884
1718,3,pro anno,0.4503225225757198
1718,4,pro mich,0.129550232423367
1718,5,cudlington,0.10760409367280567
1718,6,yarrington,0.07773013945402019
1718,7,buttry,0.07170913014719857
1718,8,molineaux,0.06969488221821112
1718,9,pro triennio,0.06941725670058937
1718,10,triennio,0.06828165724294921
1718,11,aedis xti,0.06629808699148866
1718,12,codlington,0.06629808699148866
1718,13,coll,0.06211978973425042
1718,14,wood,0.0617015199037914
1718,15,calcot,0.0617015199037914
1719,1,pro,0.532505931898272
1719,2,pro anno,0.3934851916652115
1719,3,anno,0.3934224254123974
1719,4,pd,0.3876507809399006
1719,5,pd mr,0.1345496903351423
1719,6,mr,0.12451044827791928
1719,7,fowell,0.12310187163202493
1719,8,ye,0.12040530323516577
1719,9,pd cook,0.11438642167857278
1719,10,pro sesquianno,0.0780915595418494
1719,11,sesquianno,0.07722138862163147
1719,12,pro biennio,0.07615200946225864
1719,13,biennio,0.07442424326090637
1719,14,ralph marshalls,0.06657453129347371
1719,15,cook,0.06600191231071531
1720,1,pd,0.4735418546595721
1720,2,anno,0.3954184677679661
1720,3,pro,0.3880777903327591
1720,4,pro anno,0.28039024130023305
1720,5,sexquianno,0.1991584087138019
1720,6,pd mr,0.15689063617851037
1720,7,biennio,0.13885091038974293
1720,8,po,0.11607443730453218
1720,9,mr,0.10485543961201191
1720,10,morton,0.10044827220051529
1720,11,pro sexquianno,0.09957920435690094
1720,12,annis,0.09855774865760147
1720,13,codlington,0.09569466322321375
1720,14,pd cook,0.09484758126232003
1720,15,triennio,0.08213145721466791
1721,1,pro,0.5281713712027547
1721,2,pd,0.31018110731916276
1721,3,anno,0.28936099424406014
1721,4,pro anno,0.2754933529281713
1721,5,mr,0.20340672803006876
1721,6,pro biennio,0.18957085485398226
1721,7,biennio,0.1852697980848829
1721,8,ye,0.16651881490734874
1721,9,pd ye,0.1585579261768031
1721,10,pd mr,0.11513718579544699
1721,11,cook,0.09858207834902305
1721,12,seale,0.09576457340143248
1721,13,feff,0.08352777582978949
1721,14,ad feff,0.08352777582978949
1721,15,rec mr,0.08286446344572063
1722,1,pro,0.5281713712027547
1722,2,pd,0.31018110731916276
1722,3,anno,0.28936099424406014
1722,4,pro anno,0.2754933529281713
1722,5,mr,0.20340672803006876
1722,6,pro biennio,0.18957085485398226
1722,7,biennio,0.1852697980848829
1722,8,ye,0.16651881490734874
1722,9,pd ye,0.1585579261768031
1722,10,pd mr,0.11513718579544699
1722,11,cook,0.09858207834902305
1722,12,seale,0.09576457340143248
1722,13,feff,0.08352777582978949
1722,14,ad feff,0.08352777582978949
1722,15,rec mr,0.08286446344572063
1723,1,pro,0.5399648765323383
1723,2,pro anno,0.37999698837676144
1723,3,anno,0.3684231502315335
1723,4,pro biennio,0.17257764329878464
1723,5,biennio,0.16866213507639896
1723,6,mr,0.1683393299594051
1723,7,ye,0.15159199795639416
1723,8,pro triennio,0.1327735572641886
1723,9,cum dimid,0.13122247877862797
1723,10,triennio,0.13060150975345935
1723,11,cook,0.10878198688247198
1723,12,cudlington,0.10290653197914457
1723,13,dimid,0.09958016794814144
1723,14,cum,0.09527571132260476
1723,15,pro hic,0.0890140435753351
1724,1,pd,0.5323755987885098
1724,2,anno,0.36119363568683965
1724,3,pro,0.3587300597713646
1724,4,pro anno,0.25791255835545246
1724,5,cum dimid,0.14843944491995223
1724,6,biennio,0.13875734453027969
1724,7,dd,0.1271308010107986
1724,8,morton,0.1129281573187748
1724,9,cum,0.10777630353210838
1724,10,quadriennio,0.10561784219182928
1724,11,aug,0.09612553610071012
1724,12,blay,0.09534810075809895
1724,13,dimid,0.09387126982637825
1724,14,mie,0.0909809368174331
1724,15,book pd,0.08906366695197133
1725,1,pr,0.7737183903130413
1725,2,pr anno,0.3105325631735724
1725,3,pr mr,0.2017622383141027
1725,4,pr biennio,0.1940828519834828
1725,5,anno,0.13026541991803772
1725,6,misc,0.1163558216196321
1725,7,cudlington,0.10915570255681148
1725,8,ye,0.1023257928995933
1725,9,rd,0.09998812707834598
1725,10,quadriennio,0.09903750545953527
1725,11,chappell,0.08351470943689158
1725,12,biennio,0.0813201928130952
1725,13,mr,0.06802362521651525
1725,14,candles ye,0.06725407943803423
1725,15,book,0.06473657344901375
1726,1,anno,0.49834558677763563
1726,2,pd,0.4208868710226717
1726,3,pro,0.3161820681869237
1726,4,pro anno,0.3154096287687791
1726,5,pd mr,0.22369357989080033
1726,6,pd ye,0.21783769126427716
1726,7,ye,0.19064575255519045
1726,8,feff,0.15938354765087373
1726,9,ad feff,0.15938354765087373
1726,10,ye cook,0.11636332426309383
1726,11,cum,0.10544250843430063
1726,12,mr,0.1035014939080151
1726,13,biggs,0.07773618897733253
1726,14,cook fuel,0.07417569140383728
1726,15,cadlington,0.06981799455785628
1727,1,pro,0.5585251901284121
1727,2,pro annis,0.3449272440271714
1727,3,annis,0.2955109059256674
1727,4,anno,0.2667609196112526
1727,5,pro anno,0.24456985520333097
1727,6,biennio,0.2405427682518868
1727,7,pro biennio,0.17039561020254282
1727,8,alias,0.143990352627003
1727,9,cum,0.0919805984072457
1727,10,pro sexennio,0.0913564322546464
1727,11,sexennio,0.0913564322546464
1727,12,morton,0.08605124644744551
1727,13,buttry,0.08275850692001538
1727,14,cook,0.08204668678209742
1727,15,officiary ad,0.07961962414028244
1728,1,item,0.6607173021415976
1728,2,pr anno,0.3563446110639837
1728,3,pr,0.31787688315205004
1728,4,anno,0.25910409694364783
1728,5,pro,0.22951663947070305
1728,6,pr biennio,0.17817230553199184
1728,7,biennio,0.1493074333125356
1728,8,pro anno,0.1439004694569557
1728,9,alias,0.11296175114234396
1728,10,ye,0.11183013956341332
1728,11,pro biennio,0.07638681010529157
1728,12,pro mich,0.06032243589232208
1728,13,south,0.05614681341502369
1728,14,ralph,0.046872385125262435
1728,15,norton,0.046872385125262435
1729,1,pd,0.50743154657294
1729,2,anno,0.40876745131359954
1729,3,pro,0.32463216911612486
1729,4,alias,0.22824998275296807
1729,5,pro anno,0.21807345853490856
1729,6,pd cook,0.13524076290953582
1729,7,biennio,0.12319004131621875
1729,8,cudlington,0.11811242731363503
1729,9,ye,0.11072209232378857
1729,10,candles ye,0.10915887649162356
1729,11,ad,0.10437138529287199
1729,12,cum,0.08748323599614963
1729,13,mic,0.0848017705313592
1729,14,cook,0.07803503985352393
1729,15,pd candles,0.0757266476757382
1730,1,pro,0.5150399859274758
1730,2,pd,0.34045070755667506
1730,3,pro anno,0.2606705897763791
1730,4,anno,0.25273116049779315
1730,5,mr,0.1715666112999896
1730,6,pd mr,0.17113844160713768
1730,7,mar pd,0.16293352744196127
1730,8,alias,0.14733086424644262
1730,9,cum,0.1254860093981333
1730,10,cuddington,0.11460551118957883
1730,11,pro biennio,0.10331775523455305
1730,12,biennio,0.10097364210143453
1730,13,mar,0.0863354339476925
1730,14,rect,0.08238161896787492
1730,15,pro triennio,0.08197208473663893
1731,1,pd,0.5251843784798538
1731,2,pro,0.34641947628435765
1731,3,pd mr,0.3267813941855458
1731,4,mr,0.2591991815338941
1731,5,anno,0.2206076042123656
1731,6,pro anno,0.2161609928772864
1731,7,pd candles,0.14814974678380738
1731,8,chappel,0.1058326779006006
1731,9,mr collison,0.1036143958317195
1731,10,cum,0.10269002781812067
1731,11,collison,0.09241016987027456
1731,12,candles,0.0852104361794721
1731,13,poors tax,0.07570695658791979
1731,14,sparkes,0.07570695658791979
1731,15,ad annum,0.07223940255968463
1732,1,pd,0.5343042572013706
1732,2,pro,0.39450352664904864
1732,3,anno,0.2366222801404307
1732,4,pro anno,0.23049700901062073
1732,5,pd mr,0.22254196576687882
1732,6,ch,0.2198752568546458
1732,7,cum,0.14278010876616395
1732,8,mr,0.13729153320861184
1732,9,work,0.12986615614650066
1732,10,pro biennio,0.11755669337656721
1732,11,biennio,0.11488952171566144
1732,12,court,0.1128535362776319
1732,13,alias,0.08514821837840875
1732,14,gravel,0.07995463885623483
1732,15,remainder,0.07451433911731722
1733,1,pd,0.48612099303079515
1733,2,pro,0.4656144161848424
1733,3,pd mr,0.22145512116947755
1733,4,pro anno,0.18889402311485212
1733,5,anno,0.18314074370210942
1733,6,mr,0.14515984695775247
1733,7,battles,0.1397782239884994
1733,8,collison,0.10959386007764635
1733,9,ad,0.1056692529601225
1733,10,pro biennio,0.10027077693457317
1733,11,biennio,0.09799579482189828
1733,12,mids,0.09513064677181045
1733,13,blay,0.08978468082948321
1733,14,cudlington,0.08769285513117903
1733,15,cum dimidio,0.0856723344122484
1734,1,pro,0.6135308764949226
1734,2,als,0.2621395141565594
1734,3,pro anno,0.17923417969029862
1734,4,anno,0.1737751169890662
1734,5,cum,0.1586080430571775
1734,6,pro biennio,0.1436473257405407
1734,7,biennio,0.14038819973609626
1734,8,cuddington,0.13519859473706788
1734,9,fest mich,0.12762563612372388
1734,10,pro sesquianno,0.11717518324704577
1734,11,mich,0.11635779119262385
1734,12,sesquianno,0.11586950517337193
1734,13,ad fest,0.11452812268162259
1734,14,fest,0.11273567036004203
1734,15,dimid,0.11051585863319961
1735,1,pd,0.5207025924548142
1735,2,pro,0.4141762396748757
1735,3,pro biennio,0.18532424504619907
1735,4,biennio,0.18111953700050212
1735,5,cuddington,0.14950650265026835
1735,6,pd mr,0.14883699517367777
1735,7,cum,0.14323789865495248
1735,8,ad,0.14203775473583002
1735,9,fest mich,0.13172329963672882
1735,10,mr,0.12912349247553123
1735,11,ad fest,0.12805570444625886
1735,12,al,0.12653266796007895
1735,13,fest,0.12605153517017273
1735,14,mich,0.12009367913728133
1735,15,cum dimid,0.11273166719810625
1736,1,pd,0.5300452587984072
1736,2,pro,0.45839825235364934
1736,3,pro bienn,0.19866689767034396
1736,4,bienn,0.19537544364086046
1736,5,als,0.1903242819897695
1736,6,ad,0.13488839760873644
1736,7,pd mr,0.12564035884506494
1736,8,ad fest,0.12472833094516492
1736,9,fest,0.1227762375978302
1736,10,mr,0.10899925728158541
1736,11,dimid,0.10531388260011906
1736,12,cuddington,0.10517126818689174
1736,13,mich,0.10137676405133836
1736,14,pro dimid,0.1007000686877508
1736,15,cum,0.08636706872422613
1737,1,pro,0.46515914118526497
1737,2,pd,0.37064682494300094
1737,3,mic,0.28238428341815
1737,4,anno,0.2722337118684784
1737,5,pro anno,0.2711035354067313
1737,6,ye,0.23175255054127605
1737,7,ad mic,0.19984173536794003
1737,8,ad,0.13901992215782055
1737,9,mr,0.12255034692255165
1737,10,pro biennio,0.11992510260817046
1737,11,biennio,0.11720419556391459
1737,12,alias,0.10640802707591353
1737,13,cum,0.1019596850817919
1737,14,pd mr,0.09270208259520367
1737,15,annis,0.08735233133409025
1738,1,pro,0.5553193936843943
1738,2,pd,0.2783190369372751
1738,3,pro anno,0.27685777116521004
1738,4,min,0.270800937407183
1738,5,anno,0.26842531740708264
1738,6,pd mr,0.1622909244270375
1738,7,ad,0.16133028684557427
1738,8,mr,0.14392423260595827
1738,9,fest,0.14097005332849782
1738,10,ad fest,0.13605085005442377
1738,11,ye,0.12909357407433153
1738,12,feb pd,0.09559116036153417
1738,13,apr,0.08576585716739252
1738,14,pro biennio,0.0857293786137138
1738,15,biennio,0.08378431736217695
1739,1,pro,0.4690114398016108
1739,2,anno,0.32140230017199645
1739,3,mr,0.28608046099414847
1739,4,pro anno,0.2260220459063223
1739,5,ye,0.19672768461088108
1739,6,alias,0.16559864688969117
1739,7,mic,0.15820689799366178
1739,8,ad,0.14751222444487178
1739,9,red,0.11846048247634236
1739,10,ad fest,0.10912104450902453
1739,11,fest,0.10741321707778977
1739,12,morton mr,0.10589102997492146
1739,13,rect,0.10417077431038389
1739,14,kidlington,0.09977789797793953
1739,15,augm red,0.09679539641122877
1740,1,pro,0.4753075795776405
1740,2,mr,0.23709085667814814
1740,3,pro biennio,0.19334329405961684
1740,4,biennio,0.18895664673286602
1740,5,ye,0.18681577315288203
1740,6,pro anno,0.1717073358093103
1740,7,rect,0.1695809873100584
1740,8,anno,0.16647752353765388
1740,9,mic,0.16389361600999416
1740,10,mie,0.13215552408334738
1740,11,ad mic,0.12391727633560311
1740,12,pro sesquianno,0.12391727633560311
1740,13,sesquianno,0.12253647140594785
1740,14,alias,0.12253647140594785
1740,15,yarnton rect,0.10969726368257246
1741,1,pro,0.4717041805395743
1741,2,ad,0.22284148084784083
1741,3,mic,0.18256756873181607
1741,4,ad fest,0.17514811870109226
1741,5,fest,0.1724069172857947
1741,6,stipend pro,0.16948088107278556
1741,7,mr,0.1620643487585851
1741,8,ye,0.15478621322541386
1741,9,pro anno,0.14226811711020462
1741,10,kid,0.14171392291410512
1741,11,pro biennio,0.1409712399266302
1741,12,anno,0.1379349560299192
1741,13,biennio,0.13777282999066304
1741,14,hidlington,0.13330484991394298
1741,15,longwittenham,0.1327073800710711
1742,1,pro,0.5279505383549495
1742,2,pro anno,0.28139736176770225
1742,3,anno,0.2728266424746208
1742,4,mic,0.25367030151524217
1742,5,ad mic,0.18277026445336406
1742,6,ye,0.1809111709818488
1742,7,ad,0.1252177252549843
1742,8,pd,0.11521036297849432
1742,9,mr,0.11332683913836324
1742,10,rect,0.1010591490882279
1742,11,al,0.0951882598106756
1742,12,anno ad,0.09372588680780554
1742,13,south,0.08983234733921064
1742,14,rid,0.08736851969606717
1742,15,morton,0.08640777223387074
1743,1,pro,0.5176450566293571
1743,2,anno,0.2835941067966244
1743,3,pro anno,0.2812529623686333
1743,4,mic,0.20999088438213226
1743,5,mr,0.17799364838007123
1743,6,ad,0.16153141146485311
1743,7,ad mic,0.1607552985891225
1743,8,ye,0.15912013585073964
1743,9,ann,0.14844037299189036
1743,10,cal,0.140784016488583
1743,11,rect,0.12221882145990866
1743,12,share mr,0.10541331311037154
1743,13,newinton,0.10245979208224096
1743,14,south newinton,0.10245979208224096
1743,15,augm red,0.09033629399448358
1744,1,pro,0.45974099129022283
1744,2,mie,0.3042045274112731
1744,3,ad mie,0.2526346204343213
1744,4,anno,0.2280253258081509
1744,5,pro anno,0.2221225978646569
1744,6,mr,0.18191725874892412
1744,7,newinton,0.17849721947328817
1744,8,south newinton,0.17849721947328817
1744,9,ad,0.15349475438891486
1744,10,mrs,0.14026584187992053
1744,11,pro biennio,0.12946928771137747
1744,12,ye,0.12794137801326844
1744,13,biennio,0.1265318385094397
1744,14,rect,0.11613807996578551
1744,15,cal,0.09810504190491813
1745,1,pro,0.4204610407490611
1745,2,ad mic,0.29231534393598346
1745,3,anno,0.23428905001758707
1745,4,mic,0.22821186712863784
1745,5,ad,0.22530166682774816
1745,6,pro anno,0.218634926384089
1745,7,mr,0.18205950091987158
1745,8,cal,0.17279988142954072
1745,9,biennio,0.13929385194521834
1745,10,ann,0.13396866125421822
1745,11,newinton,0.13100031083001792
1745,12,south newinton,0.13100031083001792
1745,13,pro biennio,0.12827481530127666
1745,14,rect,0.12501062729212067
1745,15,fest,0.12304256615695401
1746,1,pro,0.4004220966526232
1746,2,pro anno,0.22191325393316416
1746,3,mr,0.2184621318289766
1746,4,anno,0.21515428435744532
1746,5,pd,0.20821221910368604
1746,6,ye,0.17437281576395866
1746,7,ad,0.16092293411378175
1746,8,ad fest,0.16070604503964836
1746,9,fest,0.1581908730733347
1746,10,batt,0.11551785151381179
1746,11,ann,0.11482540907150861
1746,12,mich,0.10884895921501238
1746,13,recd,0.10658791609597772
1746,14,mid,0.10526084008300209
1746,15,fest nat,0.1039556090206106
1747,1,pro,0.4263191313676973
1747,2,pro anno,0.2812682703679172
1747,3,anno,0.2727014829032785
1747,4,mr,0.24920467067297183
1747,5,ad,0.2202820953754007
1747,6,ye,0.2080915030115382
1747,7,newinton,0.20493073750068583
1747,8,south newinton,0.17931439531310012
1747,9,ad mic,0.16076404815739356
1747,10,rect,0.15555969363437439
1747,11,mic,0.14437659069514874
1747,12,ann,0.12225166658765449
1747,13,mrs,0.10870045030680778
1747,14,fest,0.0962410076234094
1747,15,rect ad,0.09250390540058011
1748,1,pro,0.4401302590642051
1748,2,ye,0.33454189779334886
1748,3,rect,0.21023900436663703
1748,4,mr,0.2095645925594802
1748,5,pro anno,0.18922236190962435
1748,6,anno,0.1834590820490262
1748,7,south newinton,0.1615623304403377
1748,8,newinton,0.1615623304403377
1748,9,mrs,0.15234977684582138
1748,10,ad,0.13893196937530705
1748,11,pro capon,0.13415483038224382
1748,12,ad test,0.11668446979594942
1748,13,capon,0.11424476705229296
1748,14,thes,0.11081303328482632
1748,15,test,0.1101878179821559
1749,1,pro,0.4786886589379851
1749,2,mr,0.32203529836526545
1749,3,pro anno,0.23581195679670433
1749,4,anno,0.2286296645571444
1749,5,fine mr,0.20997583470197534
1749,6,rect,0.15934699691807552
1749,7,capon,0.1370212761938572
1749,8,mro,0.13435318445917196
1749,9,anno pro,0.12601384907010135
1749,10,ye,0.12152885955025143
1749,11,ye dean,0.11998619125827162
1749,12,pro capon,0.11732344671904522
1749,13,ann,0.10596218987971105
1749,14,pro ann,0.1020914282244834
1749,15,eliz,0.09697072877859676
1750,1,pro,0.5837246675093105
1750,2,rect,0.2234706242903356
1750,3,pd,0.22291762275192625
1750,4,al,0.21048841234979515
1750,5,pro bien,0.1837695214465379
1750,6,bien,0.18079540440231914
1750,7,ye,0.15386393735808873
1750,8,magro,0.12547665973100852
1750,9,mr,0.10739913797127182
1750,10,decr,0.09788022236429232
1750,11,red rect,0.09410749479825638
1750,12,test,0.0878419559247939
1750,13,octr,0.08423552435771864
1750,14,ad,0.08306763955785176
1750,15,pro capon,0.08021138075883077
1751,1,pro,0.5321404623308481
1751,2,ad mich,0.3421949336610829
1751,3,ad,0.2304432716003941
1751,4,mich,0.22436238105398862
1751,5,rect,0.2060609999619018
1751,6,mr,0.1625142781969679
1751,7,augm rect,0.15516122067246083
1751,8,upton,0.103100150954223
1751,9,fest,0.10296860569004038
1751,10,allowed,0.10004286739214074
1751,11,mr upton,0.09592246442077479
1751,12,stipend pro,0.09559766282667614
1751,13,mich pro,0.09419087612680803
1751,14,past,0.0925642989506789
1751,15,novr,0.08859514686391726
1752,1,pro,0.42584058585870865
