era,rank,term,relative_freq
pre_1760,1,pro,0.07680435988328631
pre_1760,2,anno,0.029226651233451494
pre_1760,3,mr,0.02910607923991415
pre_1760,4,pro anno,0.02433142829583544
pre_1760,5,ye,0.01704887988618004
pre_1760,6,pd,0.016638935108153077
pre_1760,7,ad,0.01620487593141865
pre_1760,8,ann,0.010345077045503871
pre_1760,9,mich,0.009693988280402228
pre_1760,10,coll,0.009452844293327546
pre_1760,11,biennio,0.008705297933396031
pre_1760,12,fest,0.008005980370879451
pre_1760,13,mic,0.007475463599315151
pre_1760,14,pro biennio,0.007330777207070342
pre_1760,15,ad fest,0.007089633219995659
pre_1760,16,south,0.006462658853601485
pre_1760,17,rect,0.00612505727169693
pre_1760,18,merton,0.00612505727169693
pre_1760,19,stipend,0.0050881381272757965
pre_1760,20,augm,0.00489522293761605
pre_1760,21,pd mr,0.00489522293761605
pre_1760,22,et,0.004437049362174155
pre_1760,23,capons,0.004002990185439726
pre_1760,24,hall,0.003713617400950107
pre_1760,25,clifton,0.003351901420338084
pre_1760,26,red,0.0032072150280932745
pre_1760,27,kidlington,0.003158986230678338
pre_1760,28,sadler,0.003158986230678338
pre_1760,29,cook,0.00313487183197087
pre_1760,30,summa,0.0031107574332634017
industrial_1760_1840,1,pro,0.04363467280113553
industrial_1760_1840,2,mr,0.025610591747834175
industrial_1760_1840,3,ad,0.013851500171308305
industrial_1760_1840,4,mich,0.009091576525867555
industrial_1760_1840,5,coll,0.007366257158239929
industrial_1760_1840,6,kidlington,0.007354020850668102
industrial_1760_1840,7,fest,0.0071827125446625225
industrial_1760_1840,8,tax,0.006840095932651363
industrial_1760_1840,9,merton,0.006815623317507709
industrial_1760_1840,10,anno,0.006668787626645784
industrial_1760_1840,11,ad fest,0.006570897166071166
industrial_1760_1840,12,rect,0.006436297782781068
industrial_1760_1840,13,pro anno,0.0063016983994909695
industrial_1760_1840,14,rectory,0.006264989476775488
industrial_1760_1840,15,newington,0.005836718711761539
industrial_1760_1840,16,et,0.005322793793744799
industrial_1760_1840,17,money,0.00515148548773922
industrial_1760_1840,18,ann,0.004931231951446332
industrial_1760_1840,19,rent,0.00489452302873085
industrial_1760_1840,20,day,0.0048333414908717145
industrial_1760_1840,21,st,0.004784396260584406
industrial_1760_1840,22,bien,0.004307180265283148
industrial_1760_1840,23,stipend,0.004233762419852185
industrial_1760_1840,24,pro bien,0.004197053497136704
industrial_1760_1840,25,anni,0.004135871959277568
industrial_1760_1840,26,augm,0.003976799960843816
industrial_1760_1840,27,rect pro,0.0036219470412608293
industrial_1760_1840,28,dim,0.0035974744261171748
industrial_1760_1840,29,college,0.003401693504967941
industrial_1760_1840,30,dno,0.0033527482746806324
post_1840,1,fund,0.012445198698911045
post_1840,2,mr,0.011172394286522416
post_1840,3,college,0.008662141139867062
post_1840,4,ad,0.008273228680526093
post_1840,5,rent,0.008131805968038468
post_1840,6,kidlington,0.008131805968038468
post_1840,7,st,0.0068943572337717435
post_1840,8,merton,0.0068943572337717435
post_1840,9,rectory,0.0067882901994060245
post_1840,10,repairs,0.0063286663838212414
post_1840,11,coll,0.006257955027577429
post_1840,12,school,0.005833686890114553
post_1840,13,fest,0.00565690849950502
post_1840,14,fees,0.005409418752651676
post_1840,15,newton,0.005409418752651676
post_1840,16,domus,0.0052679960401640505
post_1840,17,day,0.0052679960401640505
post_1840,18,ad fest,0.005197284683920237
post_1840,19,mich,0.005091217649554518
post_1840,20,rector,0.005020506293310706
post_1840,21,tax,0.004949794937066893
post_1840,22,stipend,0.004914439258944987
post_1840,23,close,0.00487908358082308
post_1840,24,rate,0.0048083722245792675
post_1840,25,beginning,0.004773016546457361
post_1840,26,long,0.004702305190213548
post_1840,27,room,0.004596238155847829
post_1840,28,hill,0.004384104087116391
post_1840,29,bursar,0.004313392730872578
post_1840,30,chapel,0.004313392730872578
