year,L4A,L4B
1700,0.11390526705316392,0.01917949117692073
1701,0.0,0.007884524716207885
1702,0.05716526049939163,0.028492146276025327
1703,0.00015986711845114343,0.0
1704,0.0,0.007804260704492722
1705,0.01842851332527886,0.013962186438456753
1706,0.0651528350519022,0.0
1707,0.003089644307730513,0.044872368628554135
1708,0.03556304449296731,0.0
1709,0.4213146911358355,0.0010074995749611167
1710,0.013305244483867391,0.0
1711,0.07509868147757948,0.0
1712,0.0,0.0
1713,0.1665560716655607,0.0
1714,0.14580587632957226,0.0
1715,0.0,0.24928589976629448
1716,0.008203104543972594,0.01277290787116318
1717,0.008424849356453401,0.03522147785221478
1718,0.010530111594502952,0.0
1719,0.028243254078072426,0.0021726338659303853
1720,0.02070667185592993,0.0755871692024498
1723,0.004270492184109617,0.0
1724,0.0,0.0
1725,0.01917852005753556,0.004109495217004178
1726,0.004474481472850151,0.0
1727,0.0,0.01754507149271258
1728,0.0,0.004274836353920826
1729,0.0,0.007856745343241562
1730,0.0069978802776332946,0.0
1731,0.009548982306099428,0.0031604082779286453
1732,0.0,0.005757135474056811
1733,0.04644836927627956,0.13570305539541952
1734,0.023342381770386753,0.0021925695511360033
1735,0.017694241261909518,0.011775658606547066
1736,0.019108264407291325,0.03227259226736228
1737,0.4108092945295536,0.009015298688683827
1738,0.07920245184692808,0.06732070365358593
1739,0.038684560746435975,0.005188469207984047
1740,0.05081630945614951,0.0018293351375599496
1741,0.028295046598404865,0.002015671391085648
1742,0.056385767440941814,0.00240844611948527
1743,0.04311269357813908,0.0
1744,0.04727554305742348,0.00037851128357907656
1745,0.006916516132839448,0.0034994386317194954
1746,0.06686285433569596,0.0198806948953169
1747,0.050403313340265786,0.04249453321255314
1748,0.05237320759784538,0.0012865263787773015
1749,0.033883682558854294,0.011096146203099283
1750,0.06263972903527779,0.0007207918110041472
1751,0.05267144160638355,0.016800246064210028
1752,0.041673778419008385,0.012045849609301388
1753,0.014975400325088763,0.0012690561801408978
1754,0.0029417920513476435,0.08781833373746858
1755,0.062276010242920926,0.016528199833592105
1756,0.034523602259332306,0.044090265053448374
1757,0.03134438687331905,0.019997374975851252
1758,0.03621514330181308,0.0094886527598808
1761,0.04807050340499399,0.02993908857023668
1762,0.04763696483478945,0.10096317300311594
1763,0.06079228475602443,0.0012927034584434313
1764,0.07678525723061172,0.004515133760837664
1765,0.0889712954620295,0.0
1766,0.05938172936568729,0.019757850222345368
1767,0.010976410517753363,0.006230446454674595
1800,0.04109871721989693,0.0030615408952827513
1801,0.04070187504334451,0.0025642969155712796
1802,0.0,0.0001493106471640945
1803,0.046020820229134576,0.0
1804,0.014039688908503326,5.856511086009454e-06
1805,0.02126879874230918,0.00659166180597452
1806,0.01299246919199,0.01675404964798432
1807,0.023634937206184866,0.0
1808,0.0,0.002484768044543121
1809,0.05819931054899492,0.007166982346586958
1810,0.013850846811963953,0.0011568733147300893
1811,0.016285609884830358,0.004254050287961199
1812,0.005602864403525603,0.0009370750392586098
1813,0.014287592456904115,0.004642503039520496
1814,0.009908946036196629,0.06950902204705013
1815,0.007504548869539836,0.0009871440630665124
1816,0.06371741279458587,9.322968216266845e-05
1817,0.0016823790562047938,0.014803208486067908
1819,0.0,0.004000769702490095
1820,0.005352231016988131,0.001957005324609113
1821,0.0012203487838417307,0.011116674772575354
1822,0.0,0.00573307896707945
1823,0.006522639562796612,0.0033275129536006333
1824,0.0007556573403094245,0.008914273005464768
1825,0.0006193811282312492,0.0
1826,0.007096178237537673,0.00101258101778255
1827,0.009906301947658364,0.010237836553044976
1828,0.006213456784342347,0.07292696792593995
1829,0.03474876032042568,0.005838163335549192
1830,0.004398549891634401,0.010399584902233281
1831,0.0009658830962657834,0.00807968423004583
1832,0.0007012155675272685,0.017439125207824847
1833,0.11503726102885688,0.005580932157044327
1834,0.2784080278229551,0.00681263557483731
1835,0.001395466681125252,0.029233011985950578
1836,0.03384482432076536,0.02926442357702819
1837,0.006406720074891904,0.025603173107481787
1838,0.027571082048692304,0.04166116074734314
1839,0.010352164392829632,0.03885994011837781
1840,0.0,0.032559957757860664
1841,0.0016060253994191543,0.0016294184873450047
1842,0.0,0.025979525083962642
1843,0.0042250442207148,0.007914105388859515
1844,0.0,0.045782079976092335
1845,0.0021722320274362348,0.008015730871835977
1846,0.013546967905622133,0.009850714338124466
1847,0.002434701188218885,0.03339553832129326
1848,0.00905960701166575,0.020172598292286213
1849,0.004842671197254609,0.008573667676603041
1850,5.370716827509307e-05,0.01678194029469598
1851,0.03991608061895105,0.0015868762087801812
1852,0.0015091435685107015,0.036215139362122575
1853,0.00010988292460843835,0.0202238537731157
1854,0.03735288845047506,0.006785714256833203
1855,0.006295411487056823,0.00012653767511309048
1856,0.017286559782055056,0.0016302844607353646
1857,0.11066671707269293,0.007975012166669413
1858,0.17252863776271113,0.010672836982507398
1859,0.0,0.016375606535478135
1860,0.35069279288274147,0.0593168516319053
1861,0.07167246063022603,0.0014728914953731317
1862,0.0537303289655319,0.03454258439629499
1863,0.040067638402119514,0.029983307555907505
1864,0.06422408553108201,0.04838426038847836
1865,0.002921603848901214,0.005408734264604877
1866,0.036247887650272335,0.04193899429912975
1867,0.10486329705463963,0.007240495763940952
1868,0.15479143297445203,0.05186162127780975
1869,0.17419412902935485,0.013136035766971662
1870,0.17367208058413586,0.0670456564939889
1871,0.0648898380157543,0.035219217146308546
1872,0.06629542823532665,0.024753004031996418
1873,0.21107079805156553,0.08210525693020836
1876,0.6174980548203247,0.052419747424580915
1877,0.17922177323601735,0.07948567193196371
1878,0.4048970841540272,0.16092675321228742
1879,0.69025478251189,0.2210123103014708
1880,0.16188761825348966,0.11075380176396069
1881,0.45889703057588027,0.054978608294046286
1882,0.4598450707477368,0.02009638513380336
1883,0.5967261106861034,0.31970505065390736
1884,0.3388388670914371,0.2467684936292494
1885,0.3304854408306624,0.037062982989995406
1886,0.6278383960867264,0.03300524021008359
1889,0.4452162439702462,0.27968701964387754
1891,0.3418106620282757,0.15213100737819615
1892,0.6152850114839792,0.23013702488740784
1893,0.4344966939934607,0.24985535447531668
1894,0.6460288509182699,0.43148780479586435
1895,0.3981896062456224,0.3968782075393511
1896,0.7021971841606681,0.23247082895003524
1897,0.5182167072385773,0.41179983376565094
1898,0.43492087445441574,0.1248723033471546
1899,0.2301167151913955,0.21672960009072337
1900,0.23203105309520303,0.4200055528043859
