lag,levels,raw_diffs,smoothed_diffs
-10,0.47349746962510175,0.1340478098462297,-0.0997559511327992
-9,0.4061100553407988,-0.15055808800565865,-0.17435747480518088
-8,0.46550684187227964,0.03932945437182632,0.03555767474899016
-7,0.48772990496486424,-0.05728711302171095,0.055456979224815614
-6,0.5170327493703429,0.15473564530815145,0.04471373817495364
-5,0.455080582616964,-0.2800615056723288,-0.19039954945257576
-4,0.5908776359074684,0.17488945684582702,0.09987992230738757
-3,0.590136011414272,-0.03823855587084067,0.14831040925648933
-2,0.6355989725537297,0.10486698306509884,0.05430076678049171
-1,0.611844074613356,-0.15787665438264495,0.05248371354822338
0,0.6656472504948507,0.02908885706276946,0.2589391115558689
1,0.719988001237364,0.15316853780529094,0.28531624812159095
2,0.6801003762382913,-0.07892975330753996,0.2329658465599784
3,0.660759492084034,-0.09748968885201434,0.06135948655764553
4,0.6939506475430441,0.025223323453587573,0.2845035877902257
5,0.6967440868741444,0.06895861175973717,0.30316856316729207
6,0.6842781355656669,0.017090259944898392,0.2107400656018828
7,0.6337832506645822,-0.2243151981111556,0.20078243780599814
8,0.7566021204938416,0.3761380114615567,0.3584026958829173
9,0.603171939282613,-0.1651287060873481,0.2854723888936861
10,0.5927628534432616,-0.15248041160920422,0.1356122198370111
