cluster,n_years,min_year,max_year,era_majority,top_terms
0,180,1700,1882,industrial_1760_1840,"payment, rent, mr, annual, year, received, college, paid, michaelmas, payment mr"
1,16,1818,1900,post_1840,"fund, balance, college, received, payments, account, trust, exhibition, fund balance, income"
