year,L1,L2,L3,L4,other
1700,0.6493156241108562,0.0,0.0,0.2795104941672165,0.07117388172192726
1701,1.0,0.0,0.0,0.0,0.0
1702,0.7692668157240393,0.0,0.001809030987829,0.1240730078409506,0.1048511454471812
1703,0.6599442776794193,0.0,0.0,0.0006956594329679963,0.3393600628876128
1704,0.8662969126942927,0.0,0.0,0.0,0.1337030873057074
1705,0.8196390869216194,0.0,0.0,0.03865308104816285,0.14170783203021786
1706,0.8576498218368527,0.0,0.0,0.09648171832603337,0.045868459837113906
1707,0.9061037340266168,0.0,0.0,0.0033742480776850427,0.09052201789569812
1708,0.8242342623816243,0.0,0.0,0.07239897003846195,0.10336676757991359
1709,0.272821088609476,0.0,0.0,0.6769176153954114,0.05026129599511256
1710,0.6419062731825278,0.0,0.0,0.022937902304561338,0.3351558245129109
1711,0.9203987488049602,0.0,0.0,0.0788661276998617,0.0007351234951780726
1712,0.6120366782900685,0.0,0.38796332170993153,0.0,0.0
1713,0.6111056870881133,0.0,0.0,0.18379301928240174,0.205101293629485
1714,0.8440817806346671,0.0,0.0,0.14580587632957226,0.010112343035760654
1715,1.0,0.0,0.0,0.0,0.0
1716,0.6540492118406943,0.0,0.01422936253915488,0.011432459379572482,0.32028896624057834
1717,0.8708317596926727,0.0,0.08257321720818979,0.014649163967634502,0.03194585913150295
1718,0.9809770016828037,0.0,0.0,0.01873033680462405,0.0002926615125722508
1719,0.8159149077049104,0.0,0.0,0.04634915514658133,0.1377359371485083
1720,0.7047180913662137,0.0,0.0,0.07994786854313975,0.2153340400906465
1723,0.39362116604941316,0.0,0.01616651963045396,0.019346084433119422,0.5708662298870135
1724,0.9727552778599649,0.0,0.013669352733348418,0.0,0.013575369406686738
1725,0.8415854243247562,0.0,0.02752117628256353,0.01917852005753556,0.11171487933514464
1726,0.763917005381064,0.0,0.022727905326975054,0.005777515984084748,0.20757757330787616
1727,0.9284645417835535,0.0,0.0,0.0,0.0715354582164464
1728,0.9994799867107714,0.0,0.0,0.0,0.0005200132892285025
1729,0.890590541905593,0.0,0.011212641801141187,0.0,0.09819681629326583
1730,0.46915551803835553,0.0,0.003896016931440248,0.009520891376207107,0.5174275736539972
1731,0.6904019600245599,0.0,0.0,0.012679355957866624,0.2969186840175735
1732,0.8577834934396151,0.0,0.08700616958886036,0.0,0.05521033697152455
1733,0.3348837075351066,0.0,0.010229589779626068,0.16858087481424308,0.4863058278710242
1734,0.7297178365692342,0.0,0.012801365478984425,0.033102697621079584,0.22437810033070196
1735,0.6033326114028913,0.0,0.0036493583843196704,0.03322594618008556,0.35979208403270346
1736,0.6586299149345154,0.0,0.0,0.04131342255885011,0.30005666250663454
1737,0.4031464407921874,0.0,0.0,0.5907012682201347,0.006152290987677989
1738,0.811820482997942,0.0,0.007526150223408732,0.0887900625811604,0.09186330419748893
1739,0.7946812080536911,0.0,0.0008165548098434004,0.11859619686800893,0.08590604026845637
1740,0.07504529021194171,0.0,0.002888258355856066,0.061502997499278296,0.8605634539329241
1741,0.5599764644351465,0.0,0.0,0.07845188284518828,0.3615716527196653
1742,0.4875515947010791,0.0,0.09040983167912908,0.0714274296508553,0.35061114396893645
1743,0.9171824709086408,0.0,0.0106170717853866,0.051228463655826284,0.02097199365014637
1744,0.7620047145957973,0.0,0.035594420283653734,0.1082956658394081,0.09410519928114083
1745,0.10981437937760406,0.0,0.005808443874020298,0.01116915353275153,0.873208023215624
1746,0.5645790761964727,0.0,0.0,0.12810875608553288,0.30731216771799436
1747,0.6451537554161849,0.0,0.008969552573490767,0.08270674935472946,0.26316994265559485
1748,0.6857819279189571,0.0,0.0006340368025849194,0.07132914029080341,0.24225489498765457
1749,0.20634566572826468,0.0,0.0017505147005947358,0.05021027483546893,0.7416935447356716
1750,0.7255342881508166,0.0,0.04620769712160466,0.08396859932360791,0.1442894154039708
1751,0.8010487252544909,0.0,0.0069475048323828555,0.07445578424228674,0.11754798567083945
1752,0.6700591061809577,0.0,0.001246613558433931,0.05043602684393722,0.27825825341667126
1753,0.7239714310091263,0.0,0.011730697204270599,0.02681921971775179,0.23747865206885133
1754,0.6408423085045404,0.0,0.006821662505168599,0.010775529326582656,0.34156049966370833
1755,0.7279913029692207,0.0,0.00023295618158934353,0.06794555296355853,0.20383018788563143
1756,0.28039345845151165,0.0,0.0,0.05213927946412407,0.6674672620843642
1757,0.4900632068145894,0.0,0.015652900575897452,0.035476228955698075,0.45880766365381503
1758,0.41659839969772183,0.0,0.0,0.06404197738144095,0.5193596229208373
1761,0.2800690244369319,0.0,0.0086732276773085,0.054478711348094004,0.6567790365376656
1762,0.3179090432665698,0.0,0.012098717976993531,0.05990125681734401,0.6100909819390927
1763,0.3091325845740816,0.0,0.007081193581359835,0.09051612664868658,0.5932700951958719
1764,0.6813791190399031,0.0,0.0,0.08001696359628241,0.23860391736381445
1765,0.6061841769914414,0.0,0.024162850542204833,0.10523459916305608,0.2644183733032976
1766,0.7139184599598225,0.0,0.014174844276155103,0.05938172936568729,0.21252496639833512
1767,0.8607252374222449,0.0,0.0114796747724431,0.012555894282359639,0.11523919352295224
1800,0.5178855252405299,0.0,0.004383959002676727,0.049340545250334336,0.42838997050645916
1801,0.5432096766148691,0.0,0.015891903960214965,0.05183006286154891,0.38906835656336713
1802,0.9533168055963247,0.0,0.0,0.0,0.04668319440367524
1803,0.42233629245220755,0.0,0.022716817687774022,0.05725923448526632,0.49768765537475207
1804,0.5007118266058767,0.0,0.04110241359136147,0.016715138343261524,0.4414706214595003
1805,0.557704368627588,0.0,0.008284580518679464,0.023315053320121154,0.4106959975336113
1806,0.47380600478516405,0.0,0.047936025732666185,0.017279207370343896,0.4609787621118259
1807,0.4301514280172804,0.0,0.0032494556315604737,0.031081043115875926,0.5355180732352833
1808,0.4390216897474297,0.0,0.0,0.0,0.5609783102525703
1809,0.3613563958219222,0.0,0.05816295234873502,0.07433068719522383,0.506149964634119
1810,0.37096963856569093,0.0,0.006069441448211005,0.041636530929791166,0.581324389056307
1811,0.31717384624353456,0.0,0.016870312996925017,0.020216957305588444,0.6457388834539519
1812,0.4127332665591328,0.0,0.030268628430185726,0.006927148794967878,0.5500709562157137
1813,0.4932115839566655,0.0,0.04385058503987105,0.023450964175116745,0.4394868668283468
1814,0.44000114847445215,0.0,0.028083450754011394,0.011931132704597745,0.5199842680669386
1815,0.5363207252432398,0.0,0.17106793311697394,0.007648891687332453,0.28496244995245373
1816,0.15346847130463726,0.0,0.019757322815523067,0.06989696563572338,0.7568772402441164
1817,0.5948770234928479,0.0,0.07219102998828275,0.003802501782488109,0.3291294447363811
1818,0.717250324977979,0.0,0.05247414335972126,0.0716633989836748,0.1586121326786249
1819,0.519950712543467,0.0,0.0,0.0,0.4800492874565329
1820,0.38124818340401434,0.0,0.0016249617336020325,0.008059036407364367,0.6090678184550193
1821,0.5731340331100555,0.0,0.0033665322098290315,0.0016767670079843437,0.4218226676721311
1822,0.545698190856491,0.0,0.0,0.0,0.45430180914350904
1823,0.3501000534616049,0.0,0.030032362635643517,0.008657243095222871,0.6112103408075288
1824,0.37892679268064006,0.0,0.0033704545558487647,0.0009659140281633455,0.6167368387353478
1825,0.2997475874409016,0.0,0.00790293891955543,0.0007739991725337793,0.6915754744670093
1826,0.26442760355282824,0.0,0.003271452043171636,0.010113313888029286,0.7221876305159709
1827,0.598175389228341,0.0,0.19300456086822487,0.021143879451852674,0.18767617045158128
1828,0.13655806731782186,0.0,0.005805931657452015,0.007356615877392001,0.8502793851473341
1829,0.47371609186045815,0.0,0.009234489563748196,0.06289745213698461,0.454151966438809
1830,0.4296744273911991,0.0,0.13020862073333123,0.006161397751254774,0.4339555541242149
1831,0.7104862922460818,0.0,0.1570094308162187,0.0015063494905359943,0.13099792744716338
1832,0.31638591268182803,0.0,0.25043701242677996,0.001035019868165798,0.43214205502322617
1833,0.12009973284584463,0.0,0.0,0.13045804409278752,0.7494422230613678
1834,0.22054380096606366,0.0,0.0003191023875466264,0.34242728132018135,0.4367098153262083
1835,0.6628933662937311,0.0,0.0,0.0017289440726214141,0.33537768963364756
1836,0.5192613825309559,0.0,0.005718115137780725,0.05913778440516562,0.41588271792609777
1837,0.4271932299902101,0.0,0.012239743854510371,0.007841381495663909,0.5527256446596157
1838,0.282631650837021,0.0,0.006760064277201735,0.037693789152360484,0.6729144957334169
1839,0.31608129387601863,0.0,0.019252577116243053,0.01388599436978349,0.6507801346379549
1840,0.40501946218958446,0.0,0.0,0.0,0.5949805378104155
1841,0.25312669316852077,0.0,0.0023688057448874463,0.0019917886143197747,0.742512712472272
1842,0.42492996322997195,0.0,0.005337502533368077,0.0,0.5697325342366599
1843,0.2984376873917725,0.0,0.010204587238781385,0.004897505122949011,0.6864602202464971
1844,0.738547517620223,0.0,0.0,0.0,0.261452482379777
1845,0.5651135323444171,0.0,0.0,0.002528947746991606,0.43235751990859134
1846,0.11870135426266702,0.0,0.0029471644341348582,0.015635439328996307,0.8627160419742019
1847,0.24202428913747517,0.0,0.005435347557296503,0.0032635100224049857,0.7492768532828233
1848,0.3715787033801644,0.0,0.05087180116375075,0.008848452153312035,0.5687010433027728
1849,0.27040163320513344,0.0,0.020970632013728025,0.006067635170794449,0.702560099610344
