year,new_revenue,higher_spend,L4_spend,L4A_income,L4B_spend,land_income,income_diversity
1700,0.2795104941672165,0.1364415185225639,0.0222423020782651,0.2795104941672165,0.0222423020782651,0.6493156241108562,1.9809722955590403
1701,0.0,0.4146655512312225,0.006452551558578548,0.0,0.006452551558578548,1.0,1.0
1702,0.1240730078409506,0.09523206483885265,0.02881427403199101,0.1240730078409506,0.02881427403199101,0.7692668157240393,1.6176974016190893
1703,0.0006956594329679963,0.06363856555296266,0.0,0.0006956594329679963,0.0,0.6599442776794193,1.8158964765874126
1704,0.0,0.11481146768704212,0.007825869594477666,0.0,0.007825869594477666,0.8662969126942927,1.3014955310117016
1705,0.03865308104816285,0.2564278189849877,0.014548481209656794,0.03865308104816285,0.014548481209656794,0.8196390869216194,1.4422035420335426
1706,0.09648171832603337,0.09472355465791467,0.09472355465791467,0.09648171832603337,0.0,0.8576498218368527,1.338731357925644
1707,0.0033742480776850427,0.20215155506114119,0.044872368628554135,0.0033742480776850427,0.044872368628554135,0.9061037340266168,1.2059386233947327
1708,0.07239897003846195,0.32158672664602445,0.13179879651808146,0.07239897003846195,0.0,0.8242342623816243,1.4382520591175136
1709,0.6769176153954114,0.015682534469364427,0.0010105539730561046,0.6769176153954114,0.0010105539730561046,0.272821088609476,1.8685476632998406
1710,0.022937902304561338,0.3174113584984325,0.0,0.022937902304561338,0.0,0.6419062731825278,1.9051275527427667
1711,0.0788661276998617,0.10891475498846205,0.0,0.0788661276998617,0.0,0.9203987488049602,1.1718462577606428
1712,0.0,0.09786492444076618,0.08880895729053102,0.0,0.0,0.6120366782900685,1.9043830792045662
1713,0.18379301928240174,0.17535474914370897,0.0,0.18379301928240174,0.0,0.6111056870881133,2.225701362538123
1714,0.14580587632957226,0.7029873127664235,0.6790955502013445,0.14580587632957226,0.0,0.8440817806346671,1.3627029143947234
1715,0.0,0.27317579849389767,0.24928589976629448,0.0,0.24928589976629448,1.0,1.0
1716,0.011432459379572482,0.19662504180436122,0.01281055680575001,0.011432459379572482,0.01281055680575001,0.6540492118406943,1.8843088296557422
1717,0.014649163967634502,0.15701542183247658,0.03550549339784296,0.014649163967634502,0.03550549339784296,0.8708317596926727,1.3047992426983277
1718,0.01873033680462405,0.06508367100930967,0.0,0.01873033680462405,0.0,0.9809770016828037,1.0387810314311283
1719,0.04634915514658133,0.14199613076045436,0.002381070489607619,0.04634915514658133,0.002381070489607619,0.8159149077049104,1.4559504325661419
1720,0.07994786854313975,0.11912006999443225,0.0755871692024498,0.07994786854313975,0.0755871692024498,0.7047180913662137,1.8202072163476466
1723,0.019346084433119422,0.1416147455867082,0.0,0.019346084433119422,0.0,0.39362116604941316,2.0770092636305044
1724,0.0,0.1604897728152592,0.0,0.0,0.0,0.9727552778599649,1.0563856706459933
1725,0.01917852005753556,0.05549542457935648,0.0,0.01917852005753556,0.0,0.8415854243247562,1.3852881565673631
1726,0.005777515984084748,0.09802755022653424,0.0,0.005777515984084748,0.0,0.763917005381064,1.5943684929794242
1727,0.0,0.09387740504971032,0.018167513053429656,0.0,0.018167513053429656,0.9284645417835535,1.153184766281469
1728,0.0,0.24121759611227883,0.004293189034479675,0.0,0.004293189034479675,0.9994799867107714,1.001040567405806
1729,0.0,0.09761630774289003,0.00789084333388131,0.0,0.00789084333388131,0.890590541905593,1.245454323067072
1730,0.009520891376207107,0.07872248985547804,0.0,0.009520891376207107,0.0,0.46915551803835553,2.0494154209992956
1731,0.012679355957866624,0.11060177966399755,0.003165410272342521,0.012679355957866624,0.003165410272342521,0.6904019600245599,1.769985632701263
1732,0.0,0.047761541887072004,0.006142910057974755,0.0,0.006142910057974755,0.8577834934396151,1.3397448583552656
1733,0.16858087481424308,0.3261731554958801,0.12051494537425064,0.16858087481424308,0.12051494537425064,0.3348837075351066,2.6513622145373357
1734,0.033102697621079584,0.26508983906485617,0.0037948761458867636,0.033102697621079584,0.0037948761458867636,0.7297178365692342,1.7120552004518177
1735,0.03322594618008556,0.35401562179862767,0.006340739249679189,0.03322594618008556,0.006340739249679189,0.6033326114028913,2.021926314751885
1736,0.04131342255885011,0.05246967463273329,0.032318500413821644,0.04131342255885011,0.032318500413821644,0.6586299149345154,1.9028258630082808
1737,0.5907012682201347,0.3300277913533149,0.0025548350389881323,0.5907012682201347,0.0025548350389881323,0.4031464407921874,1.9550613825860703
1738,0.0887900625811604,0.285880829015544,0.06741729772817856,0.0887900625811604,0.06741729772817856,0.811820482997942,1.480534638074042
1739,0.11859619686800893,0.16974093398245307,0.005198130224799736,0.11859619686800893,0.005198130224799736,0.7946812080536911,1.531478479923941
1740,0.061502997499278296,0.6046207247838569,0.13445236416627593,0.061502997499278296,0.0018350666392306213,0.07504529021194171,1.3333471742491265
1741,0.07845188284518828,0.13399674950289187,0.002015671391085648,0.07845188284518828,0.002015671391085648,0.5599764644351465,2.219941115840014
1742,0.0714274296508553,0.2354223217666328,0.0024111682298446117,0.0714274296508553,0.0024111682298446117,0.4875515947010791,2.674436459855835
1743,0.051228463655826284,0.09422992416986851,0.0,0.051228463655826284,0.0,0.9171824709086408,1.1842720329713046
1744,0.1082956658394081,0.18004092844895928,0.057078593683744766,0.1082956658394081,0.0004424697184786416,0.7620047145957973,1.6597458374697902
1745,0.01116915353275153,0.08277367044791842,0.003511610261426843,0.01116915353275153,0.003511610261426843,0.10981437937760406,1.2908056955109697
1746,0.12810875608553288,0.2336066699901473,0.0198806948953169,0.12810875608553288,0.0198806948953169,0.5645790761964727,2.327735064051144
1747,0.08270674935472946,0.21264331401073733,0.04249715298529827,0.08270674935472946,0.04249715298529827,0.6451537554161849,2.030858298398325
1748,0.07132914029080341,0.34364091951730336,0.0012865263787773015,0.07132914029080341,0.0012865263787773015,0.6857819279189571,1.8724048408181364
1749,0.05021027483546893,0.12479868335978372,0.01155277543179055,0.05021027483546893,0.011107295659356468,0.20634566572826468,1.680073699398932
1750,0.08396859932360791,0.09855183210720263,0.0014706359419098803,0.08396859932360791,0.0014706359419098803,0.7255342881508166,1.7972509821824976
1751,0.07445578424228674,0.36867908828192647,0.01826134868605998,0.07445578424228674,0.017811561772610226,0.8010487252544909,1.5126567298331457
1752,0.05043602684393722,0.10011787273668497,0.012058939386850475,0.05043602684393722,0.012058939386850475,0.6700591061809577,1.8905299655818348
1753,0.02681921971775179,0.03304962153069807,0.005248107653490328,0.02681921971775179,0.005248107653490328,0.7239714310091263,1.720022856689724
1754,0.010775529326582656,0.20831798234364146,0.08839061001335342,0.010775529326582656,0.08839061001335342,0.6408423085045404,1.8957163177376681
1755,0.06794555296355853,0.08051358780339743,0.021682586431250105,0.06794555296355853,0.021682586431250105,0.7279913029692207,1.735705103385405
