year,L2,L1,L3,L4
1700,0.0,0.6990712376979731,0.0,0.300928762302027
1701,0.0,1.0,0.0,0.0
1702,0.0,0.859373066067693,0.0020209275570516375,0.13860600637525541
1703,0.0,0.9989469915548723,0.0,0.00105300844512773
1704,0.0,1.0,0.0,0.0
1705,0.0,0.9549651243590007,0.0,0.045034875640999325
1706,0.0,0.8988800660446018,0.0,0.10111993395539816
1707,0.0,0.9962899067991972,0.0,0.003710093200802824
1708,0.0,0.9192546434587849,0.0,0.08074535654121498
1709,0.0,0.28725910343448746,0.0,0.7127408965655126
1710,0.0,0.9654988294245698,0.0,0.034501170575430236
1711,0.0,0.9210758533055664,0.0,0.07892414669443368
1712,0.0,0.6120366782900685,0.38796332170993153,0.0
1713,0.0,0.7687843522584211,0.0,0.23121564774157885
1714,0.0,0.8527046222833752,0.0,0.14729537771662468
1715,0.0,1.0,0.0,0.0
1716,0.0,0.9622459830072287,0.02093442923892751,0.016819587753843807
1717,0.0,0.8995692729658689,0.08529813955871167,0.015132587475419396
1718,0.0,0.9812641799419385,0.0,0.018735820058061528
1719,0.0,0.9462471449948806,0.0,0.053752855005119324
1720,0.0,0.898112225293454,0.0,0.10188777470654585
1723,0.0,0.9172458414209087,0.037672447978627926,0.045081710600463336
1724,0.0,0.9861425269509679,0.013857473049032237,0.0
1725,0.0,0.9474271320618928,0.0309823677581864,0.021590500179920834
1726,0.0,0.9640274929748613,0.028681552365762888,0.007290954659375711
1727,0.0,1.0,0.0,0.0
1728,0.0,1.0,0.0,0.0
1729,0.0,0.9875664202525287,0.012433579747471295,0.0
1730,0.0,0.9721971095422112,0.008073434615691898,0.01972945584209708
1731,0.0,0.9819660177711454,0.0,0.01803398222885437
1732,0.0,0.9079094818734929,0.0920905181265071,0.0
1733,0.0,0.6519126081325791,0.019913774254494896,0.328173617612926
1734,0.0,0.940816442754342,0.016504646767249023,0.04267891047840911
1735,0.0,0.942401048714479,0.005700270635994586,0.0518986806495264
1736,0.0,0.9409760471371845,0.0,0.059023952862815414
1737,0.0,0.4056420688365133,0.0,0.5943579311634867
1738,0.0,0.8939408425518413,0.008287464054910753,0.09777169339324794
1739,0.0,0.8693649045521291,0.0008932941752325011,0.12974180127263826
1740,0.0,0.5382038807519021,0.02071378298818924,0.44108233625990867
1741,0.0,0.8771171687795687,0.0,0.12288283122043132
1742,0.0,0.7507852809191987,0.1392229491459033,0.10999176993489794
1743,0.0,0.936829656516371,0.010844502625589458,0.05232584085803966
1744,0.0,0.8411624771343428,0.03929200195807319,0.1195455209075841
1745,0.0,0.8660988034310392,0.04581081564725672,0.08809038092170406
1746,0.0,0.8150555703230867,0.0,0.18494442967691327
1747,0.0,0.8755801273109989,0.012173163247191296,0.11224670944180974
1748,0.0,0.9050298357358364,0.0008367415353670802,0.0941334227287965
1749,0.0,0.7988405303967664,0.006776891033572549,0.19438257856966099
1750,0.0,0.8478734530242288,0.05399921182863336,0.09812733514713796
1751,0.0,0.9077532967766497,0.007872954811785822,0.08437374841156431
1752,0.0,0.9283917818983967,0.001727229392418141,0.06988098870918523
1753,0.0,0.9494441473322485,0.015384090210848514,0.03517176245690293
1754,0.0,0.9732743982966338,0.0103603482198205,0.016365253483545807
1755,0.0,0.9143668748704653,0.00029259609953143984,0.08534052903000329
1756,0.0,0.8432055749128919,0.0,0.156794425087108
1757,0.0,0.9055250303860739,0.028922990080710878,0.06555197953321529
