year,L1,L2,L3,L4,other,L4A,L4B
1700,0.7790377335800287,1.7652620697035795e-05,0.1141992164442988,0.0222423020782651,0.08450309527671034,0.0,0.0222423020782651
1701,0.578273257435226,0.0014549157967482633,0.40821299967264396,0.006452551558578548,0.005606275536803308,0.0,0.006452551558578548
1702,0.8963720797390711,3.7722071857852455e-05,0.06641779080686164,0.02881427403199101,0.00835813335021845,0.0,0.02881427403199101
1703,0.8750844244465249,0.0,0.06363856555296266,0.0,0.06127701000051237,0.0,0.0
1704,0.8692675985924971,0.0,0.10698559809256446,0.007825869594477666,0.015920933720460707,0.0,0.007825869594477666
1705,0.7317634614634316,0.0,0.2418793377753309,0.014548481209656794,0.011808719551580783,0.0,0.014548481209656794
1706,0.8405242783808803,0.0198518892535555,0.0,0.09472355465791467,0.04490027770764959,0.09472355465791467,0.0
1707,0.7480319323504716,0.0,0.15727918643258704,0.044872368628554135,0.04981651258838723,0.0,0.044872368628554135
1708,0.6382660512940352,0.0,0.18978793012794298,0.13179879651808146,0.04014722205994041,0.13179879651808146,0.0
1709,0.9786078355828686,0.0,0.014671980496308322,0.0010105539730561046,0.005709629947766992,0.0,0.0010105539730561046
1710,0.6076316998484103,0.019429383299230718,0.3174113584984325,0.0,0.055527558353926455,0.0,0.0
1711,0.82590154291661,0.0,0.10891475498846205,0.0,0.06518370209492783,0.0,0.0
1712,0.9017531015493822,0.0,0.009055967150235152,0.08880895729053102,0.0003819740098517464,0.08880895729053102,0.0
1713,0.6885717862060333,0.0,0.17535474914370897,0.0,0.13607346465025777,0.0,0.0
1714,0.2970126872335766,0.0,0.023891762565078935,0.6790955502013445,0.0,0.6790955502013445,0.0
1715,0.7268242015061023,0.0,0.023889898727603217,0.24928589976629448,0.0,0.0,0.24928589976629448
1716,0.7944415787594166,0.0,0.1838144849986112,0.01281055680575001,0.008933379436222133,0.0,0.01281055680575001
1717,0.801355710109868,0.0,0.12150992843463361,0.03550549339784296,0.041628868057655484,0.0,0.03550549339784296
1718,0.8474091073559721,0.0,0.06508367100930967,0.0,0.08750722163471822,0.0,0.0
1719,0.8270499528746464,0.0,0.13961506027084675,0.002381070489607619,0.03095391636489905,0.0,0.002381070489607619
1720,0.8001590782551389,0.0,0.04353290079198245,0.0755871692024498,0.08072085175042895,0.0,0.0755871692024498
1723,0.8547907181084751,0.0,0.1416147455867082,0.0,0.003594536304816679,0.0,0.0
1724,0.7724841873119365,0.0,0.1604897728152592,0.0,0.06702603987280431,0.0,0.0
1725,0.931516284561645,0.004427826429203975,0.05549542457935648,0.0,0.008560464429794353,0.0,0.0
