series,changepoint,changepoint_t,its_1854_norm,p_1854,its_1877_norm,p_1877
L4 income share,1870,13.9,-1.59,0.318,0.09,0.874
L4 expenditure share,1860,3.6,0.18,0.659,0.13,0.872
